4-character id, A000
begin date, 2016-01-01
end date, 2017-01-01
longitude, -83.74 E
latitude, 42.28 N
units, meters**1 days**0
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2016-01-01, 9.932826e-04, 8.121727e-04, 5.862246e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-02, 1.773010e-04, -5.364843e-04, -3.784186e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-03, -1.561148e-04, 8.724059e-04, 3.886044e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-04, -3.106259e-04, -1.246852e-04, 4.712566e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-05, -1.031655e-04, -1.612086e-04, 9.058454e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-06, -1.154019e-03, -5.499456e-04, 7.044365e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-07, 8.989597e-04, 2.110687e-05, -8.753788e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-08, -1.257462e-03, 5.723619e-04, -3.803024e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-09, -1.235082e-04, 4.504280e-04, 1.139135e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-10, 2.115016e-04, -4.678847e-04, 2.393726e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-11, -9.290543e-05, -3.458304e-04, -8.021760e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-12, 1.453940e-04, -4.226028e-04, 1.212489e-03, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-13, 8.897278e-05, -5.586552e-04, -5.218051e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-14, -4.615390e-04, 3.710221e-04, -6.169775e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-15, -1.335021e-04, -3.735791e-04, -3.883018e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-16, -4.910805e-04, -3.184978e-04, 3.232785e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-17, -5.536421e-05, 6.007948e-05, 6.506009e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-18, 3.404895e-04, -1.761249e-04, 8.533309e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-19, 2.613276e-04, -1.044471e-04, -5.361661e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-20, 5.638757e-04, 4.655510e-04, 5.677420e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-21, -3.649633e-04, -3.771990e-04, 7.517806e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-22, 4.290057e-04, -1.490464e-04, 2.425888e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-23, -4.622706e-04, 5.658147e-04, -1.532071e-03, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-24, -1.818932e-05, -6.982482e-04, 8.684014e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-25, 6.470912e-04, 8.001853e-05, -7.700395e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-26, -4.944822e-04, -1.011101e-03, -3.660159e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-27, 1.081665e-04, 1.150474e-04, -9.925016e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-28, -4.600772e-06, -1.003790e-04, 6.929774e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-29, 1.606629e-04, 9.914986e-05, -5.436168e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-30, 1.816740e-04, 1.887819e-04, -2.443854e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-01-31, 9.487554e-04, 5.994589e-04, -7.792971e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-01, 6.899400e-04, -3.193652e-04, 8.796395e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-02, -7.244958e-04, -1.719268e-04, 8.963065e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-03, -2.695163e-04, 3.490160e-04, -4.622548e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-04, -4.321344e-05, 2.017458e-04, -7.500366e-06, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-05, 1.115137e-03, 8.469122e-05, -5.953256e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-06, 9.644002e-04, -1.331093e-04, 3.493240e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-07, -2.153403e-04, 1.575797e-04, -1.268102e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-08, -3.119526e-04, 1.752730e-04, 6.020638e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-09, 4.380999e-04, -8.078862e-04, 4.760911e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-10, 4.430450e-04, -1.230848e-05, -4.938104e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-11, 5.200192e-04, 9.835509e-04, -2.606582e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-12, 4.687774e-04, 8.138254e-04, -9.097244e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-13, 5.493443e-04, 4.316727e-04, 3.710283e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-14, 3.991981e-05, -6.150291e-04, 4.639099e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-15, -4.155867e-04, -3.117654e-04, -1.859800e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-16, -7.805599e-04, 4.009305e-04, -5.175191e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-17, 3.591082e-04, -5.087294e-05, -8.891591e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-18, 3.839091e-04, 2.647327e-04, -2.376276e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-19, -1.136263e-04, 3.091901e-04, -9.770959e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-20, 2.838824e-04, -1.550584e-04, -2.260323e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-21, -4.988104e-04, 1.093490e-03, 9.559148e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-22, 8.353646e-04, -6.822237e-05, 5.576494e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-23, -1.452725e-06, -5.610094e-04, 2.703011e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-24, 2.204780e-04, 1.243996e-04, 6.554610e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-25, 4.078002e-04, -8.735158e-05, 2.562171e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-26, 1.097387e-04, 1.095350e-03, 2.434552e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-27, -1.563015e-04, 4.507434e-04, -2.789170e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-28, -5.932759e-04, 2.183450e-05, -4.564050e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-02-29, 4.445197e-04, -1.436539e-04, 2.263128e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-01, -4.553937e-05, -6.362794e-04, -1.282974e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-02, -5.490416e-04, 6.466129e-04, -4.334776e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-03, -6.388182e-04, 2.813805e-04, 1.248962e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-04, 3.339398e-04, -3.655635e-05, 8.472300e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-05, 5.379747e-05, 9.523294e-04, -2.421388e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-06, 3.015180e-04, -8.137192e-04, -8.182370e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-07, -1.016270e-03, 4.054758e-04, -1.377405e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-08, -2.012338e-04, 4.120028e-04, 3.780198e-06, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-09, -2.328299e-04, -6.659758e-04, 4.413995e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-10, -6.916897e-04, -4.452778e-04, -5.414888e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-11, 7.311340e-04, -1.632497e-04, 8.741810e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-12, 7.468498e-05, -2.932620e-04, -1.052969e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-13, 4.138957e-04, 3.116811e-04, -1.540066e-05, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-14, 3.320398e-04, 6.455079e-05, 3.427082e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-15, 4.365029e-04, 7.794028e-04, -8.985580e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-16, 9.310585e-05, 1.224684e-03, -6.168366e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-17, -2.133336e-04, -3.501993e-04, 1.385694e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-18, 4.978520e-04, 1.009151e-04, -3.681886e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-19, 1.464656e-04, -6.023229e-05, -3.518075e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-20, 6.365732e-05, -3.328773e-04, 4.918193e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-21, 4.179581e-06, -2.491068e-04, -1.291117e-03, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-22, -4.219557e-04, -6.983102e-04, -7.334116e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-23, -3.550263e-04, 3.092696e-04, 1.701775e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-24, 8.441919e-04, -6.528635e-04, 3.001972e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-25, 1.921797e-04, -1.396543e-03, -1.829183e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-26, -5.748614e-04, -5.222947e-04, -8.558824e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-27, 3.860598e-04, 2.147631e-04, -9.302654e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-28, 4.028019e-05, -7.628402e-04, -5.246802e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-29, 4.578094e-04, 6.702410e-05, -2.587903e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-30, 3.996204e-04, 1.312337e-04, -1.599613e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-03-31, 2.918594e-05, 4.180024e-04, -4.995548e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-04-01, 8.194808e-04, 4.424544e-04, 6.373342e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-04-02, -2.820820e-04, -7.204380e-04, -1.852384e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-04-03, 1.517949e-04, 6.999220e-04, -5.028447e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-04-04, 2.033278e-04, 4.771254e-05, -2.818110e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
2016-04-05, -3.626616e-04, 1.055624e-04, 1.841097e-04, 5.000000e-04, 5.000000e-04, 5.000000e-04
