4-character id, A000
begin date, 2016-01-01
end date, 2017-01-01
longitude, -83.3878273182 E
latitude, 42.9941217932 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2016-01-01, -9.005845e-13, 2.319306e-13, 5.838483e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-02, -9.105556e-13, 2.344985e-13, 5.903126e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-03, -9.206931e-13, 2.371093e-13, 5.968847e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-04, -9.310009e-13, 2.397639e-13, 6.035673e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-05, -9.414827e-13, 2.424633e-13, 6.103626e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-06, -9.521425e-13, 2.452086e-13, 6.172733e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-07, -9.629842e-13, 2.480007e-13, 6.243020e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-08, -9.740122e-13, 2.508408e-13, 6.314515e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-09, -9.852307e-13, 2.537299e-13, 6.387244e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-10, -9.966440e-13, 2.566692e-13, 6.461236e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-11, -1.008257e-12, 2.596599e-13, 6.536522e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-12, -1.020074e-12, 2.627031e-13, 6.613130e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-13, -1.032099e-12, 2.658001e-13, 6.691093e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-14, -1.044339e-12, 2.689523e-13, 6.770443e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-15, -1.056798e-12, 2.721608e-13, 6.851212e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-16, -1.069480e-12, 2.754270e-13, 6.933434e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-17, -1.082393e-12, 2.787524e-13, 7.017145e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-18, -1.095540e-12, 2.821383e-13, 7.102381e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-19, -1.108929e-12, 2.855863e-13, 7.189179e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-20, -1.122564e-12, 2.890979e-13, 7.277577e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-21, -1.136453e-12, 2.926746e-13, 7.367615e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-22, -1.150600e-12, 2.963181e-13, 7.459334e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-23, -1.165014e-12, 3.000300e-13, 7.552776e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-24, -1.179699e-12, 3.038121e-13, 7.647984e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-25, -1.194665e-12, 3.076661e-13, 7.745003e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-26, -1.209916e-12, 3.115939e-13, 7.843879e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-27, -1.225462e-12, 3.155974e-13, 7.944661e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-28, -1.241309e-12, 3.196785e-13, 8.047396e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-29, -1.257465e-12, 3.238393e-13, 8.152137e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-30, -1.273938e-12, 3.280818e-13, 8.258935e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-01-31, -1.290738e-12, 3.324082e-13, 8.367845e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-01, -1.307871e-12, 3.368207e-13, 8.478922e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-02, -1.325348e-12, 3.413216e-13, 8.592225e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-03, -1.343178e-12, 3.459133e-13, 8.707814e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-04, -1.361370e-12, 3.505983e-13, 8.825750e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-05, -1.379933e-12, 3.553790e-13, 8.946098e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-06, -1.398879e-12, 3.602581e-13, 9.068923e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-07, -1.418217e-12, 3.652384e-13, 9.194293e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-08, -1.437959e-12, 3.703227e-13, 9.322281e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-09, -1.458116e-12, 3.755138e-13, 9.452959e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-10, -1.478700e-12, 3.808148e-13, 9.586402e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-11, -1.499722e-12, 3.862287e-13, 9.722690e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-12, -1.521196e-12, 3.917589e-13, 9.861904e-13, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-13, -1.543134e-12, 3.974087e-13, 1.000413e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-14, -1.565550e-12, 4.031816e-13, 1.014945e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-15, -1.588458e-12, 4.090810e-13, 1.029796e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-16, -1.611872e-12, 4.151109e-13, 1.044975e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-17, -1.635807e-12, 4.212750e-13, 1.060492e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-18, -1.660279e-12, 4.275774e-13, 1.076358e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-19, -1.685304e-12, 4.340222e-13, 1.092581e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-20, -1.710899e-12, 4.406137e-13, 1.109175e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-21, -1.737081e-12, 4.473565e-13, 1.126148e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-22, -1.763869e-12, 4.542552e-13, 1.143515e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-23, -1.791280e-12, 4.613146e-13, 1.161286e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-24, -1.819335e-12, 4.685398e-13, 1.179474e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-25, -1.848055e-12, 4.759359e-13, 1.198093e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-26, -1.877459e-12, 4.835085e-13, 1.217155e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-27, -1.907570e-12, 4.912632e-13, 1.236677e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-28, -1.938411e-12, 4.992058e-13, 1.256671e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-02-29, -1.970006e-12, 5.073426e-13, 1.277154e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-03-01, -2.002379e-12, 5.156797e-13, 1.298141e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-03-02, -2.035557e-12, 5.242240e-13, 1.319650e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-03-03, -2.069565e-12, 5.329823e-13, 1.341698e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-03-04, -2.104432e-12, 5.419617e-13, 1.364302e-12, 0.000000e+00, 0.000000e+00, 0.000000e+00
