4-character id, A000
begin date, 2016-04-01
end date, 2016-10-01
longitude, -83.3878273182 E
latitude, 42.9941217932 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2016-04-01, 1.342116e-11, 9.564755e-12, 2.058738e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-02, 1.371740e-11, 9.775879e-12, 2.104181e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-03, 1.402353e-11, 9.994042e-12, 2.151139e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-04, 1.433997e-11, 1.021956e-11, 2.199679e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-05, 1.466719e-11, 1.045276e-11, 2.249874e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-06, 1.500570e-11, 1.069400e-11, 2.301799e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-07, 1.535600e-11, 1.094365e-11, 2.355534e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-08, 1.571866e-11, 1.120210e-11, 2.411163e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-09, 1.609425e-11, 1.146977e-11, 2.468777e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-10, 1.648340e-11, 1.174710e-11, 2.528471e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-11, 1.688676e-11, 1.203456e-11, 2.590345e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-12, 1.730503e-11, 1.233265e-11, 2.654505e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-13, 1.773895e-11, 1.264189e-11, 2.721067e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-14, 1.818931e-11, 1.296284e-11, 2.790150e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-15, 1.865694e-11, 1.329610e-11, 2.861882e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-16, 1.914273e-11, 1.364231e-11, 2.936400e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-17, 1.964763e-11, 1.400213e-11, 3.013849e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-18, 2.017265e-11, 1.437629e-11, 3.094384e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-19, 2.071886e-11, 1.476556e-11, 3.178170e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-20, 2.128742e-11, 1.517074e-11, 3.265383e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-21, 2.187954e-11, 1.559273e-11, 3.356212e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-22, 2.249654e-11, 1.603244e-11, 3.450857e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-23, 2.313983e-11, 1.649089e-11, 3.549534e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-24, 2.381090e-11, 1.696914e-11, 3.652474e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-25, 2.451138e-11, 1.746834e-11, 3.759923e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
2016-04-26, 2.524298e-11, 1.798972e-11, 3.872147e-11, 0.000000e+00, 0.000000e+00, 0.000000e+00
