4-character id, ALBH
begin date, 2015-10-01
end date, 2016-04-01
longitude, -123.487470777 E
latitude, 48.3897811345 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2015-10-01, 1.056450e-10, 1.320381e-10, -4.781537e-10, 6.009960e-10, 5.467368e-10, 8.441842e-10
2015-10-02, 7.840147e-11, 8.436264e-11, -4.609691e-10, 6.016493e-10, 5.476286e-10, 8.442419e-10
2015-10-03, 5.123403e-11, 4.761815e-11, -4.355776e-10, 6.017601e-10, 5.481986e-10, 8.437977e-10
2015-10-04, 2.409961e-11, 2.187848e-11, -4.028732e-10, 6.012056e-10, 5.482584e-10, 8.429070e-10
2015-10-05, -2.006239e-12, 7.789741e-12, -3.639405e-10, 5.999557e-10, 5.476762e-10, 8.416860e-10
2015-10-06, -2.484939e-11, 6.420786e-12, -3.201756e-10, 5.981668e-10, 5.465036e-10, 8.403125e-10
2015-10-07, -4.171566e-11, 1.760175e-11, -2.732011e-10, 5.962087e-10, 5.450343e-10, 8.390096e-10
2015-10-08, -5.048277e-11, 3.928502e-11, -2.244143e-10, 5.945945e-10, 5.437523e-10, 8.380103e-10
2015-10-09, -5.010554e-11, 6.773894e-11, -1.746577e-10, 5.938397e-10, 5.431932e-10, 8.375144e-10
2015-10-10, -4.064606e-11, 9.784407e-11, -1.241509e-10, 5.942673e-10, 5.437275e-10, 8.376426e-10
2015-10-11, -2.362578e-11, 1.246982e-10, -7.248694e-11, 5.958553e-10, 5.453726e-10, 8.384056e-10
2015-10-12, -2.364965e-12, 1.452242e-10, -1.907824e-11, 5.982386e-10, 5.477755e-10, 8.397057e-10
2015-10-13, 1.873326e-11, 1.580993e-10, 3.649522e-11, 6.008619e-10, 5.503724e-10, 8.413682e-10
2015-10-14, 3.533317e-11, 1.626221e-10, 9.460724e-11, 6.031849e-10, 5.526140e-10, 8.431881e-10
2015-10-15, 4.399404e-11, 1.584325e-10, 1.554800e-10, 6.048604e-10, 5.541575e-10, 8.449770e-10
2015-10-16, 4.271387e-11, 1.466679e-10, 2.189660e-10, 6.058146e-10, 5.549525e-10, 8.465939e-10
2015-10-17, 3.097918e-11, 1.295872e-10, 2.847541e-10, 6.062133e-10, 5.552037e-10, 8.479548e-10
2015-10-18, 9.099364e-12, 1.088075e-10, 3.526382e-10, 6.063378e-10, 5.552344e-10, 8.490198e-10
2015-10-19, -2.205500e-11, 8.471564e-11, 4.223778e-10, 6.064429e-10, 5.553313e-10, 8.497734e-10
2015-10-20, -6.105091e-11, 5.709743e-11, 4.934990e-10, 6.066657e-10, 5.556474e-10, 8.502081e-10
2015-10-21, -1.063883e-10, 2.536829e-11, 5.652958e-10, 6.069999e-10, 5.561716e-10, 8.503177e-10
2015-10-22, -1.567328e-10, -1.187400e-11, 6.366508e-10, 6.073197e-10, 5.567534e-10, 8.500984e-10
2015-10-23, -2.107135e-10, -5.634152e-11, 7.058013e-10, 6.074360e-10, 5.571714e-10, 8.495564e-10
2015-10-24, -2.664117e-10, -1.083066e-10, 7.704202e-10, 6.071913e-10, 5.572436e-10, 8.487236e-10
2015-10-25, -3.210629e-10, -1.651495e-10, 8.277446e-10, 6.065276e-10, 5.568959e-10, 8.476662e-10
2015-10-26, -3.714265e-10, -2.216255e-10, 8.748391e-10, 6.054879e-10, 5.561523e-10, 8.464812e-10
2015-10-27, -4.146979e-10, -2.707808e-10, 9.089776e-10, 6.041998e-10, 5.551131e-10, 8.452857e-10
2015-10-28, -4.486129e-10, -3.051669e-10, 9.277735e-10, 6.028810e-10, 5.539713e-10, 8.442083e-10
2015-10-29, -4.713192e-10, -3.192213e-10, 9.292763e-10, 6.018096e-10, 5.529972e-10, 8.433723e-10
2015-10-30, -4.820509e-10, -3.109294e-10, 9.123354e-10, 6.012334e-10, 5.524451e-10, 8.428693e-10
2015-10-31, -4.814919e-10, -2.815703e-10, 8.767563e-10, 6.012766e-10, 5.524508e-10, 8.427345e-10
2015-11-01, -4.709729e-10, -2.350992e-10, 8.231528e-10, 6.018882e-10, 5.529674e-10, 8.429346e-10
2015-11-02, -4.519020e-10, -1.774179e-10, 7.526296e-10, 6.028344e-10, 5.537489e-10, 8.433686e-10
2015-11-03, -4.256192e-10, -1.158252e-10, 6.662706e-10, 6.037673e-10, 5.544263e-10, 8.438882e-10
2015-11-04, -3.932629e-10, -5.796455e-11, 5.650044e-10, 6.043642e-10, 5.546729e-10, 8.443356e-10
2015-11-05, -3.558874e-10, -9.936515e-12, 4.498463e-10, 6.044465e-10, 5.543444e-10, 8.445789e-10
2015-11-06, -3.143206e-10, 2.479336e-11, 3.222006e-10, 6.040084e-10, 5.535025e-10, 8.445315e-10
