PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P064
Station name, HricaneRg_WA2007
Begin Date, 2007-08-08
End Date, 2017-02-02
Release Date, 2017-02-16
Source file, P064.pbo.nam08.pos
Offset from source file, 14.18 mm North, 26.39 mm East, 8.92 mm Vertical
Reference position, 47.9698466543 North Latitude, -123.4877046958 East Longitude, 1570.75154 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-08,0.00, 0.00, 0.00, 5.47, 3.35, 14.65, repro,
2007-08-09,-1.60, -0.95, 3.92, 1.89, 1.45, 6.02, repro,
2007-08-10,-2.47, -1.18, 8.29, 1.83, 1.41, 5.84, repro,
2007-08-11,-1.78, -1.75, 3.88, 1.85, 1.41, 5.89, repro,
2007-08-12,-1.44, -1.54, 3.06, 1.9, 1.44, 6.02, repro,
2007-08-13,-1.03, -1.64, -3.66, 1.92, 1.45, 6.1, repro,
2007-08-14,-1.04, -1.41, 0.45, 1.93, 1.46, 6.07, repro,
2007-08-15,-2.19, -1.52, 6.72, 1.87, 1.43, 5.98, repro,
2007-08-16,0.48, 0.25, 7.44, 2.16, 1.6, 6.75, repro,
2007-08-17,2.13, -1.24, 7.11, 2.08, 1.54, 6.52, repro,
2007-08-18,0.28, -1.04, 1.38, 1.96, 1.48, 6.2, repro,
2007-08-19,-1.77, -1.86, 10.13, 1.9, 1.44, 6, repro,
2007-08-20,-1.08, -1.34, 10.28, 1.95, 1.48, 6.12, repro,
2007-08-21,-0.80, -1.21, 7.63, 1.93, 1.46, 6.13, repro,
2007-08-22,-1.01, -1.81, 6.70, 2, 1.51, 6.33, repro,
2007-08-23,-0.70, -2.50, 7.47, 1.94, 1.43, 6.05, repro,
2007-08-24,-1.60, -1.73, 5.99, 1.95, 1.4, 6.01, repro,
2007-08-25,-0.89, -3.12, 0.90, 2.12, 1.57, 6.77, repro,
2007-08-26,0.29, -3.54, -1.15, 2.06, 1.57, 6.46, repro,
2007-08-27,0.39, -1.55, 0.16, 1.95, 1.45, 6.08, repro,
2007-08-28,-1.04, -1.74, 2.85, 1.83, 1.39, 5.81, repro,
2007-08-29,-0.24, -2.46, 6.03, 1.89, 1.41, 5.94, repro,
2007-08-30,0.47, -2.53, 5.18, 1.86, 1.4, 5.92, repro,
2007-08-31,1.41, -0.25, 7.64, 2.06, 1.55, 6.59, repro,
2007-09-01,-1.73, -2.30, 4.37, 1.88, 1.43, 5.96, repro,
2007-09-02,4.12, -0.56, 10.13, 2.18, 1.61, 6.88, repro,
2007-09-03,0.87, -1.05, 4.07, 2.22, 1.63, 6.99, repro,
2007-09-04,0.43, -2.16, 5.87, 2.28, 1.66, 7.18, repro,
2007-09-05,-0.12, -2.15, 5.28, 1.99, 1.48, 6.26, repro,
2007-09-06,-0.60, -2.18, 5.84, 2.02, 1.52, 6.39, repro,
2007-09-07,0.90, -1.71, 4.69, 1.9, 1.42, 5.98, repro,
2007-09-08,-1.46, -2.24, 4.52, 1.9, 1.43, 5.98, repro,
2007-09-09,-0.79, -1.97, 0.63, 1.88, 1.4, 5.88, repro,
2007-09-10,0.21, -2.26, 5.67, 1.94, 1.46, 6.07, repro,
2007-09-11,0.30, -3.00, 1.27, 1.89, 1.47, 5.93, repro,
2007-09-12,1.18, -2.43, -1.48, 1.94, 1.43, 6.09, repro,
2007-09-13,-0.23, -2.05, 5.87, 1.92, 1.42, 6.04, repro,
2007-09-14,0.71, -2.59, 7.70, 1.91, 1.41, 5.98, repro,
2007-09-15,0.66, -1.38, 7.15, 1.91, 1.4, 5.97, repro,
2007-09-16,-0.01, -2.72, 1.30, 2.16, 1.58, 6.81, repro,
2007-09-17,0.15, -1.09, 1.50, 2.04, 1.5, 6.37, repro,
2007-09-18,1.81, -1.35, 2.88, 1.85, 1.38, 5.86, repro,
2007-09-19,0.75, -1.62, 1.80, 1.89, 1.41, 5.96, repro,
2007-09-20,1.26, -1.94, 6.70, 1.89, 1.41, 6.01, repro,
2007-09-21,1.68, -0.87, 3.95, 1.96, 1.5, 6.29, repro,
2007-09-22,2.44, -1.40, 8.05, 2.04, 1.5, 6.38, repro,
2007-09-23,1.65, 0.75, 10.69, 1.86, 1.37, 5.8, repro,
2007-09-24,0.04, 0.21, 8.53, 1.9, 1.4, 5.98, repro,
2007-09-25,0.46, -1.14, 4.33, 1.91, 1.4, 5.94, repro,
2007-09-26,1.97, -0.93, 2.22, 1.95, 1.46, 6.17, repro,
2007-09-27,1.09, 1.10, 9.64, 2.02, 1.5, 6.46, repro,
2007-09-28,2.58, -1.69, 8.29, 2.06, 1.57, 6.44, repro,
2007-09-29,1.46, -0.23, 11.62, 1.85, 1.41, 5.83, repro,
2007-09-30,7.58, 4.91, 17.43, 2.05, 1.57, 6.51, repro,
2007-10-01,1.78, -0.74, 4.56, 1.99, 1.51, 6.26, repro,
2007-10-02,2.36, 1.46, 13.52, 2.26, 1.72, 7.27, repro,
2007-10-03,1.61, 2.01, 8.45, 2.09, 1.59, 6.6, repro,
2007-10-04,1.99, -1.32, 4.69, 1.92, 1.48, 6.1, repro,
2007-10-05,2.37, -1.09, 6.69, 1.9, 1.46, 6.07, repro,
2007-10-06,3.53, -0.31, 7.67, 1.97, 1.48, 6.24, repro,
2007-10-07,6.37, 3.93, 12.68, 2.15, 1.61, 6.85, repro,
2007-10-08,1.21, -0.79, 3.59, 2.03, 1.5, 6.34, repro,
2007-10-09,1.00, 3.42, 5.93, 2.11, 1.63, 6.76, repro,
2007-10-10,1.56, 0.23, 5.34, 2.11, 1.56, 6.65, repro,
2007-10-11,2.02, -0.27, 9.99, 2.03, 1.53, 6.35, repro,
2007-10-12,3.32, -1.07, 5.45, 1.97, 1.69, 6.09, repro,
2007-10-13,1.88, -0.25, 7.41, 1.84, 1.39, 5.79, repro,
2007-10-14,1.21, -1.32, 8.14, 2.05, 1.54, 6.32, repro,
2007-10-15,3.27, -1.64, 11.97, 1.95, 1.52, 5.88, repro,
2007-10-16,5.04, -0.95, 12.87, 2.18, 1.61, 6.86, repro,
2007-10-17,3.58, -0.06, 13.00, 2.01, 1.49, 6.29, repro,
2007-10-18,1.05, -2.02, 10.03, 2.13, 1.56, 6.72, repro,
2007-10-19,3.56, 0.32, 17.00, 2.21, 1.63, 6.98, repro,
2007-10-20,4.41, 0.33, 5.47, 2.06, 1.53, 6.51, repro,
2007-10-21,3.09, -0.92, 2.68, 2.04, 1.5, 6.4, repro,
2007-10-22,1.99, 1.87, 4.18, 2.07, 1.51, 6.5, repro,
2007-10-23,2.02, 2.32, 0.76, 1.94, 1.42, 6.09, repro,
2007-10-24,1.93, 2.55, 13.23, 2.16, 1.57, 6.74, repro,
2007-10-25,1.63, -1.06, -6.66, 1.94, 1.43, 6.07, repro,
2007-10-26,2.71, -1.09, -4.46, 1.83, 1.36, 5.77, repro,
2007-10-27,1.35, -1.00, -0.53, 1.87, 1.4, 5.83, repro,
2007-10-28,2.60, -0.48, 2.29, 1.95, 1.47, 6.13, repro,
2007-10-29,3.48, 0.40, 6.51, 2.04, 1.49, 6.46, repro,
2007-10-30,2.37, -1.00, 1.00, 1.85, 1.4, 5.75, repro,
2007-10-31,1.46, -0.04, 1.02, 1.9, 1.44, 5.98, repro,
2007-11-01,2.42, 0.14, 2.23, 1.91, 1.39, 5.95, repro,
2007-11-02,0.94, -0.78, 0.80, 1.81, 1.36, 5.64, repro,
2007-11-03,0.09, 2.70, -0.33, 1.97, 1.43, 6.12, repro,
2007-11-04,3.04, 0.85, 6.36, 1.99, 1.46, 6.22, repro,
2007-11-05,1.91, -0.50, 0.67, 1.81, 1.33, 5.63, repro,
2007-11-06,1.44, 0.55, 3.78, 1.94, 1.42, 6.06, repro,
2007-11-07,0.90, -0.05, 0.08, 1.86, 1.36, 5.83, repro,
2007-11-08,2.15, 0.15, 2.80, 2.02, 1.49, 6.33, repro,
2007-11-09,4.15, 2.26, 6.45, 2.31, 1.67, 7.24, repro,
2007-11-10,0.10, 1.68, 13.15, 2.12, 1.54, 6.61, repro,
2007-11-11,5.35, 1.25, 7.16, 1.91, 1.47, 5.94, repro,
2007-11-12,-1.98, -0.21, 14.22, 2.19, 1.59, 6.87, repro,
2007-11-13,2.57, 3.47, 5.64, 2.21, 1.66, 7.05, repro,
2007-11-14,1.46, 0.99, 1.30, 2.07, 1.55, 6.57, repro,
2007-11-15,2.90, 0.59, 7.62, 2.25, 1.63, 7, repro,
2007-11-16,4.04, 4.42, 13.24, 2.09, 1.53, 6.52, repro,
2007-11-17,2.37, -0.10, 1.18, 1.98, 1.45, 6.17, repro,
2007-11-18,2.62, -0.13, -1.01, 1.98, 1.47, 6.25, repro,
2007-11-19,1.92, -1.11, -2.58, 1.75, 1.31, 5.54, repro,
2007-11-20,2.11, -0.73, -7.65, 1.68, 1.24, 5.26, repro,
2007-11-21,1.80, -0.05, -5.94, 1.81, 1.35, 5.63, repro,
2007-11-22,2.63, -0.20, -6.32, 1.77, 1.33, 5.53, repro,
2007-11-23,0.89, -0.05, -3.89, 1.77, 1.38, 5.63, repro,
2007-11-24,2.62, -0.65, -0.12, 1.84, 1.37, 5.79, repro,
2007-11-25,2.06, -0.83, -3.96, 1.75, 1.3, 5.41, repro,
2007-11-26,2.09, 0.43, -1.33, 1.81, 1.32, 5.63, repro,
2007-11-27,2.51, -0.48, -6.22, 1.91, 1.41, 5.94, repro,
2007-11-28,2.22, -0.69, -9.68, 1.31, 0.96, 4, repro,
2007-11-29,1.12, -0.92, -5.61, 1.72, 1.26, 5.34, repro,
2007-11-30,1.97, -0.41, -7.77, 1.74, 1.26, 5.38, repro,
2007-12-01,2.08, -0.20, 1.51, 1.82, 1.35, 5.72, repro,
2007-12-02,-0.42, -2.53, 0.28, 1.98, 1.44, 6.17, repro,
2007-12-03,-1.95, -0.94, -3.03, 2.2, 1.58, 6.87, repro,
2007-12-04,-0.82, 2.11, -1.41, 2.22, 1.59, 6.91, repro,
2007-12-05,3.55, 1.02, -5.47, 1.83, 1.32, 5.62, repro,
2007-12-06,0.62, -0.15, -5.55, 1.74, 1.27, 5.4, repro,
2007-12-07,-0.52, -0.39, -2.02, 1.75, 1.28, 5.45, repro,
2007-12-08,0.21, 1.13, -7.63, 1.78, 1.31, 5.52, repro,
2007-12-09,0.30, 0.44, -8.35, 1.43, 1.05, 4.44, repro,
2007-12-10,0.25, 0.39, -14.80, 1.71, 1.27, 5.34, repro,
2007-12-11,-0.18, 1.31, -2.54, 1.83, 1.34, 5.72, repro,
2007-12-12,0.99, -0.35, -5.96, 1.84, 1.35, 5.76, repro,
2007-12-13,0.38, 0.24, -8.34, 1.74, 1.27, 5.41, repro,
2007-12-14,-0.28, 0.10, -4.74, 1.83, 1.32, 5.61, repro,
2007-12-15,0.60, 2.87, 5.52, 1.98, 1.46, 6.22, repro,
2007-12-16,0.75, 2.94, 8.42, 2.05, 1.49, 6.42, repro,
2007-12-17,-0.51, 2.06, 10.98, 2.01, 1.44, 6.26, repro,
2007-12-18,2.39, 3.08, 5.61, 2.04, 1.46, 6.34, repro,
2007-12-19,0.99, 4.53, 15.06, 2.17, 1.63, 6.81, repro,
2007-12-20,5.46, 6.88, 5.22, 2.05, 1.53, 6.44, repro,
2007-12-21,4.30, 6.74, -4.78, 2.03, 1.52, 6.45, repro,
2007-12-22,4.01, 6.19, -1.78, 2.21, 1.68, 7.07, repro,
2007-12-23,3.79, 6.23, -2.35, 2.17, 1.63, 6.87, repro,
2007-12-24,2.50, -0.15, -9.61, 2.26, 1.69, 7.15, repro,
2007-12-25,0.51, 1.38, -5.07, 2.12, 1.59, 6.7, repro,
2007-12-26,1.00, 0.39, -7.69, 2.19, 1.64, 6.92, repro,
2007-12-27,-0.15, 1.28, 0.73, 2.11, 1.59, 6.75, repro,
2007-12-28,1.41, 0.28, 2.35, 2.22, 1.7, 7.17, repro,
2007-12-29,1.61, 1.79, 5.78, 2.19, 1.67, 6.98, repro,
2007-12-30,1.38, 3.84, 6.26, 2.22, 1.65, 7.13, repro,
2007-12-31,2.91, 0.08, -15.42, 2.14, 1.59, 6.95, repro,
2008-01-01,3.71, 1.33, -18.81, 2.09, 1.57, 6.78, repro,
2008-01-02,0.98, 1.13, -0.72, 2.03, 1.52, 6.37, repro,
2008-01-03,-0.85, 2.37, 7.08, 1.98, 1.45, 6.16, repro,
2008-01-04,-1.29, 1.51, 10.14, 2.05, 1.5, 6.36, repro,
2008-01-05,-0.84, 4.47, 20.78, 2.18, 1.6, 6.82, repro,
2008-01-06,0.51, 3.45, 17.37, 2.13, 1.59, 6.8, repro,
2008-01-07,-0.28, 3.95, 11.89, 2.27, 1.71, 7.13, repro,
2008-01-08,-0.70, 5.20, 9.92, 2.13, 1.57, 6.71, repro,
2008-01-09,1.52, 4.99, 9.42, 2.02, 1.5, 6.37, repro,
2008-01-10,3.37, 3.89, 6.77, 2.15, 1.59, 6.85, repro,
2008-01-11,5.12, 4.22, 7.25, 1.84, 1.4, 5.91, repro,
2008-01-12,4.85, 4.80, 0.63, 1.57, 1.2, 4.97, repro,
2008-01-13,3.40, 1.97, -20.22, 1.85, 1.4, 5.86, repro,
2008-01-14,0.03, 1.69, -4.10, 2.06, 1.51, 6.48, repro,
2008-01-15,0.06, 2.40, -6.94, 1.7, 1.27, 5.34, repro,
2008-01-16,-0.60, 2.98, -12.33, 1.58, 1.19, 4.99, repro,
2008-01-17,-1.69, 3.11, -6.59, 1.77, 1.32, 5.55, repro,
2008-01-18,-0.36, 2.44, -10.67, 1.72, 1.32, 5.5, repro,
2008-01-19,0.85, 3.27, -3.72, 1.79, 1.32, 5.6, repro,
2008-01-20,1.07, 2.31, -12.63, 1.66, 1.23, 5.16, repro,
2008-01-21,0.30, 2.12, -14.92, 1.32, 0.99, 4.11, repro,
2008-01-22,0.77, 2.17, -13.34, 1.67, 1.23, 5.28, repro,
2008-01-23,-0.02, 2.77, -6.55, 1.65, 1.23, 5.21, repro,
2008-01-24,1.08, 1.68, 0.74, 1.66, 1.23, 5.23, repro,
2008-01-25,0.70, 1.87, -3.05, 1.22, 0.91, 3.8, repro,
2008-01-26,1.49, 2.22, 0.07, 1.71, 1.28, 5.38, repro,
2008-01-27,0.17, 2.14, 9.06, 1.64, 1.21, 5.15, repro,
2008-01-28,1.03, 1.72, 8.01, 1.53, 1.14, 4.8, repro,
2008-01-29,1.82, 2.74, 7.80, 1.72, 1.27, 5.45, repro,
2008-01-30,1.36, 2.32, 6.41, 1.83, 1.38, 5.89, repro,
2008-01-31,-4.96, 7.19, 19.77, 2.21, 1.65, 7.27, repro,
2008-02-01,-14.13, 16.18, 48.70, 2.32, 1.7, 7.52, repro,
2008-02-02,-14.53, 13.87, 38.12, 2.33, 1.72, 7.58, repro,
2008-02-03,-11.80, 13.40, 36.20, 2.3, 1.74, 7.56, repro,
2008-02-04,-9.86, 12.82, 25.85, 2.21, 1.63, 7.17, repro,
2008-02-05,-21.13, 14.99, 46.88, 2.73, 2.04, 9.08, repro,
2008-02-06,-35.33, 23.38, 88.54, 2.86, 2.08, 9.44, repro,
2008-02-07,-40.75, 27.63, 102.24, 2.43, 1.69, 7.98, repro,
2008-02-08,-41.53, 33.95, 95.88, 2.34, 1.68, 7.7, repro,
2008-02-09,-50.59, 39.22, 127.46, 2.4, 1.7, 7.96, repro,
2008-02-10,-40.73, 42.47, 124.36, 2.88, 1.99, 9.34, repro,
2008-02-11,-44.71, 47.35, 132.59, 2.8, 1.98, 9.09, repro,
2008-02-12,-40.11, 47.10, 121.76, 2.7, 1.92, 8.71, repro,
2008-02-13,-39.09, 45.63, 115.94, 3.27, 2.23, 10.22, repro,
2008-02-14,-35.76, 45.47, 100.57, 2.68, 1.91, 8.63, repro,
2008-02-15,-33.18, 46.89, 93.98, 2.73, 2, 8.83, repro,
2008-02-16,-33.00, 45.28, 100.46, 2.79, 2, 8.97, repro,
2008-02-17,-30.19, 46.62, 86.43, 2.63, 1.89, 8.46, repro,
2008-02-18,-29.30, 46.06, 79.13, 2.71, 1.91, 8.68, repro,
2008-02-19,-34.36, 46.17, 92.12, 2.63, 1.88, 8.37, repro,
2008-02-20,-34.00, 45.49, 78.77, 2.49, 1.82, 7.95, repro,
2008-02-21,-35.12, 43.80, 82.45, 2.35, 1.75, 7.55, repro,
2008-02-22,-31.33, 42.38, 80.92, 2.34, 1.72, 7.45, repro,
2008-02-23,-31.83, 42.84, 80.58, 2.32, 1.72, 7.35, repro,
2008-02-24,-30.76, 44.25, 78.51, 2.31, 1.7, 7.41, repro,
2008-02-25,-29.24, 43.79, 68.04, 2.37, 1.73, 7.52, repro,
2008-02-26,-28.42, 43.34, 58.90, 2.38, 1.75, 7.58, repro,
2008-02-27,-27.78, 43.09, 66.13, 2.29, 1.68, 7.3, repro,
2008-02-28,-23.12, 42.09, 41.25, 2.56, 1.89, 8.21, repro,
2008-02-29,-27.36, 39.91, 32.09, 2.51, 1.88, 8.03, repro,
2008-03-01,-40.61, 48.53, 76.50, 2.19, 1.65, 7.03, repro,
2008-03-02,-33.89, 45.20, 73.09, 2.28, 1.71, 7.23, repro,
2008-03-03,-31.56, 46.46, 75.17, 2.22, 1.66, 7, repro,
2008-03-04,-28.58, 45.71, 59.54, 2.33, 1.72, 7.43, repro,
2008-03-05,-31.99, 46.14, 64.28, 2.2, 1.67, 7.04, repro,
2008-03-06,-39.00, 49.51, 83.35, 2.19, 1.63, 6.91, repro,
2008-03-07,-37.32, 50.07, 83.71, 2.29, 1.69, 7.19, repro,
2008-03-08,-35.20, 49.26, 79.95, 2.25, 1.75, 7.06, repro,
2008-03-09,-34.47, 51.05, 85.66, 2.26, 1.67, 7.06, repro,
2008-03-10,-34.54, 57.72, 145.69, 2.68, 1.96, 8.39, repro,
2008-03-11,-21.04, 32.80, 79.76, 2.47, 1.8, 7.85, repro,
2008-03-12,-21.59, 29.05, 79.21, 2.37, 1.75, 7.5, repro,
2008-03-13,-18.81, 29.07, 77.22, 2.37, 1.73, 7.43, repro,
2008-03-14,-18.69, 31.01, 82.03, 2.37, 1.75, 7.47, repro,
2008-03-15,-22.30, 33.66, 92.47, 2.45, 1.79, 7.69, repro,
2008-03-16,-17.21, 31.19, 77.42, 2.52, 1.84, 8, repro,
2008-03-17,-13.62, 30.69, 69.83, 2.64, 1.9, 8.58, repro,
2008-03-18,-13.63, 34.32, 77.10, 2.49, 1.82, 7.99, repro,
2008-03-19,-11.24, 35.83, 78.93, 2.41, 1.77, 7.67, repro,
2008-03-20,-10.00, 34.83, 79.39, 2.49, 1.82, 8.02, repro,
2008-03-21,-10.51, 32.43, 77.30, 2.63, 1.96, 8.54, repro,
2008-03-22,-8.70, 30.68, 69.84, 2.55, 1.86, 8.23, repro,
2008-03-23,-13.32, 30.31, 86.90, 2.72, 1.97, 8.81, repro,
2008-03-24,-15.78, 33.64, 97.28, 2.85, 2.02, 9.29, repro,
2008-03-25,-14.19, 33.52, 98.90, 2.8, 2.05, 9.08, repro,
2008-03-26,-12.69, 34.61, 101.96, 2.83, 2.04, 9.21, repro,
2008-03-27,-15.04, 34.86, 92.70, 2.87, 2.02, 9.31, repro,
2008-03-28,-13.09, 33.24, 94.10, 2.79, 2.01, 8.93, repro,
2008-03-29,-16.59, 33.33, 93.19, 2.86, 2.01, 9.17, repro,
2008-03-30,-16.30, 33.72, 94.70, 2.89, 2.03, 9.23, repro,
2008-03-31,-14.53, 33.54, 89.45, 2.88, 1.97, 9.26, repro,
2008-04-01,-12.98, 33.82, 92.51, 2.86, 1.99, 9.16, repro,
