PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P400
Station name, Quinlt014GWA2008
Begin Date, 2008-03-06
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P400.pbo.nam08.pos
Offset from source file, 22.34 mm North, 30.74 mm East, 28.51 mm Vertical
Reference position, 47.5133489255 North Latitude, -123.8124501546 East Longitude, 65.02214 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-03-06,0.00, 0.00, 0.00, 11.87, 9.77, 48.26, repro,
2008-03-07,2.48, 1.69, 3.37, 2.69, 2.5, 10.61, repro,
2008-03-08,2.34, 4.93, 3.49, 2.75, 2.64, 11.02, repro,
2008-03-09,4.74, 0.82, 5.17, 2.73, 2.56, 10.81, repro,
2008-03-10,5.91, 0.28, 6.34, 2.72, 2.61, 10.71, repro,
2008-03-11,3.57, 0.76, -0.37, 2.74, 2.65, 11, repro,
2008-03-12,4.37, 3.11, 10.63, 2.6, 2.5, 10.29, repro,
2008-03-13,2.80, 1.87, 15.34, 2.59, 2.5, 10.25, repro,
2008-03-14,3.00, 3.69, 19.14, 2.75, 2.67, 11.02, repro,
2008-03-15,2.10, 5.44, 15.86, 2.66, 2.54, 10.45, repro,
2008-03-16,3.49, 2.33, 9.11, 2.58, 2.48, 10.15, repro,
2008-03-17,3.98, 1.07, -11.62, 2.71, 2.71, 10.82, repro,
2008-03-18,4.24, 2.21, 17.71, 2.6, 2.56, 10.44, repro,
2008-03-19,4.39, 3.57, 15.25, 2.7, 2.55, 10.63, repro,
2008-03-20,2.83, 4.19, -0.26, 2.82, 2.77, 11.44, repro,
2008-03-21,2.21, 6.63, -4.81, 2.75, 2.7, 10.94, repro,
2008-03-22,3.85, 4.34, 4.26, 2.56, 2.43, 9.89, repro,
2008-03-23,4.36, 2.05, -0.21, 2.77, 2.61, 10.85, repro,
2008-03-24,1.72, 1.15, 0.33, 2.78, 2.58, 10.8, repro,
2008-03-25,4.52, 2.88, 14.91, 2.65, 2.48, 10.42, repro,
2008-03-26,3.65, 4.54, -0.29, 2.84, 2.76, 11.39, repro,
2008-03-27,4.06, 4.66, 4.93, 2.76, 2.63, 11.08, repro,
2008-03-28,6.42, 0.92, -7.94, 2.72, 2.64, 10.58, repro,
2008-03-29,3.77, 3.30, -1.02, 2.74, 2.59, 10.97, repro,
2008-03-30,2.75, 5.21, 19.15, 2.62, 2.44, 10.3, repro,
2008-03-31,5.10, 2.91, 10.32, 2.68, 2.51, 10.51, repro,
2008-04-01,4.44, 4.15, 10.36, 2.61, 2.44, 10.13, repro,
2008-04-02,4.36, 3.73, 11.99, 2.6, 2.42, 9.86, repro,
2008-04-03,3.41, 2.42, 9.27, 2.58, 2.42, 10.06, repro,
2008-04-04,4.44, 4.03, 15.09, 2.65, 2.47, 10.11, repro,
2008-04-05,4.15, 4.68, 20.46, 2.69, 2.57, 10.8, repro,
2008-04-06,5.80, 2.28, 19.26, 2.65, 2.57, 10.4, repro,
2008-04-07,4.17, 2.78, 7.37, 2.73, 2.62, 10.8, repro,
2008-04-08,4.82, 1.89, 11.73, 2.69, 2.62, 10.65, repro,
2008-04-09,4.62, 3.45, 16.02, 2.65, 2.53, 10.69, repro,
2008-04-10,2.88, 5.39, 17.40, 2.63, 2.5, 10.44, repro,
2008-04-11,5.04, 2.96, 7.75, 2.68, 2.54, 10.45, repro,
2008-04-12,4.33, 3.05, 10.17, 2.65, 2.5, 10.56, repro,
2008-04-13,2.24, 4.22, 17.85, 2.68, 2.5, 10.71, repro,
2008-04-14,5.16, 2.96, 17.31, 2.73, 2.65, 10.85, repro,
2008-04-15,4.92, 4.39, 17.98, 2.73, 2.61, 10.69, repro,
2008-04-16,3.88, 2.56, 5.22, 2.84, 2.67, 10.77, repro,
2008-04-17,6.68, 1.61, 9.13, 2.77, 2.57, 10.74, repro,
2008-04-18,6.47, 0.63, 10.63, 2.71, 2.54, 10.85, repro,
2008-04-19,3.43, 3.71, 11.56, 2.89, 2.82, 11.57, repro,
2008-04-20,5.77, 2.13, 4.45, 2.58, 2.43, 10.16, repro,
2008-04-21,3.91, 2.38, 6.17, 2.61, 2.47, 10.25, repro,
2008-04-22,6.51, 1.18, 3.50, 2.74, 2.61, 10.76, repro,
2008-04-23,6.21, 0.98, -3.49, 2.84, 2.84, 11.71, repro,
2008-04-24,5.05, 1.28, -3.70, 2.91, 2.78, 11.78, repro,
2008-04-25,3.91, 4.23, 15.47, 2.62, 2.56, 10.58, repro,
