PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P401
Station name, Quillayut_WA2005
Begin Date, 2005-04-09
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P401.pbo.nam08.pos
Offset from source file, 46.64 mm North, 71.49 mm East, -1.78 mm Vertical
Reference position, 47.9371881451 North Latitude, -124.5570189169 East Longitude, 36.22019 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-04-09,0.00, 0.00, 0.00, 2.03, 1.6, 6.4, repro,
2005-04-10,0.19, -1.05, -6.57, 1.45, 1.12, 4.61, repro,
2005-04-11,-0.45, -1.56, -6.94, 1.81, 1.38, 5.7, repro,
2005-04-12,1.35, -1.33, -8.63, 1.74, 1.32, 5.44, repro,
2005-04-13,0.50, -0.35, -8.79, 1.68, 1.28, 5.28, repro,
2005-04-14,1.86, -0.38, -13.94, 1.84, 1.38, 5.63, repro,
2005-04-15,-1.03, -0.74, -8.23, 1.62, 1.23, 5.05, repro,
2005-04-16,0.47, -0.27, -7.63, 1.91, 1.42, 5.91, repro,
2005-04-17,0.32, -0.68, -12.17, 1.95, 1.44, 6.04, repro,
2005-04-18,0.46, -0.82, -11.63, 1.66, 1.25, 5.15, repro,
2005-04-19,0.79, 0.36, -6.75, 1.61, 1.28, 5.09, repro,
2005-04-20,-0.13, -0.53, -9.53, 1.61, 1.21, 4.99, repro,
2005-04-21,1.37, 0.66, -17.81, 1.51, 1.14, 4.72, repro,
2005-04-22,1.90, 1.50, -9.90, 1.61, 1.21, 5.01, repro,
2005-04-23,1.38, -0.25, -5.56, 1.61, 1.2, 5.06, repro,
2005-04-24,1.18, -0.01, -8.25, 1.48, 1.11, 4.65, repro,
2005-04-25,1.04, 0.14, -5.76, 1.49, 1.12, 4.66, repro,
2005-04-26,0.83, 0.50, -11.09, 1.5, 1.12, 4.67, repro,
2005-04-27,2.04, -0.01, -14.10, 1.72, 1.28, 5.38, repro,
2005-04-28,2.55, 0.20, -6.54, 2.49, 1.9, 7.92, repro,
2005-04-29,1.30, 0.05, -8.53, 1.9, 1.47, 5.92, repro,
2005-04-30,1.66, 0.95, -13.51, 1.69, 1.31, 5.33, repro,
2005-05-01,1.11, 0.57, -9.26, 1.66, 1.27, 5.21, repro,
2005-05-02,1.40, 1.08, -9.29, 1.5, 1.12, 4.72, repro,
2005-05-03,1.70, -0.01, -5.95, 1.44, 1.1, 4.58, repro,
2005-05-04,1.73, 0.71, -7.86, 1.79, 1.32, 5.51, repro,
2005-05-05,1.93, 1.31, -4.51, 1.5, 1.11, 4.67, repro,
2005-05-06,1.54, 0.79, -1.54, 1.53, 1.14, 4.81, repro,
2005-05-07,1.55, 0.01, -0.90, 1.54, 1.14, 4.79, repro,
2005-05-08,2.31, 0.35, -4.28, 1.85, 1.35, 5.69, repro,
2005-05-09,1.12, 0.45, -2.23, 1.57, 1.16, 4.87, repro,
2005-05-10,1.87, 0.02, -4.65, 1.49, 1.12, 4.74, repro,
2005-05-11,2.36, -0.15, -15.13, 1.72, 1.38, 6.58, repro,
2005-05-12,1.09, 0.62, -4.29, 1.63, 1.21, 5.1, repro,
2005-05-13,1.55, 0.80, -5.67, 1.65, 1.2, 5.1, repro,
2005-05-14,0.47, 1.61, -7.81, 1.71, 1.27, 5.37, repro,
2005-05-15,0.51, 1.74, -5.31, 2.08, 1.54, 6.52, repro,
2005-05-16,2.18, 0.91, 3.36, 1.84, 1.37, 5.8, repro,
2005-05-17,2.04, 0.70, 3.04, 1.83, 1.37, 5.62, repro,
2005-05-18,-0.31, 0.38, 1.37, 1.95, 1.45, 6.11, repro,
2005-05-19,0.21, 0.72, -2.41, 1.97, 1.46, 6.18, repro,
2005-05-20,0.72, 1.88, -13.86, 1.97, 1.46, 6.12, repro,
2005-05-21,1.76, 0.85, -7.26, 1.74, 1.31, 5.46, repro,
2005-05-22,2.22, 1.95, -11.84, 2.02, 1.5, 6.32, repro,
2005-05-23,1.38, 0.56, -4.29, 1.78, 1.33, 5.54, repro,
2005-05-24,2.81, 1.94, -15.07, 1.85, 1.43, 5.69, repro,
2005-05-25,2.49, 3.16, -15.92, 1.86, 1.45, 5.74, repro,
2005-05-26,2.34, 1.85, -10.83, 1.51, 1.14, 4.74, repro,
2005-05-27,2.35, 1.65, -6.60, 1.49, 1.13, 4.66, repro,
2005-05-28,2.53, 1.30, -7.79, 1.87, 1.38, 5.82, repro,
2005-05-29,2.94, 0.77, -8.52, 1.59, 1.2, 5.01, repro,
2005-05-30,2.64, 0.58, -7.12, 1.87, 1.38, 5.89, repro,
2005-05-31,2.89, 0.38, -8.19, 1.23, 0.93, 3.85, repro,
2005-06-01,2.51, 1.31, -6.90, 1.39, 1.03, 4.26, repro,
2005-06-02,1.72, 1.50, -3.61, 1.1, 0.82, 3.41, repro,
2005-06-03,2.63, 1.88, -5.01, 1.12, 0.85, 3.48, repro,
2005-06-04,3.16, 1.55, -2.14, 1.31, 0.98, 4.05, repro,
2005-06-05,3.02, 2.16, -1.58, 1.26, 0.94, 3.93, repro,
2005-06-06,2.24, 1.25, -0.19, 1.21, 0.9, 3.75, repro,
2005-06-07,2.10, 1.51, -0.21, 1.12, 0.84, 3.48, repro,
2005-06-08,1.71, 2.23, -0.58, 1.13, 0.84, 3.51, repro,
2005-06-09,3.19, 1.08, -4.28, 1.27, 0.94, 3.96, repro,
2005-06-10,2.86, 1.30, -8.75, 1.43, 1.07, 4.44, repro,
2005-06-11,2.64, 1.46, -1.50, 1.34, 1.01, 4.14, repro,
2005-06-12,3.22, 2.39, -6.40, 1.44, 1.08, 4.42, repro,
2005-06-13,2.28, 0.90, -5.25, 1.45, 1.09, 4.43, repro,
2005-06-14,2.86, 1.87, -6.32, 1.01, 0.79, 3.17, repro,
2005-06-15,2.19, 1.18, -3.51, 1.3, 1, 3.99, repro,
2005-06-16,1.14, 0.95, 0.34, 1.72, 1.24, 5.14, repro,
2005-06-17,1.97, 0.93, -2.13, 1.32, 0.99, 4.07, repro,
