PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P402
Station name, HohHumRch_WA2007
Begin Date, 2007-04-04
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P402.pbo.nam08.pos
Offset from source file, 33.52 mm North, 52.43 mm East, 12.07 mm Vertical
Reference position, 47.7662216778 North Latitude, -124.30589675 East Longitude, 23.73635 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-04-04,0.00, 0.00, 0.00, 4.72, 3.42, 14.06, repro,
2007-04-05,-1.67, 1.55, -1.93, 1.76, 1.36, 5.63, repro,
2007-04-06,-1.73, 0.85, -1.69, 1.83, 1.39, 5.87, repro,
2007-04-07,-1.61, 1.25, -1.54, 1.78, 1.37, 5.68, repro,
2007-04-08,-1.13, 0.65, -6.21, 2, 1.52, 6.35, repro,
2007-04-09,-2.35, -0.30, -2.45, 1.86, 1.42, 5.91, repro,
2007-04-10,-1.82, 0.88, -5.38, 1.91, 1.46, 6.06, repro,
2007-04-11,-1.10, 0.61, 2.85, 1.64, 1.27, 5.27, repro,
2007-04-12,-1.63, 0.73, 1.23, 1.66, 1.26, 5.28, repro,
2007-04-13,-0.85, 0.26, 2.67, 1.86, 1.41, 5.9, repro,
2007-04-14,-3.06, 1.73, 4.24, 1.86, 1.41, 5.89, repro,
2007-04-15,-2.14, 1.53, 1.66, 1.75, 1.33, 5.56, repro,
2007-04-16,-1.43, 1.54, 2.32, 1.8, 1.37, 5.74, repro,
2007-04-17,-1.14, 1.09, -3.76, 1.85, 1.4, 5.88, repro,
2007-04-18,-1.20, 0.34, -1.71, 1.71, 1.29, 5.45, repro,
2007-04-19,-1.80, 1.49, -0.79, 1.67, 1.27, 5.33, repro,
2007-04-20,-1.74, -0.12, 6.56, 1.69, 1.28, 5.41, repro,
2007-04-21,-0.74, 0.38, 5.10, 1.67, 1.26, 5.34, repro,
2007-04-22,-0.64, 1.52, 1.30, 1.73, 1.31, 5.46, repro,
2007-04-23,-1.20, 0.70, -2.00, 1.68, 1.27, 5.27, repro,
2007-04-24,-0.68, 1.81, -1.35, 1.89, 1.43, 5.97, repro,
2007-04-25,-0.88, 1.69, -0.52, 1.66, 1.27, 5.24, repro,
2007-04-26,-1.57, 1.40, 0.57, 1.64, 1.23, 5.15, repro,
2007-04-27,-1.11, 1.50, 1.10, 1.68, 1.27, 5.26, repro,
2007-04-28,-0.77, 2.51, -2.61, 1.86, 1.4, 5.9, repro,
2007-04-29,-0.30, 0.73, 1.24, 1.83, 1.37, 5.8, repro,
2007-04-30,-0.91, 1.26, -0.26, 1.69, 1.26, 5.37, repro,
2007-05-01,0.26, 1.48, 1.64, 1.65, 1.24, 5.25, repro,
2007-05-02,-1.84, 1.77, 3.42, 1.94, 1.42, 6.15, repro,
2007-05-03,1.05, 0.66, 4.40, 1.9, 1.4, 5.99, repro,
2007-05-04,0.37, 1.15, -3.41, 1.67, 1.25, 5.32, repro,
2007-05-05,-0.25, 1.74, -5.92, 1.67, 1.26, 5.34, repro,
2007-05-06,-0.64, 1.14, -9.00, 1.72, 1.28, 5.43, repro,
2007-05-07,0.03, 1.30, -9.50, 1.6, 1.2, 5.06, repro,
2007-05-08,0.68, 1.30, -5.76, 1.72, 1.27, 5.44, repro,
2007-05-09,0.24, 1.49, -2.47, 1.64, 1.23, 5.24, repro,
