PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P418
Station name, Matlock___WA2006
Begin Date, 2006-08-09
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P418.pbo.nam08.pos
Offset from source file, 26.31 mm North, 29.97 mm East, -3.33 mm Vertical
Reference position, 47.2366454403 North Latitude, -123.4078131426 East Longitude, 115.16088 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-08-09,0.00, 0.00, 0.00, 5.35, 3.62, 15.08, repro,
2006-08-10,1.50, 0.19, -1.68, 1.87, 1.43, 6.01, repro,
2006-08-11,2.67, 0.33, 2.83, 1.76, 1.37, 5.67, repro,
2006-08-12,1.50, 0.97, 1.58, 1.34, 1.06, 4.34, repro,
2006-08-13,1.74, 1.45, 6.34, 1.41, 1.13, 4.58, repro,
2006-08-14,2.01, 2.20, 3.02, 2.01, 1.53, 6.48, repro,
2006-08-15,2.23, 1.95, 4.09, 2.02, 1.52, 6.37, repro,
2006-08-16,3.26, 1.10, 3.82, 1.77, 1.37, 5.7, repro,
2006-08-17,2.14, 1.58, -0.60, 1.66, 1.29, 5.36, repro,
2006-08-18,3.33, 1.43, -1.46, 1.72, 1.33, 5.52, repro,
2006-08-19,3.34, 0.48, 1.15, 1.66, 1.29, 5.34, repro,
2006-08-20,3.61, 0.92, 3.69, 1.72, 1.34, 5.53, repro,
2006-08-21,2.22, 1.45, 4.47, 1.35, 1.07, 4.35, repro,
2006-08-22,3.86, 1.91, 6.94, 2.2, 1.69, 7.07, repro,
2006-08-23,2.51, 1.71, 5.70, 1.34, 1.09, 4.32, repro,
2006-08-24,2.83, 1.93, 4.38, 1.39, 1.13, 4.49, repro,
2006-08-25,2.36, 1.47, 5.84, 1.32, 1.08, 4.29, repro,
2006-08-26,2.61, 1.55, 7.09, 1.42, 1.16, 4.63, repro,
2006-08-27,2.04, 1.34, 6.92, 1.31, 1.08, 4.28, repro,
2006-08-28,2.02, 1.21, 6.51, 1.41, 1.16, 4.59, repro,
