PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P419
Station name, Rock_Peak_WA2008
Begin Date, 2008-07-25
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P419.pbo.nam08.pos
Offset from source file, 17.06 mm North, 22.96 mm East, -7.92 mm Vertical
Reference position, 47.4092990375 North Latitude, -123.366525922 East Longitude, 935.98473 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-25,0.00, 0.00, 0.00, 1.81, 1.36, 5.69, repro,
2008-07-26,0.18, -1.49, -2.08, 1.65, 1.22, 5.19, repro,
2008-07-27,-0.25, -0.93, -2.29, 1.36, 1.02, 4.27, repro,
2008-07-28,0.74, -0.69, 0.09, 1.37, 1.02, 4.19, repro,
2008-07-29,-0.14, -2.25, -1.48, 1.87, 1.35, 5.78, repro,
2008-07-30,0.14, 0.00, -1.75, 1.54, 1.13, 4.77, repro,
2008-07-31,0.05, -1.18, 2.02, 1.35, 1.02, 4.24, repro,
2008-08-01,-0.13, 0.33, -1.61, 1.67, 1.24, 5.23, repro,
2008-08-02,0.37, -0.15, 3.67, 1.28, 0.98, 4.01, repro,
2008-08-03,0.91, -0.79, -0.19, 1.2, 0.92, 3.75, repro,
2008-08-04,0.22, -0.82, -2.24, 1.27, 0.98, 3.98, repro,
2008-08-05,0.19, -0.21, 2.11, 1.24, 0.95, 3.88, repro,
2008-08-06,-0.02, -1.47, 2.38, 1.37, 1.03, 4.28, repro,
2008-08-07,-0.98, -0.12, 2.38, 1.48, 1.11, 4.61, repro,
2008-08-08,0.37, -0.97, 2.43, 1.59, 1.18, 4.92, repro,
2008-08-09,0.28, -1.97, -2.67, 2.03, 1.48, 6.3, repro,
2008-08-10,0.65, -0.88, -2.84, 1.61, 1.2, 4.97, repro,
2008-08-11,0.96, -1.24, -3.99, 1.38, 1.03, 4.29, repro,
2008-08-12,0.44, -1.05, -1.62, 1.55, 1.18, 4.79, repro,
2008-08-13,1.18, -1.34, -1.65, 1.22, 0.91, 3.75, repro,
2008-08-14,0.70, -0.88, -0.75, 1.23, 0.93, 3.82, repro,
2008-08-15,0.99, 0.09, -1.46, 1.52, 1.14, 4.71, repro,
2008-08-16,0.58, -0.47, 2.27, 1.62, 1.21, 5, repro,
2008-08-17,0.50, -2.10, 5.76, 1.83, 1.35, 5.57, repro,
2008-08-18,0.70, -1.43, 0.83, 1.71, 1.27, 5.28, repro,
2008-08-19,-0.21, -0.36, 4.87, 1.63, 1.2, 4.98, repro,
2008-08-20,0.09, -0.28, -1.37, 1.87, 1.37, 5.73, repro,
2008-08-21,-0.44, 0.63, 1.95, 1.67, 1.23, 5.14, repro,
2008-08-22,0.51, -0.91, -1.51, 1.51, 1.12, 4.65, repro,
2008-08-23,0.74, -2.04, 1.76, 1.7, 1.25, 5.22, repro,
2008-08-24,-0.61, -1.38, 1.56, 1.79, 1.31, 5.5, repro,
2008-08-25,1.00, -0.68, -4.92, 1.69, 1.24, 5.17, repro,
2008-08-26,-0.23, -0.92, -0.86, 1.44, 1.06, 4.37, repro,
2008-08-27,-0.12, -1.40, 1.83, 1.56, 1.15, 4.82, repro,
2008-08-28,0.04, 2.16, 1.39, 1.88, 1.36, 5.65, repro,
2008-08-29,0.24, 2.54, -1.23, 1.71, 1.25, 5.29, repro,
2008-08-30,0.66, -0.09, 0.36, 1.67, 1.22, 5.09, repro,
2008-08-31,1.38, -0.19, -1.47, 1.51, 1.11, 4.65, repro,
2008-09-01,0.12, -0.53, -9.42, 1.36, 1, 4.2, repro,
2008-09-02,0.79, -0.26, -9.28, 1.5, 1.1, 4.64, repro,
2008-09-03,1.51, -0.88, -6.04, 1.34, 0.98, 4.14, repro,
2008-09-04,1.11, -0.06, -4.29, 1.28, 0.94, 3.93, repro,
2008-09-05,1.17, -0.25, -3.78, 1.37, 1.01, 4.17, repro,
2008-09-06,-0.07, 0.41, -4.19, 1.35, 1.01, 4.15, repro,
2008-09-07,0.48, -0.24, -0.63, 1.49, 1.09, 4.62, repro,
2008-09-08,1.06, 0.08, -2.67, 1.37, 1.01, 4.21, repro,
2008-09-09,2.33, -0.02, 4.58, 1.51, 1.09, 4.54, repro,
2008-09-10,2.69, 0.02, -3.54, 1.31, 0.96, 4.05, repro,
2008-09-11,1.66, 0.18, -2.55, 1.35, 0.99, 4.15, repro,
2008-09-12,1.01, -0.48, 2.87, 1.58, 1.17, 4.92, repro,
2008-09-13,1.47, 0.62, -2.93, 1.36, 0.99, 4.18, repro,
2008-09-14,2.06, 0.01, 1.46, 1.25, 0.93, 3.88, repro,
2008-09-15,1.30, 0.44, 0.68, 1.27, 0.94, 3.88, repro,
2008-09-16,2.18, 0.06, -0.91, 1.19, 0.88, 3.64, repro,
2008-09-17,2.47, -0.01, -1.66, 1.28, 0.93, 3.85, repro,
2008-09-18,1.34, -0.56, -6.53, 1.34, 0.99, 4.12, repro,
2008-09-19,2.40, -0.27, -4.16, 1.32, 0.97, 4.05, repro,
2008-09-20,2.50, -0.24, 3.97, 1.76, 1.27, 5.4, repro,
2008-09-21,1.95, 0.18, 0.72, 1.58, 1.16, 4.81, repro,
2008-09-22,1.49, 0.52, -4.90, 1.53, 1.11, 4.68, repro,
2008-09-23,2.30, 0.10, -5.18, 1.22, 0.89, 3.71, repro,
