PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P423
Station name, Grapeview_WA2005
Begin Date, 2005-04-22
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P423.pbo.nam08.pos
Offset from source file, 25.75 mm North, 26.86 mm East, -5.90 mm Vertical
Reference position, 47.2879037918 North Latitude, -122.9412099703 East Longitude, 39.97324 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-04-22,0.00, 0.00, 0.00, 3.54, 2.75, 11.07, repro,
2005-04-23,1.39, -0.47, 0.10, 2.02, 1.53, 6.46, repro,
2005-04-24,1.74, -0.35, -1.10, 1.78, 1.37, 5.78, repro,
2005-04-25,0.99, -0.17, -0.68, 1.94, 1.48, 6.21, repro,
2005-04-26,1.74, -1.44, -2.75, 1.92, 1.46, 6.21, repro,
2005-04-27,1.48, -1.37, -2.23, 2.03, 1.53, 6.56, repro,
2005-04-28,3.25, -0.60, -2.75, 2.11, 1.59, 6.8, repro,
2005-04-29,1.46, -0.87, -5.02, 1.85, 1.41, 6.01, repro,
2005-04-30,2.25, -0.19, -4.91, 1.83, 1.39, 5.94, repro,
2005-05-01,1.65, -0.24, -7.06, 1.89, 1.43, 6.09, repro,
2005-05-02,1.98, -0.69, -1.19, 1.96, 1.48, 6.33, repro,
2005-05-03,2.19, -0.66, -3.71, 1.71, 1.34, 5.66, repro,
2005-05-04,0.38, -1.24, 6.37, 2.11, 1.59, 6.76, repro,
2005-05-05,1.71, -0.56, 3.99, 2.05, 1.53, 6.55, repro,
2005-05-06,1.74, -0.65, 3.16, 2, 1.5, 6.44, repro,
2005-05-07,2.23, -0.11, 0.76, 2.02, 1.51, 6.46, repro,
2005-05-08,1.34, -0.62, 4.79, 1.8, 1.37, 5.81, repro,
2005-05-09,1.21, -0.20, 7.06, 2.07, 1.59, 6.66, repro,
2005-05-10,1.40, 0.07, -0.89, 1.9, 1.45, 6.2, repro,
2005-05-11,1.76, -0.76, -12.03, 2.34, 1.88, 8.46, repro,
2005-05-12,1.61, -0.15, -4.29, 1.82, 1.39, 5.91, repro,
2005-05-13,2.06, 0.23, -2.96, 1.89, 1.42, 6.08, repro,
2005-05-14,1.20, -0.10, 2.25, 1.89, 1.45, 6.16, repro,
2005-05-15,1.11, -0.68, -2.07, 2.22, 1.7, 7.36, repro,
2005-05-16,1.61, -0.47, 5.93, 1.89, 1.46, 6.22, repro,
2005-05-17,2.02, -0.01, 2.48, 1.91, 1.47, 6.1, repro,
