PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P435
Station name, ShoresNW1GWA2005
Begin Date, 2005-09-13
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P435.pbo.nam08.pos
Offset from source file, 24.77 mm North, 33.49 mm East, -0.99 mm Vertical
Reference position, 48.0595493508 North Latitude, -123.5032783693 East Longitude, 287.33729 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-09-13,0.00, 0.00, 0.00, 3.16, 2.2, 10.21, repro,
2005-09-14,0.89, -0.07, -0.43, 2.58, 1.77, 8.11, repro,
2005-09-15,1.84, -0.59, -1.08, 2.47, 1.67, 7.83, repro,
2005-09-16,1.21, -0.39, 0.26, 2.71, 1.85, 8.63, repro,
2005-09-17,0.94, -0.63, 0.60, 2.21, 1.52, 7.15, repro,
2005-09-18,-0.19, -1.17, 9.65, 1.76, 1.24, 5.81, repro,
2005-09-19,0.10, -3.17, 5.83, 2.52, 1.7, 8.15, repro,
2005-09-20,1.29, -1.51, 0.63, 2.34, 1.6, 7.55, repro,
2005-09-21,0.91, -0.61, 3.01, 2.28, 1.6, 7.52, repro,
2005-09-22,2.01, -0.81, -5.25, 2.37, 1.63, 7.79, repro,
2005-09-23,0.13, -1.56, 2.33, 2.3, 1.58, 7.37, repro,
2005-09-24,0.89, -0.55, 6.52, 2.19, 1.53, 7.19, repro,
2005-09-25,-0.08, -0.17, 8.16, 2.21, 1.55, 7.16, repro,
2005-09-26,0.38, -0.23, 10.65, 2.24, 1.59, 7.35, repro,
2005-09-27,1.18, -0.57, 0.36, 2.27, 1.59, 7.46, repro,
2005-09-28,1.94, 0.31, -1.20, 2.47, 1.64, 7.83, repro,
2005-09-29,1.72, -1.60, 6.90, 2.67, 1.81, 8.53, repro,
2005-09-30,1.22, -2.18, 13.66, 2.6, 1.72, 8.35, repro,
2005-10-01,1.05, -2.51, 2.26, 2.34, 1.62, 7.54, repro,
2005-10-02,1.37, -0.38, -1.08, 2.36, 1.62, 7.57, repro,
2005-10-03,0.86, 0.12, -3.46, 1.9, 1.35, 6.2, repro,
2005-10-04,1.14, -0.02, -8.79, 2.27, 1.52, 7.35, repro,
2005-10-05,1.76, -0.51, -0.39, 2.42, 1.66, 7.76, repro,
2005-10-06,1.38, -1.09, -2.25, 2.32, 1.59, 7.47, repro,
2005-10-07,-4.31, -2.79, 7.67, 2.03, 1.43, 6.5, repro,
2005-10-08,0.08, -0.25, 2.78, 2.24, 1.55, 7.26, repro,
2005-10-09,2.23, 0.38, 1.79, 2.51, 1.73, 8.15, repro,
2005-10-10,-1.97, -2.40, 3.75, 2.47, 1.64, 7.9, repro,
2005-10-11,1.35, 0.46, 2.10, 2.41, 1.65, 7.87, repro,
2005-10-12,1.41, 0.25, 8.43, 1.92, 1.38, 6.19, repro,
2005-10-13,0.50, -0.19, -4.19, 2.18, 1.51, 7.15, repro,
2005-10-14,0.31, 4.03, -0.95, 2.61, 1.76, 8.36, repro,
2005-10-15,-0.55, -0.28, 0.91, 1.93, 1.32, 6.14, repro,
2005-10-16,0.50, -0.07, 2.55, 1.98, 1.39, 6.41, repro,
2005-10-17,1.06, -0.72, 4.28, 2.11, 1.44, 6.72, repro,
2005-10-18,1.86, 0.63, 7.58, 2.02, 1.41, 6.44, repro,
2005-10-19,1.52, -0.03, 3.97, 2.47, 1.65, 7.82, repro,
2005-10-20,2.67, 1.03, 1.72, 2.61, 1.72, 8.18, repro,
2005-10-21,2.31, 0.82, -7.71, 2.45, 1.63, 7.82, repro,
2005-10-22,2.53, -0.06, -18.83, 2.45, 1.65, 7.82, repro,
2005-10-23,0.06, 1.44, 14.27, 2.38, 1.62, 7.61, repro,
2005-10-24,2.02, 1.73, -2.66, 2.38, 1.61, 7.63, repro,
2005-10-25,-8.46, 0.77, 4.17, 2.17, 1.49, 6.93, repro,
2005-10-26,-0.58, -0.71, 4.57, 2.12, 1.48, 6.89, repro,
2005-10-27,1.57, 0.00, 8.91, 2.32, 1.59, 7.42, repro,
