PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P436
Station name, Dungeness_WA2006
Begin Date, 2006-02-15
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P436.pbo.nam08.pos
Offset from source file, 18.75 mm North, 25.66 mm East, 2.52 mm Vertical
Reference position, 48.0453027985 North Latitude, -123.1343478807 East Longitude, 190.89414 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-02-15,0.00, 0.00, 0.00, 4.81, 3.51, 16.18, repro,
2006-02-16,-0.80, -0.24, -9.02, 2.12, 1.49, 6.59, repro,
2006-02-17,0.50, 0.62, -9.66, 2.14, 1.49, 6.6, repro,
2006-02-18,-0.89, -0.34, -7.85, 2.13, 1.49, 6.59, repro,
2006-02-19,-0.17, -0.76, -4.37, 2.07, 1.45, 6.41, repro,
2006-02-20,-1.05, -1.65, -5.93, 2.15, 1.5, 6.71, repro,
2006-02-21,-1.52, -1.30, -3.04, 2.13, 1.49, 6.61, repro,
2006-02-22,0.05, -1.07, -0.66, 2.16, 1.51, 6.71, repro,
2006-02-23,-0.23, -1.15, -5.30, 2.14, 1.51, 6.68, repro,
2006-02-24,0.35, -1.40, -2.39, 2.18, 1.53, 6.76, repro,
2006-02-25,1.02, -0.39, -6.04, 2.11, 1.48, 6.55, repro,
2006-02-26,-1.17, -1.43, -2.43, 2.19, 1.54, 6.8, repro,
2006-02-27,-1.42, -4.63, 2.72, 2.5, 1.74, 7.78, repro,
2006-02-28,0.75, -0.64, 2.98, 2.21, 1.53, 6.75, repro,
2006-03-01,4.00, 1.10, -0.61, 2.32, 1.61, 7.12, repro,
2006-03-02,-0.17, 0.99, -5.96, 2.27, 1.59, 7.03, repro,
2006-03-03,0.37, -0.40, -0.82, 2.19, 1.52, 6.74, repro,
2006-03-04,-0.04, -0.79, -3.67, 2.17, 1.54, 6.71, repro,
