PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P816
Station name, Quillsdbm_WA2013
Begin Date, 2013-09-06
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, P816.pbo.nam08.pos
Offset from source file, 4.60 mm North, 12.33 mm East, -2.49 mm Vertical
Reference position, 47.9371111486 North Latitude, -124.5570865568 East Longitude, 35.75720 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2013-09-06,0.00, 0.00, 0.00, 2.45, 1.89, 7.77, rern6,
2013-09-07,0.74, -0.34, 3.44, 1.88, 1.42, 5.97, rern6,
2013-09-08,0.56, 0.68, 1.85, 2.27, 1.68, 7.04, rern6,
2014-01-30,2.64, 5.09, -3.59, 3.88, 2.61, 13.06, rern6,
2014-01-31,2.04, 5.39, -5.93, 1.75, 1.28, 5.4, rern6,
2014-02-01,2.02, 5.71, -9.11, 1.75, 1.29, 5.39, rern6,
2014-02-02,2.58, 5.88, -6.73, 1.76, 1.29, 5.41, rern6,
2014-02-03,1.38, 6.09, -8.28, 1.8, 1.33, 5.59, rern6,
2014-02-04,1.51, 6.74, -7.86, 1.8, 1.32, 5.58, rern6,
2014-02-05,2.14, 6.78, -9.34, 1.82, 1.33, 5.66, rern6,
2014-02-06,2.05, 6.08, -4.31, 1.8, 1.32, 5.59, rern6,
2014-02-07,1.98, 6.00, 2.96, 1.8, 1.38, 5.74, rern6,
2014-02-08,2.34, 6.23, 2.29, 1.78, 1.3, 5.52, rern6,
2014-02-09,1.76, 6.63, -4.55, 1.82, 1.34, 5.66, rern6,
2014-02-10,2.35, 7.69, -6.35, 1.93, 1.42, 6.06, rern6,
2014-02-11,1.71, 7.53, -2.94, 1.78, 1.3, 5.53, rern6,
2014-02-12,1.81, 7.35, 2.29, 1.68, 1.24, 5.24, rern6,
2014-02-13,1.71, 7.40, -0.50, 1.79, 1.31, 5.58, rern6,
2014-02-14,1.95, 7.91, 2.55, 1.93, 1.4, 5.87, rern6,
2014-02-15,3.05, 6.69, -6.82, 1.64, 1.21, 5.12, rern6,
2014-02-16,1.00, 6.50, -1.86, 1.83, 1.33, 5.71, rern6,
2014-02-17,1.51, 6.48, 0.20, 1.87, 1.36, 5.82, rern6,
2014-02-18,1.65, 7.51, -2.11, 1.83, 1.34, 5.68, rern6,
2014-02-19,2.34, 6.85, -2.04, 1.77, 1.29, 5.52, rern6,
2014-02-20,2.24, 7.60, -7.93, 1.72, 1.25, 5.3, rern6,
2014-02-21,1.70, 7.23, -6.64, 1.58, 1.14, 4.87, rern6,
2014-02-22,2.83, 8.00, -5.84, 1.49, 1.12, 4.65, rern6,
2014-02-23,3.33, 8.00, -14.59, 1.56, 1.16, 4.8, rern6,
2014-02-24,2.92, 8.37, -9.03, 1.56, 1.15, 4.83, rern6,
2014-02-25,2.90, 8.51, -11.27, 1.53, 1.13, 4.73, rern6,
2014-02-26,2.16, 8.17, -2.50, 1.66, 1.25, 5.13, rern6,
2014-02-27,2.52, 7.88, -2.73, 1.54, 1.15, 4.83, rern6,
2014-02-28,2.72, 7.21, -2.21, 1.5, 1.12, 4.68, rern6,
2014-03-01,3.03, 7.40, -3.51, 1.53, 1.13, 4.73, rern6,
2014-03-02,3.00, 7.44, -6.30, 1.58, 1.16, 4.89, rern6,
2014-03-03,1.79, 8.54, -9.17, 1.58, 1.16, 4.87, rern6,
2014-03-04,1.80, 8.64, -9.92, 1.63, 1.2, 5.03, rern6,
2014-03-05,1.96, 9.12, -9.34, 2.01, 1.46, 6.26, rern6,
2014-03-06,3.82, 8.93, -3.68, 1.75, 1.32, 5.44, rern6,
2014-03-07,1.96, 9.40, -7.54, 1.7, 1.21, 5.21, rern6,
2014-03-08,1.87, 9.77, -10.22, 1.58, 1.15, 4.86, rern6,
2014-03-09,2.08, 8.52, -9.46, 1.62, 1.18, 5, rern6,
2014-03-10,1.62, 8.51, -5.33, 1.65, 1.2, 5.09, rern6,
2014-03-11,1.83, 10.33, -12.94, 1.66, 1.21, 5.15, rern6,
2014-03-12,2.80, 9.84, -5.25, 1.56, 1.14, 4.82, rern6,
2014-03-13,2.66, 8.97, -6.58, 1.6, 1.16, 4.95, rern6,
2014-03-14,1.86, 8.79, -4.06, 1.93, 1.39, 5.95, rern6,
2014-03-15,1.93, 9.89, -9.37, 1.92, 1.39, 6, rern6,
2014-03-16,1.81, 10.40, -16.10, 1.64, 1.19, 5.11, rern6,
2014-03-17,3.49, 8.75, -9.78, 1.76, 1.28, 5.48, rern6,
2014-03-18,1.95, 10.10, -9.90, 1.77, 1.29, 5.47, rern6,
2014-03-19,1.81, 8.74, -11.14, 1.64, 1.19, 5.1, rern6,
2014-03-20,2.40, 8.65, -7.94, 1.85, 1.33, 5.71, rern6,
2014-03-21,3.21, 9.35, -10.11, 1.61, 1.2, 5.02, rern6,
2014-03-22,3.22, 9.76, -14.35, 1.81, 1.32, 5.61, rern6,
2014-03-23,2.44, 11.14, -4.57, 1.76, 1.31, 5.44, suppf,
2014-03-24,2.19, 10.89, -4.58, 1.59, 1.18, 4.94, suppf,
2014-03-25,1.11, 9.71, -3.41, 1.99, 1.47, 6.17, suppf,
2014-03-26,2.89, 9.06, -2.57, 1.65, 1.23, 5.11, suppf,
2014-03-27,3.02, 10.13, -3.04, 1.79, 1.33, 5.54, suppf,
2014-03-28,1.60, 11.69, -4.37, 1.74, 1.31, 5.44, suppf,
2014-03-29,1.29, 10.05, -10.63, 1.78, 1.33, 5.56, suppf,
2014-03-30,2.25, 10.29, -12.49, 1.86, 1.38, 5.8, suppf,
2014-03-31,2.39, 10.94, -8.63, 1.62, 1.23, 5.07, suppf,
2014-04-01,3.00, 10.58, -5.23, 1.63, 1.26, 5.22, suppf,
2014-04-02,2.05, 10.73, -6.40, 1.79, 1.35, 5.53, suppf,
2014-04-03,2.07, 10.80, -6.06, 1.74, 1.32, 5.45, suppf,
2014-04-04,1.22, 10.68, -5.63, 2.06, 1.61, 6.47, suppf,
2014-04-05,2.32, 11.01, -2.36, 1.59, 1.2, 4.99, suppf,
2014-04-06,2.80, 11.26, -2.35, 1.58, 1.19, 4.92, suppf,
2014-04-07,3.65, 11.50, -4.95, 1.82, 1.37, 5.65, suppf,
2014-04-08,2.66, 10.49, -6.52, 1.99, 1.5, 6.24, suppf,
2014-04-09,2.72, 9.81, -2.28, 1.7, 1.28, 5.32, suppf,
2014-04-10,2.69, 10.00, -4.87, 1.67, 1.23, 5.15, suppf,
2014-04-11,3.44, 10.40, -4.69, 1.62, 1.21, 5.05, suppf,
2014-04-12,2.87, 11.26, -2.71, 1.58, 1.19, 4.93, suppf,
2014-04-13,2.93, 11.82, -5.53, 1.88, 1.41, 5.79, suppf,
2014-04-14,3.04, 11.31, -6.90, 1.72, 1.29, 5.36, suppf,
2014-04-15,3.80, 11.82, -5.84, 1.87, 1.38, 5.66, suppf,
2014-04-16,2.93, 11.11, -6.49, 1.62, 1.2, 5, suppf,
