PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, PABH
Station name, PABH_PNGA_WA1997
Begin Date, 1997-08-30
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, PABH.pbo.nam08.pos
Offset from source file, 99.56 mm North, 126.64 mm East, 1.41 mm Vertical
Reference position, 47.2127995844 North Latitude, -124.2045821533 East Longitude, 12.90716 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
1997-08-30,0.00, 0.00, 0.00, 1.99, 1.57, 6.61, repro,
1997-08-31,-0.33, 1.16, -3.76, 1.65, 1.3, 5.56, repro,
1997-09-01,0.15, 1.35, -3.38, 1.85, 1.43, 6.18, repro,
1997-09-02,0.30, 2.36, -2.61, 1.78, 1.4, 6.01, repro,
1997-09-03,-0.36, 2.94, -1.77, 1.63, 1.28, 5.55, repro,
1997-09-04,-0.45, 2.29, -3.51, 1.83, 1.43, 6.08, repro,
1997-09-05,0.16, 2.80, -0.91, 1.75, 1.39, 5.92, repro,
1997-09-06,-0.42, 1.56, 3.30, 1.63, 1.29, 5.61, repro,
1997-09-07,0.12, 1.60, 0.37, 1.61, 1.28, 5.56, repro,
1997-09-08,0.42, 1.53, -0.17, 1.8, 1.41, 6.01, repro,
1997-09-09,-0.80, 1.74, 3.27, 1.75, 1.4, 6.07, repro,
1997-09-10,-0.16, 2.17, 2.95, 1.78, 1.41, 6.07, repro,
1997-09-11,0.17, 1.59, -1.33, 2.28, 1.72, 7.54, repro,
1997-09-12,-0.30, 1.60, 1.02, 1.99, 1.54, 6.59, repro,
1997-09-13,0.32, 1.49, 0.45, 1.79, 1.44, 6.09, repro,
1997-09-14,1.51, -0.64, 8.95, 2.33, 1.81, 7.65, repro,
1997-09-15,-0.17, 0.75, 0.98, 2.48, 1.91, 8.26, repro,
1997-09-16,-0.61, 1.59, 3.02, 1.86, 1.47, 6.25, repro,
1997-09-17,0.32, 2.21, 3.60, 2.11, 1.64, 7.07, repro,
1997-09-18,1.42, 1.92, 0.78, 2.1, 1.67, 7.05, repro,
1997-09-19,0.83, 2.38, -3.80, 1.5, 1.18, 5.21, repro,
1997-09-20,1.32, 2.84, -5.70, 1.66, 1.29, 5.74, repro,
1997-09-21,0.64, 3.28, -0.77, 1.55, 1.21, 5.29, repro,
1997-09-22,0.78, 3.02, -0.96, 1.52, 1.21, 5.38, repro,
1997-09-23,1.32, 3.47, -0.24, 1.48, 1.17, 5.2, repro,
1997-09-24,1.36, 2.22, 0.83, 1.54, 1.21, 5.33, repro,
1997-09-25,1.56, 2.45, 0.67, 2.25, 1.74, 7.45, repro,
1997-09-26,-0.07, 1.58, 2.26, 2.63, 1.99, 8.61, repro,
1997-09-27,0.57, 0.83, 7.46, 2.21, 1.7, 7.37, repro,
1997-09-28,1.07, 2.33, -1.84, 2.16, 1.64, 7.11, repro,
1997-09-29,1.69, 2.18, -1.42, 1.67, 1.3, 5.65, repro,
1997-09-30,1.68, 2.64, 0.79, 1.83, 1.39, 6.15, repro,
1997-10-01,-0.55, 0.98, 2.91, 2.32, 1.76, 7.59, repro,
1997-10-02,0.47, 2.22, 2.11, 2.07, 1.65, 6.94, repro,
1997-10-03,1.44, 1.00, -0.78, 2.25, 1.72, 7.45, repro,
1997-10-04,-0.30, 1.70, -3.52, 2.37, 1.81, 7.68, repro,
1997-10-05,1.56, 2.78, 0.80, 2.17, 1.67, 7.09, repro,
1997-10-06,1.67, 3.68, -0.54, 2.03, 1.6, 6.81, repro,
1997-10-07,2.46, 3.78, -2.52, 1.94, 1.49, 6.38, repro,
1997-10-08,1.83, 2.89, -2.59, 1.92, 1.5, 6.25, repro,
1997-10-09,1.73, 1.25, -4.90, 2.25, 1.71, 7.41, repro,
1997-10-10,1.36, 4.31, 1.35, 2.39, 1.82, 7.81, repro,
1997-10-11,3.52, 4.01, -1.00, 2.19, 1.68, 7.24, repro,
1997-10-12,1.33, 4.31, -4.52, 1.59, 1.24, 5.38, repro,
1997-10-13,1.61, 4.93, -8.66, 1.63, 1.26, 5.54, repro,
1997-10-14,2.05, 4.76, -7.43, 1.72, 1.34, 5.8, repro,
1997-10-15,1.48, 4.26, -5.12, 1.68, 1.32, 5.71, repro,
1997-10-16,0.65, 3.98, -6.53, 1.99, 1.51, 6.63, repro,
1997-10-17,2.10, 4.26, -6.23, 1.76, 1.35, 5.91, repro,
1997-10-18,1.17, 4.84, -6.04, 1.52, 1.17, 5.23, repro,
1997-10-19,1.92, 4.49, -5.70, 1.42, 1.09, 4.91, repro,
1997-10-20,1.88, 4.99, -5.84, 1.39, 1.11, 4.92, repro,
1997-10-21,2.33, 4.77, -4.03, 1.48, 1.19, 5.17, repro,
1997-10-22,2.31, 4.55, -4.27, 1.79, 1.4, 6.05, repro,
1997-10-23,2.25, 5.29, -4.63, 1.92, 1.51, 6.42, repro,
1997-10-24,2.42, 4.50, -3.23, 1.43, 1.15, 5.03, repro,
1997-10-25,2.59, 4.65, -6.46, 1.55, 1.23, 5.42, repro,
1997-10-26,2.20, 4.34, -1.39, 1.62, 1.28, 5.58, repro,
1997-10-27,2.26, 3.94, -1.14, 1.8, 1.39, 6.07, repro,
1997-10-28,2.87, 3.16, -2.69, 1.76, 1.38, 5.93, repro,
1997-10-29,1.37, 2.71, 0.76, 2.23, 1.73, 7.34, repro,
1997-10-30,2.09, 1.52, -0.10, 2.56, 1.94, 8.31, repro,
1997-10-31,3.06, 3.65, -6.94, 2.04, 1.61, 6.71, repro,
1997-11-01,2.17, 5.71, -6.24, 1.7, 1.33, 5.79, repro,
1997-11-02,2.46, 4.70, -5.46, 1.59, 1.27, 5.5, repro,
1997-11-03,2.96, 4.64, -2.46, 1.91, 1.49, 6.27, repro,
