PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, PCOL
Station name, PCOL_PNGA_WA2003
Begin Date, 2003-07-25
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, PCOL.pbo.nam08.pos
Offset from source file, 20.62 mm North, 23.36 mm East, -7.02 mm Vertical
Reference position, 47.1720569698 North Latitude, -122.5708058633 East Longitude, 79.14663 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2003-07-25,0.00, 0.00, 0.00, 3.34, 2.31, 10.45, repro,
2003-07-26,-0.43, -1.05, -1.29, 3.47, 2.36, 10.59, repro,
2003-07-27,-1.69, 0.64, 2.05, 3.39, 2.32, 10.57, repro,
2003-07-28,0.07, 0.15, -1.08, 3.38, 2.34, 10.59, repro,
2003-07-29,-0.44, 1.26, 4.41, 3.38, 2.31, 10.47, repro,
2003-07-30,1.00, 1.36, 0.83, 3.24, 2.22, 10.11, repro,
2003-07-31,-0.55, 1.71, 1.29, 3.45, 2.37, 10.57, repro,
2003-08-01,-1.05, 1.11, 6.10, 3.26, 2.29, 10.3, repro,
2003-08-02,-1.95, 0.78, 0.66, 3.38, 2.33, 10.52, repro,
2003-08-03,-1.61, 1.97, 9.33, 3.38, 2.35, 10.61, repro,
2003-08-04,-0.69, 0.56, 4.07, 3.33, 2.32, 10.51, repro,
2003-08-05,-0.60, 1.37, -1.54, 3.23, 2.22, 10.14, repro,
2003-08-06,0.63, 1.14, 2.17, 3.2, 2.22, 10.12, repro,
2003-08-07,-1.82, 0.82, 3.50, 3.21, 2.22, 10.12, repro,
2003-08-08,-1.21, -0.30, 6.83, 3.25, 2.24, 10.2, repro,
2003-08-09,-0.67, 0.98, 10.25, 3.56, 2.51, 11.21, repro,
2003-08-10,-0.60, 0.39, -0.23, 3.23, 2.23, 10.12, repro,
2003-08-11,-1.61, 0.80, 6.40, 3.2, 2.21, 10.05, repro,
2003-08-12,-1.40, 0.84, 6.06, 3.2, 2.22, 10.1, repro,
2003-08-13,-1.69, 0.83, 4.92, 3.22, 2.22, 10.08, repro,
2003-08-14,-1.06, 1.32, 7.34, 3.23, 2.22, 10.12, repro,
2003-08-15,0.07, 0.95, 4.58, 3.22, 2.23, 10.13, repro,
2003-08-16,0.53, 0.53, 12.04, 3.24, 2.22, 10.12, repro,
2003-08-17,-0.06, 1.07, 5.24, 3.22, 2.22, 10.09, repro,
2003-08-18,0.53, 1.41, 11.51, 3.27, 2.24, 10.28, repro,
2003-08-19,0.59, 1.16, 1.61, 3.23, 2.23, 10.14, repro,
2003-08-20,0.33, 0.52, 13.71, 3.2, 2.22, 10.08, repro,
2003-08-21,-1.00, 1.18, 8.81, 3.21, 2.22, 10.12, repro,
2003-08-22,-0.59, 3.25, 11.13, 3.23, 2.22, 10.1, repro,
2003-08-23,-0.39, 1.52, 6.54, 3.19, 2.21, 10.05, repro,
2003-08-24,-0.03, 1.32, 4.84, 3.2, 2.21, 10.1, repro,
2003-08-25,-1.50, 2.09, 9.57, 3.24, 2.22, 10.18, repro,
2003-08-26,0.14, 1.00, 9.29, 3.19, 2.21, 10.09, repro,
2003-08-27,0.85, 2.21, 6.44, 3.22, 2.22, 10.15, repro,
