PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, SC02
Station name, SC02_PNGA_WA2001
Begin Date, 2001-11-11
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, SC02.pbo.nam08.pos
Offset from source file, 21.14 mm North, 32.76 mm East, 3.23 mm Vertical
Reference position, 48.5461948965 North Latitude, -123.00761051 East Longitude, -15.02591 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2001-11-11,0.00, 0.00, 0.00, 1.77, 1.34, 5.71, repro,
2001-11-12,1.07, -1.41, 1.27, 1.81, 1.35, 5.83, repro,
2001-11-13,-1.26, -1.46, 13.86, 2.03, 1.5, 6.52, repro,
2001-11-14,-0.30, -0.20, 10.36, 1.86, 1.41, 5.99, repro,
2001-11-15,-0.30, 0.89, 6.50, 2.19, 1.64, 6.91, repro,
2001-11-16,-0.30, -0.35, -0.30, 1.83, 1.4, 5.95, repro,
2001-11-17,-0.14, -0.90, -2.30, 1.59, 1.23, 5.23, repro,
2001-11-18,0.77, -0.09, -1.42, 1.61, 1.25, 5.3, repro,
2001-11-19,0.12, -0.85, 7.53, 1.86, 1.43, 6.15, repro,
2001-11-20,0.58, -0.89, 3.87, 2.08, 1.58, 6.69, repro,
2001-11-21,-0.50, -0.91, 2.04, 1.74, 1.37, 5.77, repro,
2001-11-22,-0.16, -0.72, 6.54, 1.65, 1.28, 5.38, repro,
2001-11-23,0.04, 0.09, 9.87, 1.83, 1.37, 5.96, repro,
2001-11-24,-0.47, -0.73, 3.21, 2.01, 1.52, 6.52, repro,
2001-11-25,0.81, -0.04, 3.23, 1.71, 1.33, 5.68, repro,
2001-11-26,1.77, 0.06, -10.93, 1.83, 1.39, 5.92, repro,
2001-11-27,0.23, -0.29, -6.59, 1.72, 1.33, 5.61, repro,
2001-11-28,1.67, 0.08, 6.68, 1.73, 1.33, 5.6, repro,
2001-11-29,0.56, 0.12, 4.14, 1.78, 1.37, 5.8, repro,
2001-11-30,-0.35, -0.02, 6.94, 1.68, 1.3, 5.47, repro,
2001-12-01,0.68, 0.90, 6.26, 1.82, 1.39, 5.89, repro,
2001-12-02,-0.15, -0.65, 5.53, 1.79, 1.38, 5.8, repro,
2001-12-03,0.16, 0.36, 6.19, 1.62, 1.26, 5.3, repro,
2001-12-04,0.14, 0.31, 2.31, 1.69, 1.3, 5.48, repro,
2001-12-05,0.32, -0.26, 3.49, 1.59, 1.21, 5.16, repro,
2001-12-06,-0.63, -1.03, 3.93, 1.79, 1.37, 5.84, repro,
2001-12-07,0.83, 1.21, -2.85, 1.66, 1.26, 5.36, repro,
2001-12-08,-0.34, 0.51, 3.77, 1.86, 1.4, 5.97, repro,
2001-12-09,-0.74, 0.51, 3.99, 1.81, 1.37, 5.83, repro,
