PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, SEAT
Station name, SEAT_PNGA_WA1995
Begin Date, 1996-01-01
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, SEAT.pbo.nam08.pos
Offset from source file, 28.06 mm North, 44.37 mm East, 13.42 mm Vertical
Reference position, 47.6539770667 North Latitude, -122.3094761476 East Longitude, 44.22804 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
1996-01-01,0.00, 0.00, 0.00, 1.72, 1.47, 6.17, repro,
1996-01-02,-0.68, 0.64, -3.85, 1.7, 1.41, 6.06, repro,
1996-01-03,-0.43, -0.27, 3.47, 1.89, 1.54, 6.59, repro,
1996-01-04,-0.15, 0.21, -2.06, 1.54, 1.24, 5.4, repro,
1996-01-05,0.69, 0.67, -4.37, 1.46, 1.2, 5.22, repro,
1996-01-06,0.36, -0.23, -6.59, 1.67, 1.38, 5.86, repro,
1996-01-07,-0.66, -1.18, -7.60, 1.98, 1.62, 6.93, repro,
1996-01-08,-2.09, -1.73, -4.17, 1.79, 1.45, 6.09, repro,
1996-01-09,-1.14, -1.48, -2.66, 1.59, 1.3, 5.64, repro,
1996-01-10,-0.21, -0.42, -2.43, 1.67, 1.38, 5.92, repro,
1996-01-11,-1.77, -1.91, -5.89, 1.67, 1.35, 5.95, repro,
1996-01-15,2.78, -1.14, -5.50, 2.14, 1.69, 7.92, repro,
1996-01-16,2.24, -1.87, -6.69, 1.66, 1.34, 6.24, repro,
1996-01-17,1.53, -0.50, -2.93, 1.47, 1.19, 5.15, repro,
1996-01-18,2.21, -0.71, -2.85, 1.43, 1.17, 5.21, repro,
1996-01-19,2.70, -1.69, -6.53, 1.87, 1.49, 6.45, repro,
1996-01-20,0.74, -1.04, -5.46, 1.72, 1.4, 6.06, repro,
1996-01-21,0.72, -1.42, 1.42, 1.52, 1.23, 5.24, repro,
1996-01-22,0.57, -1.70, -6.61, 1.5, 1.22, 5.23, repro,
1996-01-23,-0.30, -0.64, -5.80, 1.57, 1.29, 5.45, repro,
1996-01-24,-0.26, -1.57, -4.57, 1.51, 1.21, 5.23, repro,
1996-01-25,-0.29, -1.34, -3.81, 1.44, 1.18, 4.86, repro,
1996-01-26,-0.23, 0.91, -1.56, 1.49, 1.32, 4.77, repro,
1996-01-27,0.82, -1.21, 0.70, 1.45, 1.17, 4.92, repro,
1996-01-28,0.74, -1.36, -9.16, 1.51, 1.23, 5.2, repro,
1996-01-29,2.25, -0.12, -9.03, 1.47, 1.24, 4.52, repro,
1996-01-30,3.11, 0.83, -12.23, 1.46, 1.25, 4.54, repro,
1996-02-02,2.95, 1.54, -7.61, 1.43, 1.2, 4.31, repro,
1996-02-03,3.52, 1.63, -6.79, 1.57, 1.34, 4.86, repro,
1996-02-04,2.14, -0.43, -4.87, 1.7, 1.39, 5.73, repro,
1996-02-05,1.17, 2.31, -1.07, 1.77, 1.48, 5.75, repro,
1996-02-06,-0.22, 2.10, 0.43, 1.83, 1.52, 6.05, repro,
1996-02-07,0.31, 1.71, -1.62, 1.57, 1.33, 5.23, repro,
1996-02-08,0.31, 0.93, -2.91, 1.49, 1.27, 4.82, repro,
1996-02-09,0.15, 0.29, -5.66, 1.79, 1.45, 6.05, repro,
1996-02-10,0.60, 0.50, -11.38, 1.54, 1.26, 5.18, repro,
1996-02-11,2.33, 1.61, -10.97, 1.66, 1.36, 5.48, repro,
1996-02-12,2.19, 1.05, -14.96, 1.64, 1.37, 5.43, repro,
1996-02-13,1.99, 1.58, -9.12, 1.33, 1.15, 4.3, repro,
1996-02-14,1.42, 1.34, -8.20, 1.4, 1.18, 4.63, repro,
1996-02-15,1.98, 1.97, -7.07, 1.59, 1.32, 5.24, repro,
1996-02-16,2.18, 2.66, -9.48, 1.67, 1.36, 5.68, repro,
1996-02-17,1.43, 1.40, -5.66, 1.45, 1.25, 4.69, repro,
1996-02-18,1.50, 0.65, -1.63, 1.99, 1.6, 6.64, repro,
1996-02-19,1.41, -0.40, -1.15, 1.7, 1.39, 5.79, repro,
1996-02-20,0.78, 0.29, 8.18, 1.61, 1.37, 5.2, repro,
1996-02-21,0.69, 1.39, 1.55, 1.6, 1.37, 5.2, repro,
1996-02-22,0.58, 0.82, -5.35, 1.58, 1.34, 5.35, repro,
1996-02-23,0.28, -0.27, -7.23, 1.48, 1.3, 4.7, repro,
1996-02-24,1.21, -0.17, -8.21, 1.3, 1.07, 4.68, repro,
1996-02-25,1.90, 1.61, -7.91, 1.45, 1.24, 4.56, repro,
1996-02-26,2.07, 0.30, -7.97, 1.39, 1.13, 4.9, repro,
1996-02-27,1.90, 0.30, -7.99, 1.38, 1.12, 4.84, repro,
1996-02-28,2.08, 1.10, -5.96, 1.36, 1.1, 4.67, repro,
1996-02-29,2.79, 2.47, -7.96, 1.36, 1.17, 4.27, repro,
1996-03-01,2.09, 2.34, -10.12, 1.36, 1.17, 4.39, repro,
1996-03-02,1.95, 0.37, -6.42, 1.33, 1.09, 4.62, repro,
1996-03-03,0.92, 0.84, -8.76, 1.84, 1.44, 6.15, repro,
1996-03-04,1.47, 2.27, 1.16, 1.61, 1.32, 5.09, repro,
1996-03-05,1.19, 1.37, -3.25, 1.67, 1.34, 5.54, repro,
1996-03-06,0.42, 2.75, -6.69, 1.78, 1.37, 5.74, repro,
1996-03-07,0.22, 2.35, -4.97, 1.9, 1.51, 6.21, repro,
