PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, SEDR
Station name, SEDR_PNGA_WA1997
Begin Date, 1997-10-07
End Date, 2017-02-14
Release Date, 2017-02-16
Source file, SEDR.pbo.nam08.pos
Offset from source file, 17.42 mm North, 32.66 mm East, -1.61 mm Vertical
Reference position, 48.5215578957 North Latitude, -122.2238479468 East Longitude, 29.85731 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
1997-10-07,0.00, 0.00, 0.00, 2.05, 1.54, 6.79, repro,
1997-10-08,9.91, 2.23, 11.11, 12.62, 7.04, 34.56, repro,
1997-10-09,2.01, -0.80, 8.33, 2.24, 1.69, 7.54, repro,
1997-10-10,-2.65, 0.79, 3.34, 2.21, 1.67, 7.39, repro,
1997-10-11,-1.73, 1.67, -0.48, 2.26, 1.7, 7.5, repro,
1997-10-12,-1.68, 2.09, -4.42, 2.22, 1.65, 7.38, repro,
1997-10-13,-0.68, 1.75, -3.86, 2.09, 1.58, 7.04, repro,
1997-10-14,-0.79, 1.39, -6.08, 2.18, 1.64, 7.27, repro,
1997-10-15,-0.92, 2.34, -8.86, 2.17, 1.66, 7.3, repro,
1997-10-16,-1.93, 1.95, -0.83, 2.31, 1.72, 7.7, repro,
1997-10-17,-1.63, 1.84, -7.34, 2.3, 1.72, 7.65, repro,
1997-10-18,-0.58, 1.76, -4.94, 2.06, 1.56, 6.89, repro,
1997-10-19,0.00, 2.22, -3.68, 2.13, 1.6, 7.1, repro,
1997-10-20,-0.31, 2.36, -5.31, 2.12, 1.59, 7.09, repro,
1997-10-21,-0.79, 1.62, -1.30, 2.02, 1.53, 6.94, repro,
1997-10-22,-1.51, 1.85, -4.26, 2.22, 1.66, 7.38, repro,
1997-10-23,-0.16, 1.04, -2.21, 2.23, 1.67, 7.36, repro,
1997-10-24,0.23, 1.76, -1.73, 2.01, 1.53, 6.78, repro,
1997-10-25,-0.66, 3.01, -5.44, 2.25, 1.71, 7.53, repro,
1997-10-26,-1.59, 1.37, -0.21, 2.22, 1.69, 7.44, repro,
1997-10-27,-0.39, 1.29, 1.72, 2.14, 1.64, 7.2, repro,
1997-10-28,0.36, 2.01, 0.78, 2.23, 1.69, 7.41, repro,
1997-10-29,0.85, 0.08, 2.09, 2.4, 1.81, 7.98, repro,
1997-10-30,-0.62, 1.52, 5.43, 2.53, 1.9, 8.26, repro,
1997-10-31,-0.30, -0.52, 0.38, 2.47, 1.87, 8.11, repro,
1997-11-01,-0.97, 2.17, -9.14, 2.34, 1.78, 7.71, repro,
1997-11-02,-1.98, 1.44, -2.81, 2.22, 1.7, 7.39, repro,
1997-11-03,-0.63, -0.03, -4.52, 2.31, 1.72, 7.44, repro,
1997-11-04,1.15, 1.94, -2.82, 2.19, 1.66, 7.27, repro,
1997-11-05,-1.19, 1.55, -2.19, 2.47, 1.86, 8.11, repro,
1997-11-06,-1.43, 0.48, 2.29, 2.3, 1.74, 7.62, repro,
1997-11-07,-0.57, 1.25, -1.48, 2.23, 1.71, 7.5, repro,
1997-11-08,-1.08, 1.92, -6.95, 2.15, 1.65, 7.14, repro,
1997-11-09,0.66, 1.65, -0.73, 2.08, 1.6, 7.03, repro,
1997-11-10,-0.30, 1.45, -0.31, 2.07, 1.61, 7.08, repro,
1997-11-11,-0.17, 1.73, 2.11, 2.13, 1.63, 7.18, repro,
1997-11-12,-0.82, 0.62, 7.53, 2.03, 1.55, 6.85, repro,
