station        component      count          c[mm*yr^-0.5]  d[yr^-1]       likelihood     
ALBH           east           726            2.7224e+00     1.4343e-01     9.6105e+02     
BLYN           east           562            1.7489e+02     5.3185e+01     2.1899e+03     
KTBW           east           732            1.4519e+00     7.5012e-06     1.0042e+03     
NEAH           east           732            4.0470e+00     1.6955e+00     1.1871e+03     
P064           east           725            5.5451e+00     2.7687e+00     1.1647e+03     
P399           east           437            2.4662e+00     1.8584e-05     5.6000e+02     
P400           east           732            1.4639e+00     1.4902e-05     1.5730e+03     
P401           east           732            1.0444e+00     1.6774e+00     8.9228e+02     
P402           east           732            1.2156e-04     2.0022e+03     9.6870e+02     
P403           east           682            2.3189e+00     4.0635e-01     1.0558e+03     
P418           east           732            1.9637e+00     1.2755e-01     1.0081e+03     
P419           east           553            1.5437e+00     1.0330e-05     7.1401e+02     
P423           east           732            1.5090e+00     2.2699e-06     1.0354e+03     
P424           east           732            3.4494e+00     2.0179e+00     1.1044e+03     
P426           east           116            5.4000e-07     1.9149e+05     1.6242e+02     
P435           east           708            2.9971e+00     1.6706e+00     1.1811e+03     
P436           east           732            2.1183e+00     6.6806e-01     1.0037e+03     
P437           east           732            2.0002e+00     4.2212e-03     1.0347e+03     
P438           east           349            1.0670e+00     4.3585e-05     4.4395e+02     
P439           east           732            2.5970e+00     1.7050e-01     1.0064e+03     
P815           east           732            1.0144e+00     1.7604e+00     9.0175e+02     
P816           east           732            6.5313e-01     2.5090e+00     9.4660e+02     
PABH           east           732            1.2957e-04     1.8851e+03     9.3385e+02     
PCOL           east           732            3.0577e+00     1.1839e+00     1.1604e+03     
SC02           east           731            2.8668e+00     8.4772e-02     9.8408e+02     
SC03           east           732            6.0843e+00     2.8167e+00     1.1199e+03     
SEAT           east           732            1.8370e+00     1.0072e-01     9.6064e+02     
SEDR           east           732            1.2310e+00     6.2968e-01     1.0646e+03     
TWHL           east           624            1.9501e+00     8.3690e-07     9.3207e+02     
ALBH           north          726            1.3127e+00     1.0065e+00     1.0923e+03     
BLYN           north          562            1.6320e+01     8.4238e-01     1.9969e+03     
KTBW           north          732            7.2353e-01     3.1761e-06     1.1981e+03     
NEAH           north          732            9.2792e+00     6.7870e+00     1.4443e+03     
P064           north          725            3.6806e+00     5.5291e-02     1.2722e+03     
P399           north          437            1.5340e+00     1.0796e+00     6.4401e+02     
P400           north          732            1.9310e+00     8.5368e-02     1.5357e+03     
P401           north          732            5.1848e-01     4.5562e-06     1.0611e+03     
P402           north          732            1.2455e+00     1.0679e+00     1.1593e+03     
P403           north          682            3.0271e+00     4.4867e-01     1.2921e+03     
P418           north          732            1.1229e+00     5.4783e-01     1.1724e+03     
P419           north          553            1.9861e+00     1.0020e-02     7.8451e+02     
P423           north          732            1.5850e+00     7.2263e-02     1.1923e+03     
P424           north          732            3.9576e+00     1.2574e+00     1.3208e+03     
P426           north          116            3.8995e-07     2.5414e+05     1.9570e+02     
P435           north          708            3.8930e+00     9.7122e-01     1.5163e+03     
P436           north          732            1.4256e+00     1.0403e+00     1.1845e+03     
P437           north          732            1.0689e+00     6.0879e-01     1.2042e+03     
P438           north          349            2.0435e-04     1.2911e+03     5.0874e+02     
P439           north          732            1.3985e+00     1.2458e-05     1.1814e+03     
P815           north          732            1.1348e+00     1.1441e+00     1.0821e+03     
P816           north          732            5.8312e-01     6.4515e-01     1.1268e+03     
PABH           north          732            4.0499e-01     2.1922e-06     1.1100e+03     
PCOL           north          732            1.5445e+00     2.2738e-02     1.3309e+03     
SC02           north          731            1.9698e+00     1.6401e-01     1.1515e+03     
SC03           north          732            1.1257e+01     8.0882e+00     1.3998e+03     
SEAT           north          732            2.1595e+00     1.2832e-05     1.1443e+03     
SEDR           north          732            8.3339e-01     5.3991e-02     1.2575e+03     
TWHL           north          624            1.5596e+00     2.2512e-08     1.0951e+03     
ALBH           vertical       726            1.6756e+01     7.2994e-01     2.1286e+03     
BLYN           vertical       562            1.8172e+02     9.2711e-01     2.9874e+03     
KTBW           vertical       732            8.3671e+00     1.6440e+00     2.1288e+03     
NEAH           vertical       732            4.4843e+01     6.7037e+00     2.3940e+03     
P064           vertical       725            1.2727e+01     5.2887e+00     2.1312e+03     
P399           vertical       437            1.6272e+01     5.0674e+00     1.2294e+03     
P400           vertical       732            1.7497e+01     2.0474e+00     2.6054e+03     
P401           vertical       732            9.5126e+00     2.7177e+00     2.0202e+03     
P402           vertical       732            1.2051e+01     4.5330e+00     2.0903e+03     
P403           vertical       682            7.5969e+00     8.4246e-01     2.0795e+03     
P418           vertical       732            7.0049e+00     1.5956e+00     2.1156e+03     
P419           vertical       553            1.4365e+01     4.8909e+00     1.5099e+03     
P423           vertical       732            8.5924e+00     1.2063e+00     2.1866e+03     
P424           vertical       732            1.1933e+01     6.7404e-01     2.1464e+03     
P426           vertical       116            1.6442e-04     1.5487e+03     3.4176e+02     
P435           vertical       708            2.8062e+00     3.4890e+00     2.2631e+03     
P436           vertical       732            1.2840e+01     4.1075e+00     2.1481e+03     
P437           vertical       732            1.6778e+01     3.2576e+00     2.2082e+03     
P438           vertical       349            1.2645e+01     2.8951e+00     9.7179e+02     
P439           vertical       732            7.6950e+00     1.5269e+00     2.1085e+03     
P815           vertical       732            9.7479e+00     2.7563e+00     2.0324e+03     
P816           vertical       732            7.4928e+00     1.8245e+00     2.0614e+03     
PABH           vertical       732            7.1785e+00     1.9323e+00     2.0474e+03     
PCOL           vertical       732            1.6024e+01     1.8516e+00     2.3211e+03     
SC02           vertical       731            8.8166e+00     1.1287e+00     2.1023e+03     
SC03           vertical       732            2.6113e+01     8.7028e+00     2.0949e+03     
SEAT           vertical       732            1.6468e+01     3.7466e+00     2.1162e+03     
SEDR           vertical       732            1.3965e+01     3.4516e+00     2.2295e+03     
TWHL           vertical       624            8.5878e+00     1.0693e+00     1.8837e+03     
