station        component      count          a[mm]          b[yr]          likelihood     
ALBH           east           726            7.9857e-01     5.0000e-02     9.6292e+02     
BLYN           east           562            4.0116e+00     5.0000e-02     2.2186e+03     
KTBW           east           732            4.7494e-01     5.0000e-02     1.0103e+03     
NEAH           east           732            8.1873e-01     5.0000e-02     1.1825e+03     
P064           east           725            9.3123e-01     5.0000e-02     1.1637e+03     
P399           east           437            6.1631e-01     5.0000e-02     5.6111e+02     
P400           east           732            4.9324e-01     5.0000e-02     1.5748e+03     
P401           east           732            2.2124e-01     5.0000e-02     8.9126e+02     
P402           east           732            1.4029e-01     5.0000e-02     9.6834e+02     
P403           east           682            5.7670e-01     5.0000e-02     1.0547e+03     
P418           east           732            5.3778e-01     5.0000e-02     1.0095e+03     
P419           east           553            4.3203e-01     5.0000e-02     7.1887e+02     
P423           east           732            4.4782e-01     5.0000e-02     1.0362e+03     
P424           east           732            6.2049e-01     5.0000e-02     1.1009e+03     
P426           east           116            2.1232e-11     5.0000e-02     1.6242e+02     
P435           east           708            6.0502e-01     5.0000e-02     1.1782e+03     
P436           east           732            4.8188e-01     5.0000e-02     1.0019e+03     
P437           east           732            5.4974e-01     5.0000e-02     1.0353e+03     
P438           east           349            2.4290e-01     5.0000e-02     4.4357e+02     
P439           east           732            6.6502e-01     5.0000e-02     1.0045e+03     
P815           east           732            2.1953e-01     5.0000e-02     9.0068e+02     
P816           east           732            1.7209e-01     5.0000e-02     9.4585e+02     
PABH           east           732            1.4708e-01     5.0000e-02     9.3343e+02     
PCOL           east           732            6.5189e-01     5.0000e-02     1.1561e+03     
SC02           east           731            7.6352e-01     5.0000e-02     9.8157e+02     
SC03           east           732            7.8663e-01     5.0000e-02     1.1356e+03     
SEAT           east           732            4.9460e-01     5.0000e-02     9.6127e+02     
SEDR           east           732            3.0807e-01     5.0000e-02     1.0638e+03     
TWHL           east           624            5.9085e-01     5.0000e-02     9.3605e+02     
ALBH           north          726            3.2952e-01     5.0000e-02     1.0914e+03     
BLYN           north          562            4.0093e+00     5.0000e-02     1.9961e+03     
KTBW           north          732            2.3868e-01     5.0000e-02     1.1999e+03     
NEAH           north          732            1.1216e+00     5.0000e-02     1.4500e+03     
P064           north          725            1.0016e+00     5.0000e-02     1.2744e+03     
P399           north          437            3.8261e-01     5.0000e-02     6.4257e+02     
P400           north          732            5.9130e-01     5.0000e-02     1.5366e+03     
P401           north          732            2.2017e-01     5.0000e-02     1.0614e+03     
P402           north          732            3.0219e-01     5.0000e-02     1.1588e+03     
P403           north          682            6.8652e-01     5.0000e-02     1.2913e+03     
P418           north          732            3.5277e-01     5.0000e-02     1.1715e+03     
P419           north          553            5.7465e-01     5.0000e-02     7.8779e+02     
P423           north          732            4.5384e-01     5.0000e-02     1.1936e+03     
P424           north          732            7.4565e-01     5.0000e-02     1.3195e+03     
P426           north          116            3.5680e-06     5.0000e-02     1.9570e+02     
P435           north          708            8.4045e-01     5.0000e-02     1.5161e+03     
P436           north          732            3.2763e-01     5.0000e-02     1.1833e+03     
P437           north          732            3.0514e-01     5.0000e-02     1.2039e+03     
P438           north          349            3.5731e-05     5.0000e-02     5.0874e+02     
P439           north          732            4.1639e-01     5.0000e-02     1.1834e+03     
P815           north          732            2.7579e-01     5.0000e-02     1.0814e+03     
P816           north          732            1.8346e-01     5.0000e-02     1.1266e+03     
PABH           north          732            2.1602e-01     5.0000e-02     1.1100e+03     
PCOL           north          732            5.3249e-01     5.0000e-02     1.3356e+03     
SC02           north          731            5.2136e-01     5.0000e-02     1.1517e+03     
SC03           north          732            9.1222e-01     5.0000e-02     1.4172e+03     
SEAT           north          732            6.7892e-01     5.0000e-02     1.1476e+03     
SEDR           north          732            3.1840e-01     5.0000e-02     1.2583e+03     
TWHL           north          624            4.7054e-01     5.0000e-02     1.0965e+03     
ALBH           vertical       726            3.6604e+00     5.0000e-02     2.1396e+03     
BLYN           vertical       562            3.6795e+01     5.0000e-02     2.9950e+03     
KTBW           vertical       732            1.6323e+00     5.0000e-02     2.1280e+03     
NEAH           vertical       732            5.0638e+00     5.0000e-02     2.4102e+03     
P064           vertical       725            1.5191e+00     5.0000e-02     2.1308e+03     
P399           vertical       437            2.1344e+00     5.0000e-02     1.2295e+03     
P400           vertical       732            3.3676e+00     5.0000e-02     2.6026e+03     
P401           vertical       732            1.5112e+00     5.0000e-02     2.0198e+03     
P402           vertical       732            1.4695e+00     5.0000e-02     2.0903e+03     
P403           vertical       682            1.8447e+00     5.0000e-02     2.0808e+03     
P418           vertical       732            1.4778e+00     5.0000e-02     2.1154e+03     
P419           vertical       553            1.9615e+00     5.0000e-02     1.5107e+03     
P423           vertical       732            1.8026e+00     5.0000e-02     2.1862e+03     
P424           vertical       732            2.3824e+00     5.0000e-02     2.1482e+03     
P426           vertical       116            1.9256e+00     5.0000e-02     3.4170e+02     
P435           vertical       708            9.4282e-01     5.0000e-02     2.2628e+03     
P436           vertical       732            1.6386e+00     5.0000e-02     2.1483e+03     
P437           vertical       732            2.2907e+00     5.0000e-02     2.2090e+03     
P438           vertical       349            1.8739e+00     5.0000e-02     9.7171e+02     
P439           vertical       732            1.4393e+00     5.0000e-02     2.1082e+03     
P815           vertical       732            1.5708e+00     5.0000e-02     2.0313e+03     
P816           vertical       732            1.4487e+00     5.0000e-02     2.0607e+03     
