station        component      count          a[mm]          b[yr]          c[mm*yr^-0.5]  d[yr^-1]       likelihood     
ALBH           east           726            7.1422e-01     5.0000e-02     5.0000e-01     1.0000e-01     9.6143e+02     
BLYN           east           562            4.0108e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.2186e+03     
KTBW           east           732            3.6299e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0079e+03     
NEAH           east           732            8.1013e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.1826e+03     
P064           east           725            9.3123e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.1638e+03     
P399           east           437            5.9724e-01     5.0000e-02     5.0000e-01     1.0000e-01     5.6102e+02     
P400           east           732            3.8472e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.5740e+03     
P401           east           732            1.9999e-01     5.0000e-02     5.0000e-01     1.0000e-01     8.9207e+02     
P402           east           732            1.3526e-01     5.0000e-02     5.0000e-01     1.0000e-01     9.6966e+02     
P403           east           682            5.4819e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0545e+03     
P418           east           732            4.9174e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0089e+03     
P419           east           553            3.3483e-01     5.0000e-02     5.0000e-01     1.0000e-01     7.1691e+02     
P423           east           732            3.6779e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0345e+03     
P424           east           732            6.1508e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.1011e+03     
P426           east           116            8.9391e-08     5.0000e-02     5.0000e-01     1.0000e-01     1.6245e+02     
P435           east           708            6.0050e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.1785e+03     
P436           east           732            4.6609e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0022e+03     
P437           east           732            5.0646e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0348e+03     
P438           east           349            2.2654e-01     5.0000e-02     5.0000e-01     1.0000e-01     4.4363e+02     
P439           east           732            6.3739e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0042e+03     
P815           east           732            1.9938e-01     5.0000e-02     5.0000e-01     1.0000e-01     9.0144e+02     
P816           east           732            1.6514e-01     5.0000e-02     5.0000e-01     1.0000e-01     9.4709e+02     
PABH           east           732            1.4569e-01     5.0000e-02     5.0000e-01     1.0000e-01     9.3481e+02     
PCOL           east           732            6.3863e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.1562e+03     
SC02           east           731            7.2629e-01     5.0000e-02     5.0000e-01     1.0000e-01     9.8113e+02     
SC03           east           732            7.5009e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.1349e+03     
SEAT           east           732            4.4815e-01     5.0000e-02     5.0000e-01     1.0000e-01     9.6065e+02     
SEDR           east           732            2.7637e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0639e+03     
TWHL           east           624            5.2614e-01     5.0000e-02     5.0000e-01     1.0000e-01     9.3517e+02     
ALBH           north          726            2.9680e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.0915e+03     
BLYN           north          562            3.9981e+00     5.0000e-02     5.0000e-01     1.0000e-01     1.9961e+03     
KTBW           north          732            2.1232e-11     5.0000e-02     5.0000e-01     1.0000e-01     1.1984e+03     
NEAH           north          732            1.1208e+00     5.0000e-02     5.0000e-01     1.0000e-01     1.4501e+03     
P064           north          725            9.6494e-01     5.0000e-02     5.0000e-01     1.0000e-01     1.2741e+03     
P399           north          437            3.7529e-01     5.0000e-02     5.0000e-01     1.0000e-01     6.4268e+02     
