station        component      count          e[mm*yr^-0.5]  likelihood     
ALBH           east           726            2.7105e+00     9.6106e+02     
BLYN           east           562            3.2431e+01     2.2151e+03     
KTBW           east           732            1.4519e+00     1.0042e+03     
NEAH           east           732            3.6478e+00     1.1883e+03     
P064           east           725            4.9598e+00     1.1674e+03     
P399           east           437            2.4662e+00     5.6000e+02     
P400           east           732            1.4639e+00     1.5730e+03     
P401           east           732            7.9181e-01     8.9341e+02     
P402           east           732            7.6709e-08     9.6870e+02     
P403           east           682            2.2492e+00     1.0559e+03     
P418           east           732            1.9541e+00     1.0081e+03     
P419           east           553            1.5437e+00     7.1401e+02     
P423           east           732            1.5090e+00     1.0354e+03     
P424           east           732            3.0437e+00     1.1058e+03     
P426           east           116            2.7693e-04     1.6242e+02     
P435           east           708            2.5847e+00     1.1822e+03     
P436           east           732            2.0332e+00     1.0040e+03     
P437           east           732            2.0002e+00     1.0347e+03     
P438           east           349            1.0670e+00     4.4395e+02     
P439           east           732            2.5833e+00     1.0065e+03     
P815           east           732            6.8058e-01     9.0281e+02     
P816           east           732            4.6025e-07     9.4672e+02     
PABH           east           732            1.2869e-09     9.3385e+02     
PCOL           east           732            2.8662e+00     1.1611e+03     
SC02           east           731            2.8625e+00     9.8408e+02     
SC03           east           732            5.1000e+00     1.1223e+03     
SEAT           east           732            1.8311e+00     9.6065e+02     
SEDR           east           732            1.1150e+00     1.0648e+03     
TWHL           east           624            1.9501e+00     9.3207e+02     
ALBH           north          726            1.1157e+00     1.0928e+03     
BLYN           north          562            1.4696e+01     1.9973e+03     
KTBW           north          732            7.2352e-01     1.1981e+03     
NEAH           north          732            6.5703e+00     1.4512e+03     
P064           north          725            3.6776e+00     1.2722e+03     
P399           north          437            1.4487e+00     6.4407e+02     
P400           north          732            1.9175e+00     1.5357e+03     
P401           north          732            5.1850e-01     1.0611e+03     
P402           north          732            8.6778e-01     1.1596e+03     
P403           north          682            2.9136e+00     1.2922e+03     
P418           north          732            9.1079e-01     1.1725e+03     
P419           north          553            1.9860e+00     7.8451e+02     
P423           north          732            1.5795e+00     1.1923e+03     
P424           north          732            3.6253e+00     1.3216e+03     
P426           north          116            4.9136e-06     1.9570e+02     
P435           north          708            3.5604e+00     1.5168e+03     
P436           north          732            1.2225e+00     1.1848e+03     
P437           north          732            8.5551e-01     1.2043e+03     
P438           north          349            2.5996e-04     5.0874e+02     
P439           north          732            1.3985e+00     1.1814e+03     
P815           north          732            7.1722e-01     1.0825e+03     
P816           north          732            3.6261e-01     1.1267e+03     
PABH           north          732            4.0497e-01     1.1100e+03     
PCOL           north          732            1.5435e+00     1.3309e+03     
SC02           north          731            1.9512e+00     1.1516e+03     
SC03           north          732            7.0274e+00     1.4067e+03     
SEAT           north          732            2.1595e+00     1.1443e+03     
SEDR           north          732            8.2810e-01     1.2575e+03     
TWHL           north          624            1.5596e+00     1.0951e+03     
ALBH           vertical       726            1.5799e+01     2.1291e+03     
BLYN           vertical       562            1.7099e+02     2.9880e+03     
KTBW           vertical       732            6.3170e+00     2.1298e+03     
NEAH           vertical       732            3.3818e+01     2.4015e+03     
P064           vertical       725            6.3594e+00     2.1348e+03     
P399           vertical       437            1.2195e+01     1.2301e+03     
P400           vertical       732            1.5212e+01     2.6072e+03     
P401           vertical       732            6.8078e+00     2.0221e+03     
P402           vertical       732            7.3844e+00     2.0934e+03     
P403           vertical       682            6.5241e+00     2.0799e+03     
P418           vertical       732            4.8641e+00     2.1166e+03     
P419           vertical       553            1.0061e+01     1.5122e+03     
P423           vertical       732            6.9770e+00     2.1871e+03     
P424           vertical       732            1.1302e+01     2.1467e+03     
P426           vertical       116            3.6788e-07     3.4176e+02     
P435           vertical       708            2.1232e-11     2.2632e+03     
P436           vertical       732            7.2790e+00     2.1501e+03     
P437           vertical       732            1.2221e+01     2.2105e+03     
P438           vertical       349            1.1201e+01     9.7187e+02     
P439           vertical       732            6.4430e+00     2.1093e+03     
P815           vertical       732            7.1649e+00     2.0342e+03     
P816           vertical       732            5.7205e+00     2.0626e+03     
PABH           vertical       732            5.5692e+00     2.0487e+03     
PCOL           vertical       732            1.3965e+01     2.3220e+03     
SC02           vertical       731            7.6863e+00     2.1029e+03     
SC03           vertical       732            1.7778e+01     2.1048e+03     
SEAT           vertical       732            1.1158e+01     2.1181e+03     
SEDR           vertical       732            9.5675e+00     2.2318e+03     
TWHL           vertical       624            7.4545e+00     1.8843e+03     
