station        component      count          f[mm*yr^-1.5]  likelihood     
ALBH           east           726            7.4125e+01     9.6293e+02     
BLYN           east           562            7.5201e+02     2.2322e+03     
KTBW           east           732            1.0911e+01     1.0040e+03     
NEAH           east           732            1.1489e+02     1.1983e+03     
P064           east           725            2.0966e+02     1.1804e+03     
P399           east           437            6.2662e+01     5.5642e+02     
P400           east           732            2.5466e+00     1.5735e+03     
P401           east           732            2.1195e-05     8.9445e+02     
P402           east           732            4.6090e-06     9.6870e+02     
P403           east           682            4.3110e+01     1.0583e+03     
P418           east           732            4.1456e+01     1.0095e+03     
P419           east           553            2.1493e+01     7.1536e+02     
P423           east           732            5.2989e+00     1.0383e+03     
P424           east           732            8.5264e+01     1.1152e+03     
P426           east           116            1.3274e-03     1.6242e+02     
P435           east           708            7.6702e-07     1.1949e+03     
P436           east           732            4.7501e+01     1.0054e+03     
P437           east           732            4.0135e+01     1.0355e+03     
P438           east           349            3.0288e+01     4.4360e+02     
P439           east           732            6.8833e+01     1.0061e+03     
P815           east           732            8.9401e-02     9.0338e+02     
P816           east           732            1.3040e-05     9.4672e+02     
PABH           east           732            4.7589e-06     9.3385e+02     
PCOL           east           732            8.8213e+01     1.1656e+03     
SC02           east           731            8.5477e+01     9.8551e+02     
SC03           east           732            1.1310e+02     1.1426e+03     
SEAT           east           732            4.0236e+01     9.6200e+02     
SEDR           east           732            2.6731e+00     1.0666e+03     
TWHL           east           624            3.3911e+01     9.3340e+02     
ALBH           north          726            7.5588e-01     1.0944e+03     
BLYN           north          562            2.7472e+02     2.0031e+03     
KTBW           north          732            3.0083e+00     1.1977e+03     
NEAH           north          732            3.5175e+00     1.4720e+03     
P064           north          725            9.9234e+01     1.2738e+03     
P399           north          437            4.6359e-04     6.4473e+02     
P400           north          732            7.2754e+00     1.5361e+03     
P401           north          732            9.5004e-01     1.0609e+03     
P402           north          732            9.3859e-01     1.1599e+03     
P403           north          682            5.0996e+01     1.2944e+03     
P418           north          732            2.4845e+00     1.1731e+03     
P419           north          553            4.4417e+01     7.8551e+02     
P423           north          732            7.2138e+00     1.1936e+03     
P424           north          732            8.1604e+01     1.3272e+03     
P426           north          116            1.1307e-04     1.9570e+02     
P435           north          708            1.4134e+00     1.5309e+03     
P436           north          732            1.7705e+00     1.1865e+03     
P437           north          732            1.5446e+00     1.2051e+03     
P438           north          349            7.7016e-05     5.0874e+02     
P439           north          732            1.3069e+01     1.1821e+03     
P815           north          732            8.4135e-01     1.0827e+03     
P816           north          732            6.8143e-01     1.1267e+03     
PABH           north          732            8.6513e-01     1.1097e+03     
PCOL           north          732            1.0603e+01     1.3318e+03     
SC02           north          731            4.5060e+01     1.1533e+03     
SC03           north          732            1.2792e+02     1.4262e+03     
SEAT           north          732            4.9935e+01     1.1470e+03     
SEDR           north          732            2.6281e+00     1.2577e+03     
TWHL           north          624            8.3374e+00     1.0949e+03     
ALBH           vertical       726            3.3287e+02     2.1422e+03     
BLYN           vertical       562            5.6069e+03     3.0036e+03     
KTBW           vertical       732            7.9606e+00     2.1326e+03     
NEAH           vertical       732            1.3882e+03     2.4302e+03     
P064           vertical       725            1.4528e+00     2.1354e+03     
P399           vertical       437            2.9228e+02     1.2346e+03     
P400           vertical       732            3.5529e-09     2.6121e+03     
P401           vertical       732            3.3151e+00     2.0279e+03     
P402           vertical       732            4.8663e-01     2.0966e+03     
P403           vertical       682            6.5546e+01     2.0838e+03     
P418           vertical       732            4.1273e+00     2.1199e+03     
P419           vertical       553            7.8441e-09     1.5218e+03     
P423           vertical       732            1.6196e+01     2.1908e+03     
P424           vertical       732            2.2947e+02     2.1527e+03     
P426           vertical       116            4.6090e-06     3.4176e+02     
P435           vertical       708            3.5642e-11     2.2632e+03     
P436           vertical       732            6.8796e+00     2.1545e+03     
P437           vertical       732            1.2677e+01     2.2231e+03     
P438           vertical       349            3.0851e+02     9.7273e+02     
P439           vertical       732            7.9295e-01     2.1145e+03     
P815           vertical       732            3.1957e+00     2.0401e+03     
P816           vertical       732            3.6201e+00     2.0656e+03     
PABH           vertical       732            2.2070e+00     2.0520e+03     
PCOL           vertical       732            3.3204e+02     2.3297e+03     
SC02           vertical       731            1.3533e+02     2.1084e+03     
SC03           vertical       732            2.7774e+00     2.1225e+03     
SEAT           vertical       732            1.4990e+02     2.1275e+03     
SEDR           vertical       732            3.4206e+00     2.2375e+03     
TWHL           vertical       624            5.9106e+00     1.8888e+03     
