station        component      count          a[mm]          b[yr]          likelihood     
ALBH           east           726            9.7575e-01     8.8526e-02     9.5795e+02     
BLYN           east           562            6.1520e+04     2.4725e+02     2.2665e+03     
KTBW           east           732            1.3474e+00     4.3147e-01     1.0047e+03     
NEAH           east           732            1.4340e+00     1.0406e+00     1.2193e+03     
P064           east           725            8.6550e-01     2.8673e-02     1.1581e+03     
P399           east           437            1.1220e+00     1.1937e-01     5.5608e+02     
P400           east           732            1.0481e+01     3.8710e+00     1.5735e+03     
P401           east           732            4.7171e-03     9.1773e+01     8.9445e+02     
P402           east           732            4.0488e-04     7.3097e+02     9.6870e+02     
P403           east           682            6.5038e-01     7.7300e-02     1.0536e+03     
P418           east           732            7.8970e-01     1.2437e-01     1.0044e+03     
P419           east           553            8.1037e-01     1.4666e-01     7.1265e+02     
P423           east           732            4.5264e+00     2.0829e+00     1.0390e+03     
P424           east           732            7.0227e-01     1.0402e+00     1.1383e+03     
P426           east           116            4.4377e-02     1.3746e+01     1.6242e+02     
P435           east           708            1.5820e-03     2.2867e+02     1.1949e+03     
P436           east           732            9.2352e-01     1.0959e+00     1.0242e+03     
P437           east           732            9.7131e-01     1.5352e-01     1.0322e+03     
P438           east           349            3.6084e-01     8.9416e-02     4.4312e+02     
P439           east           732            8.9430e-01     9.1868e-02     9.9972e+02     
P815           east           732            1.2492e-02     4.0132e+01     9.0338e+02     
P816           east           732            9.4540e-03     5.0984e+01     9.4672e+02     
PABH           east           732            3.4452e-04     8.3217e+02     9.3385e+02     
PCOL           east           732            5.2037e-01     4.5375e-01     1.1808e+03     
SC02           east           731            9.1982e-01     7.3506e-02     9.7881e+02     
SC03           east           732            8.6541e-01     7.1006e-02     1.1348e+03     
SEAT           east           732            7.1826e-01     1.1066e-01     9.5702e+02     
SEDR           east           732            3.9398e-01     5.6661e-01     1.0662e+03     
TWHL           east           624            9.1951e-01     1.2300e-01     9.2869e+02     
ALBH           north          726            3.9567e-01     8.5241e-02     1.0904e+03     
BLYN           north          562            4.3134e+00     6.6015e-02     1.9955e+03     
KTBW           north          732            6.5189e-01     6.6269e-01     1.1974e+03     
NEAH           north          732            9.7790e-01     1.8829e-02     1.4401e+03     
P064           north          725            1.4643e+00     1.0676e-01     1.2690e+03     
P399           north          437            6.3480e-03     7.1329e+01     6.4473e+02     
P400           north          732            1.5139e+00     7.3289e-01     1.5357e+03     
P401           north          732            1.6945e+04     2.4987e+02     1.0607e+03     
P402           north          732            1.4005e+05     7.1803e+02     1.1597e+03     
P403           north          682            1.8582e+00     1.1161e+00     1.2997e+03     
P418           north          732            4.7861e-01     5.8864e-01     1.1727e+03     
P419           north          553            1.2704e+00     5.2932e-01     7.9056e+02     
P423           north          732            9.4325e-01     4.7520e-01     1.1934e+03     
P424           north          732            1.3836e+00     1.5302e+00     1.3563e+03     
