date           mjd            component      count          p0[mm]         p1[km]         likelihood     
2015-01-01     57023          east           0              nan            nan            nan            
2015-01-02     57024          east           0              nan            nan            nan            
2015-01-03     57025          east           0              nan            nan            nan            
2015-01-04     57026          east           0              nan            nan            nan            
2015-01-05     57027          east           0              nan            nan            nan            
2015-01-06     57028          east           0              nan            nan            nan            
2015-01-07     57029          east           0              nan            nan            nan            
2015-01-08     57030          east           0              nan            nan            nan            
2015-01-09     57031          east           0              nan            nan            nan            
2015-01-10     57032          east           0              nan            nan            nan            
2015-01-11     57033          east           0              nan            nan            nan            
2015-01-12     57034          east           0              nan            nan            nan            
2015-01-13     57035          east           0              nan            nan            nan            
2015-01-14     57036          east           0              nan            nan            nan            
2015-01-15     57037          east           0              nan            nan            nan            
2015-01-16     57038          east           0              nan            nan            nan            
2015-01-17     57039          east           0              nan            nan            nan            
2015-01-18     57040          east           0              nan            nan            nan            
2015-01-19     57041          east           0              nan            nan            nan            
2015-01-20     57042          east           0              nan            nan            nan            
2015-01-21     57043          east           0              nan            nan            nan            
2015-01-22     57044          east           0              nan            nan            nan            
2015-01-23     57045          east           0              nan            nan            nan            
2015-01-24     57046          east           0              nan            nan            nan            
2015-01-25     57047          east           0              nan            nan            nan            
2015-01-26     57048          east           0              nan            nan            nan            
2015-01-27     57049          east           0              nan            nan            nan            
2015-01-28     57050          east           0              nan            nan            nan            
2015-01-29     57051          east           0              nan            nan            nan            
2015-01-30     57052          east           0              nan            nan            nan            
2015-01-31     57053          east           0              nan            nan            nan            
2015-02-01     57054          east           0              nan            nan            nan            
2015-02-02     57055          east           0              nan            nan            nan            
2015-02-03     57056          east           0              nan            nan            nan            
2015-02-04     57057          east           0              nan            nan            nan            
2015-02-05     57058          east           0              nan            nan            nan            
2015-02-06     57059          east           0              nan            nan            nan            
2015-02-07     57060          east           0              nan            nan            nan            
2015-02-08     57061          east           0              nan            nan            nan            
2015-02-09     57062          east           0              nan            nan            nan            
2015-02-10     57063          east           0              nan            nan            nan            
2015-02-11     57064          east           0              nan            nan            nan            
2015-02-12     57065          east           0              nan            nan            nan            
2015-02-13     57066          east           0              nan            nan            nan            
2015-02-14     57067          east           0              nan            nan            nan            
2015-02-15     57068          east           0              nan            nan            nan            
2015-02-16     57069          east           0              nan            nan            nan            
2015-02-17     57070          east           0              nan            nan            nan            
2015-02-18     57071          east           0              nan            nan            nan            
2015-02-19     57072          east           0              nan            nan            nan            
2015-02-20     57073          east           0              nan            nan            nan            
2015-02-21     57074          east           0              nan            nan            nan            
2015-02-22     57075          east           0              nan            nan            nan            
2015-02-23     57076          east           0              nan            nan            nan            
2015-02-24     57077          east           0              nan            nan            nan            
2015-02-25     57078          east           0              nan            nan            nan            
2015-02-26     57079          east           0              nan            nan            nan            
2015-02-27     57080          east           0              nan            nan            nan            
2015-02-28     57081          east           0              nan            nan            nan            
2015-03-01     57082          east           0              nan            nan            nan            
2015-03-02     57083          east           0              nan            nan            nan            
2015-03-03     57084          east           0              nan            nan            nan            
2015-03-04     57085          east           0              nan            nan            nan            
2015-03-05     57086          east           0              nan            nan            nan            
2015-03-06     57087          east           0              nan            nan            nan            
2015-03-07     57088          east           0              nan            nan            nan            
2015-03-08     57089          east           0              nan            nan            nan            
2015-03-09     57090          east           0              nan            nan            nan            
2015-03-10     57091          east           0              nan            nan            nan            
2015-03-11     57092          east           0              nan            nan            nan            
2015-03-12     57093          east           0              nan            nan            nan            
2015-03-13     57094          east           0              nan            nan            nan            
2015-03-14     57095          east           0              nan            nan            nan            
2015-03-15     57096          east           0              nan            nan            nan            
2015-03-16     57097          east           0              nan            nan            nan            
2015-03-17     57098          east           0              nan            nan            nan            
2015-03-18     57099          east           0              nan            nan            nan            
2015-03-19     57100          east           0              nan            nan            nan            
2015-03-20     57101          east           0              nan            nan            nan            
2015-03-21     57102          east           0              nan            nan            nan            
2015-03-22     57103          east           0              nan            nan            nan            
2015-03-23     57104          east           0              nan            nan            nan            
2015-03-24     57105          east           0              nan            nan            nan            
2015-03-25     57106          east           0              nan            nan            nan            
2015-03-26     57107          east           0              nan            nan            nan            
2015-03-27     57108          east           0              nan            nan            nan            
2015-03-28     57109          east           0              nan            nan            nan            
2015-03-29     57110          east           0              nan            nan            nan            
2015-03-30     57111          east           0              nan            nan            nan            
2015-03-31     57112          east           0              nan            nan            nan            
2015-04-01     57113          east           0              nan            nan            nan            
2015-04-02     57114          east           0              nan            nan            nan            
2015-04-03     57115          east           0              nan            nan            nan            
2015-04-04     57116          east           0              nan            nan            nan            
2015-04-05     57117          east           0              nan            nan            nan            
2015-04-06     57118          east           0              nan            nan            nan            
2015-04-07     57119          east           0              nan            nan            nan            
2015-04-08     57120          east           0              nan            nan            nan            
2015-04-09     57121          east           0              nan            nan            nan            
2015-04-10     57122          east           0              nan            nan            nan            
2015-04-11     57123          east           0              nan            nan            nan            
2015-04-12     57124          east           0              nan            nan            nan            
2015-04-13     57125          east           0              nan            nan            nan            
2015-04-14     57126          east           0              nan            nan            nan            
2015-04-15     57127          east           0              nan            nan            nan            
2015-04-16     57128          east           0              nan            nan            nan            
2015-04-17     57129          east           0              nan            nan            nan            
2015-04-18     57130          east           0              nan            nan            nan            
2015-04-19     57131          east           0              nan            nan            nan            
2015-04-20     57132          east           0              nan            nan            nan            
2015-04-21     57133          east           0              nan            nan            nan            
2015-04-22     57134          east           0              nan            nan            nan            
2015-04-23     57135          east           0              nan            nan            nan            
2015-04-24     57136          east           0              nan            nan            nan            
2015-04-25     57137          east           0              nan            nan            nan            
2015-04-26     57138          east           0              nan            nan            nan            
2015-04-27     57139          east           0              nan            nan            nan            
2015-04-28     57140          east           0              nan            nan            nan            
2015-04-29     57141          east           0              nan            nan            nan            
2015-04-30     57142          east           0              nan            nan            nan            
2015-05-01     57143          east           0              nan            nan            nan            
2015-05-02     57144          east           0              nan            nan            nan            
2015-05-03     57145          east           0              nan            nan            nan            
2015-05-04     57146          east           0              nan            nan            nan            
2015-05-05     57147          east           0              nan            nan            nan            
2015-05-06     57148          east           0              nan            nan            nan            
2015-05-07     57149          east           0              nan            nan            nan            
2015-05-08     57150          east           0              nan            nan            nan            
2015-05-09     57151          east           0              nan            nan            nan            
2015-05-10     57152          east           0              nan            nan            nan            
2015-05-11     57153          east           0              nan            nan            nan            
2015-05-12     57154          east           0              nan            nan            nan            
2015-05-13     57155          east           0              nan            nan            nan            
2015-05-14     57156          east           0              nan            nan            nan            
2015-05-15     57157          east           0              nan            nan            nan            
2015-05-16     57158          east           0              nan            nan            nan            
2015-05-17     57159          east           0              nan            nan            nan            
2015-05-18     57160          east           0              nan            nan            nan            
2015-05-19     57161          east           0              nan            nan            nan            
2015-05-20     57162          east           0              nan            nan            nan            
2015-05-21     57163          east           0              nan            nan            nan            
2015-05-22     57164          east           0              nan            nan            nan            
2015-05-23     57165          east           0              nan            nan            nan            
2015-05-24     57166          east           0              nan            nan            nan            
2015-05-25     57167          east           0              nan            nan            nan            
2015-05-26     57168          east           0              nan            nan            nan            
2015-05-27     57169          east           0              nan            nan            nan            
2015-05-28     57170          east           0              nan            nan            nan            
2015-05-29     57171          east           0              nan            nan            nan            
2015-05-30     57172          east           0              nan            nan            nan            
2015-05-31     57173          east           0              nan            nan            nan            
2015-06-01     57174          east           0              nan            nan            nan            
2015-06-02     57175          east           0              nan            nan            nan            
2015-06-03     57176          east           0              nan            nan            nan            
2015-06-04     57177          east           0              nan            nan            nan            
2015-06-05     57178          east           0              nan            nan            nan            
2015-06-06     57179          east           0              nan            nan            nan            
2015-06-07     57180          east           0              nan            nan            nan            
2015-06-08     57181          east           0              nan            nan            nan            
2015-06-09     57182          east           0              nan            nan            nan            
2015-06-10     57183          east           0              nan            nan            nan            
2015-06-11     57184          east           0              nan            nan            nan            
2015-06-12     57185          east           0              nan            nan            nan            
2015-06-13     57186          east           0              nan            nan            nan            
2015-06-14     57187          east           0              nan            nan            nan            
2015-06-15     57188          east           0              nan            nan            nan            
2015-06-16     57189          east           0              nan            nan            nan            
2015-06-17     57190          east           0              nan            nan            nan            
2015-06-18     57191          east           0              nan            nan            nan            
2015-06-19     57192          east           0              nan            nan            nan            
2015-06-20     57193          east           0              nan            nan            nan            
2015-06-21     57194          east           0              nan            nan            nan            
2015-06-22     57195          east           0              nan            nan            nan            
2015-06-23     57196          east           0              nan            nan            nan            
2015-06-24     57197          east           0              nan            nan            nan            
2015-06-25     57198          east           0              nan            nan            nan            
2015-06-26     57199          east           0              nan            nan            nan            
2015-06-27     57200          east           0              nan            nan            nan            
2015-06-28     57201          east           0              nan            nan            nan            
2015-06-29     57202          east           0              nan            nan            nan            
2015-06-30     57203          east           0              nan            nan            nan            
2015-07-01     57204          east           0              nan            nan            nan            
2015-07-02     57205          east           0              nan            nan            nan            
2015-07-03     57206          east           0              nan            nan            nan            
2015-07-04     57207          east           0              nan            nan            nan            
2015-07-05     57208          east           0              nan            nan            nan            
2015-07-06     57209          east           0              nan            nan            nan            
2015-07-07     57210          east           0              nan            nan            nan            
2015-07-08     57211          east           0              nan            nan            nan            
2015-07-09     57212          east           0              nan            nan            nan            
2015-07-10     57213          east           0              nan            nan            nan            
2015-07-11     57214          east           0              nan            nan            nan            
2015-07-12     57215          east           0              nan            nan            nan            
2015-07-13     57216          east           0              nan            nan            nan            
2015-07-14     57217          east           0              nan            nan            nan            
2015-07-15     57218          east           0              nan            nan            nan            
2015-07-16     57219          east           0              nan            nan            nan            
2015-07-17     57220          east           0              nan            nan            nan            
2015-07-18     57221          east           0              nan            nan            nan            
2015-07-19     57222          east           0              nan            nan            nan            
2015-07-20     57223          east           0              nan            nan            nan            
2015-07-21     57224          east           0              nan            nan            nan            
2015-07-22     57225          east           0              nan            nan            nan            
2015-07-23     57226          east           0              nan            nan            nan            
2015-07-24     57227          east           0              nan            nan            nan            
2015-07-25     57228          east           0              nan            nan            nan            
2015-07-26     57229          east           0              nan            nan            nan            
2015-07-27     57230          east           0              nan            nan            nan            
2015-07-28     57231          east           0              nan            nan            nan            
2015-07-29     57232          east           0              nan            nan            nan            
2015-07-30     57233          east           0              nan            nan            nan            
2015-07-31     57234          east           0              nan            nan            nan            
2015-08-01     57235          east           0              nan            nan            nan            
2015-08-02     57236          east           0              nan            nan            nan            
2015-08-03     57237          east           0              nan            nan            nan            
2015-08-04     57238          east           0              nan            nan            nan            
2015-08-05     57239          east           0              nan            nan            nan            
2015-08-06     57240          east           0              nan            nan            nan            
2015-08-07     57241          east           0              nan            nan            nan            
2015-08-08     57242          east           0              nan            nan            nan            
2015-08-09     57243          east           0              nan            nan            nan            
2015-08-10     57244          east           0              nan            nan            nan            
2015-08-11     57245          east           0              nan            nan            nan            
2015-08-12     57246          east           0              nan            nan            nan            
2015-08-13     57247          east           0              nan            nan            nan            
2015-08-14     57248          east           0              nan            nan            nan            
2015-08-15     57249          east           0              nan            nan            nan            
2015-08-16     57250          east           0              nan            nan            nan            
2015-08-17     57251          east           0              nan            nan            nan            
2015-08-18     57252          east           0              nan            nan            nan            
2015-08-19     57253          east           0              nan            nan            nan            
2015-08-20     57254          east           0              nan            nan            nan            
2015-08-21     57255          east           0              nan            nan            nan            
2015-08-22     57256          east           0              nan            nan            nan            
2015-08-23     57257          east           0              nan            nan            nan            
2015-08-24     57258          east           0              nan            nan            nan            
2015-08-25     57259          east           0              nan            nan            nan            
2015-08-26     57260          east           0              nan            nan            nan            
2015-08-27     57261          east           0              nan            nan            nan            
