station        longitude      latitude       component      count          p0[mm*yr^-1.5] p1[mjd]        likelihood     
ALBH           -123.4875      48.3898        east           726            1.0598e+02     5.7357e+04     9.6224e+02     
BLYN           -122.9275      48.0161        east           562            7.4332e+02     5.7357e+04     2.2593e+03     
KTBW           -122.7954      47.5473        east           732            3.3775e+01     5.7357e+04     1.0040e+03     
NEAH           -124.6249      48.2979        east           732            1.2817e+02     5.7357e+04     1.1990e+03     
P064           -123.4877      47.9698        east           732            3.6561e+02     5.7357e+04     1.1838e+03     
P399           -123.6130      47.4339        east           437            1.3723e+02     5.7357e+04     5.5306e+02     
P400           -123.8125      47.5133        east           732            3.6485e+00     5.7357e+04     1.5739e+03     
P401           -124.5570      47.9372        east           732            3.0633e-09     5.7357e+04     8.9444e+02     
P402           -124.3059      47.7662        east           732            3.0633e-09     5.7357e+04     9.6868e+02     
P403           -124.1409      48.0623        east           686            8.1437e+01     5.7357e+04     1.0657e+03     
P418           -123.4078      47.2366        east           732            5.4120e+01     5.7357e+04     1.0099e+03     
P419           -123.3665      47.4093        east           553            2.0233e+01     5.7357e+04     7.1711e+02     
P423           -122.9412      47.2879        east           732            4.6809e+01     5.7357e+04     1.0375e+03     
P424           -122.8747      47.8232        east           732            1.3678e+02     5.7357e+04     1.1100e+03     
P426           -122.5146      47.8027        east           116            6.3759e-13     5.7357e+04     1.6243e+02     
P435           -123.5033      48.0595        east           708            8.5612e+01     5.7357e+04     1.1841e+03     
P436           -123.1343      48.0453        east           732            6.9440e+01     5.7357e+04     1.0051e+03     
P437           -122.4592      48.0018        east           732            6.7418e+01     5.7357e+04     1.0336e+03     
P438           -122.6703      48.4191        east           349            3.0152e+01     5.7357e+04     4.4360e+02     
P439           -122.9093      48.7082        east           732            1.1529e+02     5.7357e+04     1.0022e+03     
P815           -124.5572      47.9372        east           732            2.6372e-01     5.7357e+04     9.0335e+02     
P816           -124.5571      47.9371        east           732            3.0633e-09     5.7357e+04     9.4671e+02     
PABH           -124.2046      47.2128        east           732            4.6079e-04     5.7357e+04     9.3384e+02     
PCOL           -122.5708      47.1721        east           732            1.0234e+02     5.7357e+04     1.1645e+03     
SC02           -123.0076      48.5462        east           731            1.3347e+02     5.7357e+04     9.7948e+02     
SC03           -123.7057      47.8166        east           732            5.9612e+02     5.7357e+04     1.1453e+03     
SEAT           -122.3095      47.6540        east           732            4.6207e+01     5.7357e+04     9.6293e+02     
SEDR           -122.2238      48.5216        east           732            5.4376e-01     5.7357e+04     1.0672e+03     
TWHL           -122.9229      47.0159        east           624            5.8749e+01     5.7357e+04     9.3047e+02     
ALBH           -123.4875      48.3898        north          726            9.6094e-01     5.7357e+04     1.0946e+03     
BLYN           -122.9275      48.0161        north          562            6.5670e+01     5.7357e+04     2.0044e+03     
KTBW           -122.7954      47.5473        north          732            5.9143e+00     5.7357e+04     1.1986e+03     
NEAH           -124.6249      48.2979        north          732            7.1163e+01     5.7357e+04     1.4703e+03     
P064           -123.4877      47.9698        north          732            1.1981e+02     5.7357e+04     1.2890e+03     
P399           -123.6130      47.4339        north          437            9.7623e+01     5.7357e+04     6.4419e+02     
P400           -123.8125      47.5133        north          732            1.4916e+01     5.7357e+04     1.5367e+03     
P401           -124.5570      47.9372        north          732            1.2872e+00     5.7357e+04     1.0607e+03     
P402           -124.3059      47.7662        north          732            1.2364e+00     5.7357e+04     1.1600e+03     
P403           -124.1409      48.0623        north          686            5.4616e+01     5.7357e+04     1.3024e+03     
P418           -123.4078      47.2366        north          732            3.3275e+00     5.7357e+04     1.1732e+03     
P419           -123.3665      47.4093        north          553            4.0024e+01     5.7357e+04     7.8870e+02     
P423           -122.9412      47.2879        north          732            2.1014e+01     5.7357e+04     1.1934e+03     
P424           -122.8747      47.8232        north          732            9.0380e+01     5.7357e+04     1.3267e+03     
P426           -122.5146      47.8027        north          116            1.6549e-06     5.7357e+04     1.9569e+02     
P435           -123.5033      48.0595        north          708            5.7784e+01     5.7357e+04     1.5184e+03     
P436           -123.1343      48.0453        north          732            1.5014e-08     5.7357e+04     1.1864e+03     
P437           -122.4592      48.0018        north          732            1.3766e+00     5.7357e+04     1.2050e+03     
P438           -122.6703      48.4191        north          349            1.4718e-05     5.7357e+04     5.0869e+02     
P439           -122.9093      48.7082        north          732            2.2068e+01     5.7357e+04     1.1812e+03     
P815           -124.5572      47.9372        north          732            1.1213e+00     5.7357e+04     1.0827e+03     
P816           -124.5571      47.9371        north          732            1.0010e+00     5.7357e+04     1.1265e+03     
PABH           -124.2046      47.2128        north          732            1.1275e+00     5.7357e+04     1.1098e+03     
PCOL           -122.5708      47.1721        north          732            1.7766e+01     5.7357e+04     1.3312e+03     
SC02           -123.0076      48.5462        north          731            2.6325e+01     5.7357e+04     1.1550e+03     
SC03           -123.7057      47.8166        north          732            6.8546e+02     5.7357e+04     1.4267e+03     
SEAT           -122.3095      47.6540        north          732            5.1734e+01     5.7357e+04     1.1466e+03     
SEDR           -122.2238      48.5216        north          732            2.6736e+00     5.7357e+04     1.2576e+03     
TWHL           -122.9229      47.0159        north          624            2.2042e+01     5.7357e+04     1.0960e+03     
ALBH           -123.4875      48.3898        vertical       726            1.3506e+02     5.7357e+04     2.1557e+03     
BLYN           -122.9275      48.0161        vertical       562            2.2315e+03     5.7357e+04     3.0408e+03     
KTBW           -122.7954      47.5473        vertical       732            1.6432e+01     5.7357e+04     2.1331e+03     
NEAH           -124.6249      48.2979        vertical       732            5.2085e+02     5.7357e+04     2.4433e+03     
P064           -123.4877      47.9698        vertical       732            8.3934e-01     5.7357e+04     2.1588e+03     
P399           -123.6130      47.4339        vertical       437            1.3091e+03     5.7357e+04     1.2298e+03     
P400           -123.8125      47.5133        vertical       732            2.6855e+02     5.7357e+04     2.6145e+03     
P401           -124.5570      47.9372        vertical       732            7.5938e+01     5.7357e+04     2.0275e+03     
P402           -124.3059      47.7662        vertical       732            2.4807e-05     5.7357e+04     2.0966e+03     
P403           -124.1409      48.0623        vertical       686            7.1997e+01     5.7357e+04     2.0961e+03     
P418           -123.4078      47.2366        vertical       732            3.9242e+01     5.7357e+04     2.1196e+03     
P419           -123.3665      47.4093        vertical       553            2.0218e+02     5.7357e+04     1.5200e+03     
P423           -122.9412      47.2879        vertical       732            9.6718e+01     5.7357e+04     2.1909e+03     
P424           -122.8747      47.8232        vertical       732            2.1390e+02     5.7357e+04     2.1541e+03     
P426           -122.5146      47.8027        vertical       116            1.0034e-03     5.7357e+04     3.4176e+02     
P435           -123.5033      48.0595        vertical       708            3.5457e-07     5.7357e+04     2.2631e+03     
P436           -123.1343      48.0453        vertical       732            5.2779e+01     5.7357e+04     2.1547e+03     
P437           -122.4592      48.0018        vertical       732            2.4344e+02     5.7357e+04     2.2216e+03     
P438           -122.6703      48.4191        vertical       349            3.0874e+02     5.7357e+04     9.7274e+02     
P439           -122.9093      48.7082        vertical       732            7.3184e+01     5.7357e+04     2.1146e+03     
P815           -124.5572      47.9372        vertical       732            9.1634e+01     5.7357e+04     2.0401e+03     
P816           -124.5571      47.9371        vertical       732            5.0216e+00     5.7357e+04     2.0656e+03     
PABH           -124.2046      47.2128        vertical       732            2.8551e+00     5.7357e+04     2.0520e+03     
PCOL           -122.5708      47.1721        vertical       732            4.4941e+02     5.7357e+04     2.3254e+03     
SC02           -123.0076      48.5462        vertical       731            1.5977e+02     5.7357e+04     2.1086e+03     
SC03           -123.7057      47.8166        vertical       732            3.7267e+00     5.7357e+04     2.1225e+03     
SEAT           -122.3095      47.6540        vertical       732            1.3157e+02     5.7357e+04     2.1297e+03     
SEDR           -122.2238      48.5216        vertical       732            1.5371e+00     5.7357e+04     2.2378e+03     
TWHL           -122.9229      47.0159        vertical       624            1.3391e+02     5.7357e+04     1.8883e+03     
