4-character id, STA1
begin date, 2000-01-01
end date, 2000-02-01
longitude, -83.3 E
latitude, 42.31 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2000-01-01, 4.435905e-10, 1.075207e-09, 1.988111e-11, 2.262053e-09, 2.262053e-09, 2.262053e-09
2000-01-02, 5.875115e-10, 9.020615e-10, 4.064420e-11, 2.125658e-09, 2.125658e-09, 2.125658e-09
2000-01-03, 7.373504e-10, 7.397290e-10, 6.387202e-11, 1.993622e-09, 1.993622e-09, 1.993622e-09
2000-01-04, 8.924983e-10, 5.947034e-10, 9.090150e-11, 1.867074e-09, 1.867074e-09, 1.867074e-09
2000-01-05, 1.052784e-09, 4.729121e-10, 1.228296e-10, 1.747563e-09, 1.747563e-09, 1.747563e-09
2000-01-06, 1.218470e-09, 3.786424e-10, 1.601951e-10, 1.637086e-09, 1.637086e-09, 1.637086e-09
2000-01-07, 1.390119e-09, 3.135278e-10, 2.026999e-10, 1.537952e-09, 1.537952e-09, 1.537952e-09
2000-01-08, 1.568330e-09, 2.759813e-10, 2.490871e-10, 1.452421e-09, 1.452421e-09, 1.452421e-09
2000-01-09, 1.753428e-09, 2.613734e-10, 2.972547e-10, 1.382176e-09, 1.382176e-09, 1.382176e-09
2000-01-10, 1.945199e-09, 2.629597e-10, 3.445912e-10, 1.327814e-09, 1.327814e-09, 1.327814e-09
2000-01-11, 2.142789e-09, 2.732318e-10, 3.884153e-10, 1.288559e-09, 1.288559e-09, 1.288559e-09
2000-01-12, 2.344761e-09, 2.852107e-10, 4.263692e-10, 1.262382e-09, 1.262382e-09, 1.262382e-09
2000-01-13, 2.549279e-09, 2.933120e-10, 4.566565e-10, 1.246452e-09, 1.246452e-09, 1.246452e-09
2000-01-14, 2.754333e-09, 2.936591e-10, 4.780970e-10, 1.237742e-09, 1.237742e-09, 1.237742e-09
2000-01-15, 2.957933e-09, 2.839477e-10, 4.900378e-10, 1.233576e-09, 1.233576e-09, 1.233576e-09
2000-01-16, 3.158232e-09, 2.630597e-10, 4.921851e-10, 1.232003e-09, 1.232003e-09, 1.232003e-09
2000-01-17, 3.353578e-09, 2.306181e-10, 4.844120e-10, 1.232003e-09, 1.232003e-09, 1.232003e-09
2000-01-18, 3.542483e-09, 1.866155e-10, 4.665832e-10, 1.233576e-09, 1.233576e-09, 1.233576e-09
2000-01-19, 3.723543e-09, 1.311912e-10, 4.384183e-10, 1.237742e-09, 1.237742e-09, 1.237742e-09
