4-character id, STA1
begin date, 2000-01-01
end date, 2000-02-01
longitude, -83.3 E
latitude, 42.31 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2000-01-01, -1.558978e-09, 5.065744e-09, 4.788639e-10, 1.708653e-09, 1.708653e-09, 1.708653e-09
2000-01-02, -1.431554e-09, 5.023246e-09, 5.111054e-10, 1.622195e-09, 1.622195e-09, 1.622195e-09
2000-01-03, -1.294017e-09, 4.964687e-09, 5.333974e-10, 1.536169e-09, 1.536169e-09, 1.536169e-09
2000-01-04, -1.147721e-09, 4.885686e-09, 5.438400e-10, 1.451301e-09, 1.451301e-09, 1.451301e-09
2000-01-05, -9.945582e-10, 4.782435e-09, 5.407963e-10, 1.368810e-09, 1.368810e-09, 1.368810e-09
2000-01-06, -8.369391e-10, 4.652670e-09, 5.231919e-10, 1.290458e-09, 1.290458e-09, 1.290458e-09
2000-01-07, -6.776463e-10, 4.496572e-09, 4.907789e-10, 1.218427e-09, 1.218427e-09, 1.218427e-09
2000-01-08, -5.195712e-10, 4.317277e-09, 4.442559e-10, 1.154987e-09, 1.154987e-09, 1.154987e-09
2000-01-09, -3.654025e-10, 4.120688e-09, 3.851712e-10, 1.102014e-09, 1.102014e-09, 1.102014e-09
2000-01-10, -2.173660e-10, 3.914609e-09, 3.156240e-10, 1.060493e-09, 1.060493e-09, 1.060493e-09
2000-01-11, -7.709938e-11, 3.707498e-09, 2.378686e-10, 1.030233e-09, 1.030233e-09, 1.030233e-09
2000-01-12, 5.431637e-11, 3.507260e-09, 1.539601e-10, 1.009926e-09, 1.009926e-09, 1.009926e-09
2000-01-13, 1.762152e-10, 3.320447e-09, 6.554179e-11, 9.975193e-10, 9.975193e-10, 9.975193e-10
2000-01-14, 2.881653e-10, 3.151947e-09, -2.620169e-11, 9.907206e-10, 9.907206e-10, 9.907206e-10
2000-01-15, 3.898151e-10, 3.005105e-09, -1.204611e-10, 9.874649e-10, 9.874649e-10, 9.874649e-10
2000-01-16, 4.808001e-10, 2.882052e-09, -2.166473e-10, 9.862343e-10, 9.862343e-10, 9.862343e-10
2000-01-17, 5.607203e-10, 2.784112e-09, -3.142166e-10, 9.862343e-10, 9.862343e-10, 9.862343e-10
2000-01-18, 6.291824e-10, 2.712123e-09, -4.125114e-10, 9.874649e-10, 9.874649e-10, 9.874649e-10
2000-01-19, 6.858947e-10, 2.666639e-09, -5.106391e-10, 9.907206e-10, 9.907206e-10, 9.907206e-10
2000-01-20, 7.307997e-10, 2.647959e-09, -6.074064e-10, 9.975193e-10, 9.975193e-10, 9.975193e-10
2000-01-21, 7.642215e-10, 2.655991e-09, -7.013293e-10, 1.009926e-09, 1.009926e-09, 1.009926e-09
2000-01-22, 7.869918e-10, 2.689975e-09, -7.907405e-10, 1.030233e-09, 1.030233e-09, 1.030233e-09
2000-01-23, 8.005022e-10, 2.748149e-09, -8.740005e-10, 1.060493e-09, 1.060493e-09, 1.060493e-09
