PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P399
Station name, Wynoochee_WA2008
Begin Date, 2008-07-24
End Date, 2016-03-12
Release Date, 2016-09-11
Source file, P399.pbo.nam08.pos
Offset from source file, 20.03 mm North, 29.37 mm East, 1.08 mm Vertical
Reference position, 47.4339201860 North Latitude, -123.6129603954 East Longitude, 919.43382 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-24,0.00, 0.00, 0.00, 1.61, 1.22, 5.09, repro,
2008-07-25,-0.39, 0.57, 1.43, 1.61, 1.19, 5.12, repro,
2008-07-26,-0.64, 1.11, -0.78, 1.67, 1.24, 5.27, repro,
2008-07-27,-0.14, 0.42, -5.39, 1.5, 1.14, 4.75, repro,
2008-07-28,-0.33, 0.47, 4.84, 1.58, 1.19, 4.88, repro,
2008-07-29,0.02, 1.22, 7.91, 1.84, 1.34, 5.76, repro,
2008-07-30,-0.11, 1.39, 2.97, 1.57, 1.17, 4.93, repro,
2008-07-31,-0.29, 1.58, 4.54, 1.53, 1.17, 4.87, repro,
2008-08-01,0.16, 1.80, 1.72, 1.7, 1.28, 5.38, repro,
2008-08-02,0.15, 0.91, -0.90, 1.43, 1.1, 4.52, repro,
2008-08-03,0.10, 0.62, 4.70, 1.38, 1.08, 4.42, repro,
2008-08-04,-1.73, 1.67, 3.71, 1.53, 1.19, 4.88, repro,
2008-08-05,-0.76, 2.19, 8.16, 1.68, 1.29, 5.33, repro,
2008-08-06,-0.20, 1.45, 3.41, 1.52, 1.15, 4.76, repro,
2008-08-07,-0.10, 1.49, 5.52, 1.65, 1.24, 5.2, repro,
2008-08-08,-0.57, 0.20, 7.03, 1.77, 1.33, 5.55, repro,
2008-08-09,0.12, 0.67, 1.53, 1.97, 1.46, 6.17, repro,
2008-08-10,0.47, 2.02, -3.27, 1.75, 1.32, 5.49, repro,
2008-08-11,0.38, 0.93, -1.20, 1.55, 1.16, 4.84, repro,
2008-08-12,0.07, 1.08, -0.69, 1.74, 1.33, 5.5, repro,
2008-08-13,-0.31, 1.12, 1.15, 1.45, 1.1, 4.53, repro,
2008-08-14,-1.89, 1.54, 4.26, 1.47, 1.11, 4.62, repro,
2008-08-15,0.63, 1.68, 2.00, 1.68, 1.27, 5.28, repro,
2008-08-16,0.01, 0.67, 3.95, 1.68, 1.27, 5.26, repro,
2008-08-17,-0.98, 1.24, 11.72, 1.88, 1.39, 5.84, repro,
2008-08-18,0.33, 1.24, 6.86, 1.82, 1.36, 5.67, repro,
2008-08-19,0.55, 0.00, 1.47, 1.67, 1.25, 5.17, repro,
2008-08-20,1.01, 1.94, 3.13, 2.04, 1.5, 6.31, repro,
2008-08-21,0.41, 1.25, 6.36, 1.78, 1.32, 5.51, repro,
2008-08-22,0.03, 0.96, 0.50, 1.64, 1.23, 5.11, repro,
2008-08-23,-0.43, 1.87, 4.55, 1.78, 1.32, 5.53, repro,
2008-08-24,0.58, 0.32, 2.23, 1.79, 1.33, 5.6, repro,
2008-08-25,-0.08, 0.19, 2.13, 1.84, 1.36, 5.66, repro,
2008-08-26,0.44, 0.72, 4.28, 1.62, 1.19, 4.99, repro,
2008-08-27,2.10, 1.65, 2.97, 1.71, 1.27, 5.31, repro,
2008-08-28,0.34, 2.07, -6.56, 1.82, 1.33, 5.52, repro,
2008-08-29,0.08, 3.44, -4.26, 1.89, 1.39, 5.88, repro,
2008-08-30,-1.87, 3.86, 5.17, 1.71, 1.26, 5.26, repro,
2008-08-31,0.78, 1.73, 6.59, 1.64, 1.22, 5.07, repro,
2008-09-01,0.52, 2.31, -2.76, 1.53, 1.14, 4.74, repro,
2008-09-02,0.66, 1.91, -7.44, 1.71, 1.26, 5.3, repro,
2008-09-03,0.69, 1.26, -4.45, 1.5, 1.11, 4.65, repro,
2008-09-04,0.52, 1.97, -4.05, 1.54, 1.14, 4.79, repro,
2008-09-05,-0.51, 1.79, -3.99, 1.62, 1.2, 5.02, repro,
2008-09-06,1.04, 2.13, -2.91, 1.72, 1.28, 5.35, repro,
2008-09-07,0.14, 2.79, 3.43, 1.63, 1.2, 5.11, repro,
2008-09-08,1.15, 2.08, 2.99, 1.59, 1.17, 4.96, repro,
2008-09-09,-0.36, 2.36, 5.66, 1.71, 1.23, 5.23, repro,
2008-09-10,1.89, 2.35, -2.24, 1.58, 1.17, 4.92, repro,
2008-09-11,0.88, 2.60, 2.58, 1.54, 1.14, 4.81, repro,
2008-09-12,2.15, 0.87, 11.01, 1.79, 1.33, 5.58, repro,
2008-09-13,0.32, 2.35, -2.61, 1.58, 1.16, 4.9, repro,
2008-09-14,0.45, 2.47, 7.20, 1.46, 1.09, 4.55, repro,
2008-09-15,1.04, 2.60, 6.43, 1.47, 1.1, 4.57, repro,
2008-09-16,1.89, 1.94, 4.03, 1.43, 1.08, 4.46, repro,
2008-09-17,1.75, 2.86, 2.59, 1.52, 1.12, 4.66, repro,
2008-09-18,0.91, 2.45, -5.90, 1.53, 1.14, 4.76, repro,
2008-09-19,2.13, 2.61, -0.07, 1.54, 1.15, 4.78, repro,
2008-09-20,1.32, 2.85, -0.25, 1.7, 1.25, 5.24, repro,
2008-09-21,1.34, 3.22, 1.10, 1.72, 1.26, 5.32, repro,
2008-09-22,1.67, 3.75, -3.05, 1.75, 1.29, 5.43, repro,
2008-09-23,0.50, 2.11, -0.31, 1.46, 1.08, 4.52, repro,
2008-09-24,1.21, 2.47, -0.85, 2.1, 1.51, 6.55, repro,
2008-09-25,0.68, 2.84, 1.88, 1.88, 1.36, 5.8, repro,
2008-09-26,1.88, 4.03, -2.75, 1.52, 1.12, 4.71, repro,
2008-09-27,1.72, 4.32, -1.86, 1.74, 1.27, 5.4, repro,
2008-09-28,2.40, 3.27, 0.20, 1.52, 1.11, 4.69, repro,
2008-09-29,2.03, 3.83, -0.16, 1.67, 1.22, 5.16, repro,
2008-09-30,2.43, 3.09, 1.25, 1.53, 1.13, 4.75, repro,
2008-10-01,2.07, 2.89, 1.34, 1.66, 1.2, 5.12, repro,
2008-10-02,1.51, 3.31, 8.99, 1.83, 1.33, 5.62, repro,
2008-10-03,2.58, 3.18, 3.67, 1.8, 1.3, 5.54, repro,
2008-10-04,2.42, 3.36, 5.00, 1.88, 1.37, 5.79, repro,
2008-10-05,1.21, 3.82, 2.73, 1.79, 1.33, 5.55, repro,
2008-10-06,3.37, 3.81, -6.14, 1.9, 1.35, 5.79, repro,
2008-10-07,1.49, 3.90, -3.06, 2.3, 1.59, 6.9, repro,
2008-10-08,2.06, 3.93, -3.30, 1.77, 1.28, 5.39, repro,
2008-10-09,2.32, 3.54, -10.61, 1.51, 1.1, 4.66, repro,
2008-10-10,2.22, 4.35, -11.66, 1.47, 1.06, 4.53, repro,
2008-10-11,1.92, 4.05, -5.08, 1.49, 1.08, 4.6, repro,
2008-10-12,2.19, 4.26, -2.72, 1.55, 1.11, 4.8, repro,
2008-10-13,2.69, 4.38, -18.18, 1.56, 1.12, 4.83, repro,
2008-10-14,2.48, 3.42, -1.92, 1.69, 1.21, 5.22, repro,
2008-10-15,2.42, 3.24, -9.62, 1.53, 1.12, 4.71, repro,
2008-10-16,3.29, 4.36, -14.86, 1.59, 1.14, 4.91, repro,
2008-10-17,2.59, 4.23, -13.13, 1.85, 1.31, 5.73, repro,
2008-10-18,2.18, 3.42, -9.17, 1.81, 1.29, 5.56, repro,
2008-10-19,2.28, 3.48, -5.00, 1.47, 1.05, 4.56, repro,
2008-10-20,2.11, 2.92, 4.74, 1.9, 1.36, 5.89, repro,
2008-10-21,1.24, 3.82, -5.15, 1.57, 1.13, 4.87, repro,
