PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P403
Station name, FloeQuaryGWA2005
Begin Date, 2005-09-13
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, P403.pbo.nam08.pos
Offset from source file, 48.54 mm North, 60.55 mm East, -5.06 mm Vertical
Reference position, 48.0623223017 North Latitude, -124.1408746693 East Longitude, 284.67725 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-09-13,0.00, 0.00, 0.00, 4.71, 3.14, 13.2, repro,
2005-09-14,7.43, 8.65, 2.37, 1.85, 1.34, 5.6, repro,
2005-09-15,7.06, 7.77, 1.16, 1.77, 1.3, 5.38, repro,
2005-09-16,5.80, 7.87, -2.45, 1.71, 1.26, 5.2, repro,
2005-09-17,6.09, 7.06, -4.17, 1.56, 1.18, 4.87, repro,
2005-09-18,6.39, 5.57, 0.31, 1.66, 1.26, 5.19, repro,
2005-09-19,6.72, 7.40, 0.58, 1.91, 1.4, 5.95, repro,
2005-09-20,6.82, 7.82, 3.25, 1.71, 1.28, 5.3, repro,
2005-09-21,5.62, 6.26, -4.02, 1.61, 1.23, 5.06, repro,
2005-09-22,5.86, 6.61, -4.55, 1.67, 1.25, 5.27, repro,
2005-09-23,7.24, 6.12, -5.93, 1.71, 1.29, 5.37, repro,
2005-09-24,6.61, 6.71, -0.35, 1.56, 1.18, 4.89, repro,
2005-09-25,6.16, 5.18, 6.32, 1.62, 1.22, 5.06, repro,
2005-09-26,6.45, 5.69, 2.28, 1.7, 1.27, 5.33, repro,
2005-09-27,6.09, 6.15, -2.35, 1.57, 1.18, 4.91, repro,
2005-09-28,5.14, 6.98, -0.38, 2.06, 1.51, 6.3, repro,
2005-09-29,3.80, 6.71, 6.00, 1.89, 1.39, 5.81, repro,
2005-09-30,5.83, 6.62, 0.41, 1.65, 1.23, 5.12, repro,
2005-10-01,5.26, 6.67, 5.97, 1.71, 1.28, 5.33, repro,
2005-10-02,6.13, 7.21, 4.09, 1.3, 0.99, 4.01, repro,
2005-10-03,5.72, 7.29, -5.67, 1.35, 1.02, 4.16, repro,
2005-10-04,4.66, 7.30, -8.70, 1.61, 1.2, 4.99, repro,
2005-10-05,5.91, 8.24, -6.75, 1.38, 1.03, 4.23, repro,
2005-10-06,6.76, 7.17, -11.35, 1.38, 1.03, 4.24, repro,
2005-10-07,5.72, 8.02, -3.88, 1.73, 1.28, 5.29, repro,
2005-10-08,4.44, 6.77, -5.58, 1.71, 1.27, 5.26, repro,
2005-10-09,5.46, 8.05, -4.72, 1.77, 1.3, 5.45, repro,
2005-10-10,4.26, 7.70, -11.28, 2.07, 1.52, 6.44, repro,
2005-10-11,6.42, 5.83, -8.09, 1.33, 1.01, 4.04, repro,
2005-10-12,5.12, 7.21, -1.75, 1.41, 1.06, 4.33, repro,
2005-10-13,1.79, 6.32, -1.18, 1.81, 1.37, 5.66, repro,
2005-10-14,4.10, 7.03, -1.44, 1.52, 1.12, 4.63, repro,
2005-10-15,5.30, 5.45, -7.54, 1.37, 1.02, 4.16, repro,
2005-10-16,5.38, 6.92, 2.08, 1.55, 1.14, 4.76, repro,
2005-10-17,4.93, 7.76, -0.48, 1.71, 1.25, 5.26, repro,
2005-10-18,6.64, 8.25, -5.68, 1.51, 1.11, 4.63, repro,
2005-10-19,5.65, 8.80, 0.08, 1.57, 1.16, 4.78, repro,
2005-10-20,5.17, 8.85, -5.67, 1.78, 1.28, 5.38, repro,
2005-10-21,6.71, 9.31, -2.62, 1.81, 1.31, 5.59, repro,
