PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P426
Station name, GordonSch_WA2006
Begin Date, 2006-08-23
End Date, 2017-03-10
Release Date, 2017-03-27
Source file, P426.pbo.nam08.pos
Offset from source file, 13.69 mm North, 17.45 mm East, -22.75 mm Vertical
Reference position, 47.8027250612 North Latitude, -122.5145851479 East Longitude, 3.34244 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-08-23,0.00, 0.00, 0.00, 1.72, 1.36, 5.54, repro,
2006-08-24,0.14, 0.77, -3.22, 1.71, 1.36, 5.51, repro,
2006-08-25,-0.16, 1.23, -4.78, 1.62, 1.29, 5.22, repro,
2006-08-26,0.53, 0.51, -5.47, 1.78, 1.43, 5.76, repro,
2006-08-27,0.26, 0.25, -4.68, 1.75, 1.39, 5.68, repro,
2006-08-28,0.50, 0.04, -7.75, 1.9, 1.49, 6.15, repro,
2006-08-29,0.18, -0.51, -5.74, 2.12, 1.64, 6.86, repro,
2006-08-30,2.22, -1.03, -5.86, 1.77, 1.41, 5.76, repro,
2006-08-31,0.84, -0.13, -11.71, 1.62, 1.3, 5.27, repro,
2006-09-01,1.57, 0.16, -10.89, 1.56, 1.29, 5.2, repro,
2006-09-02,-0.13, 0.05, -7.22, 1.68, 1.35, 5.48, repro,
2006-09-03,0.45, -1.31, -6.30, 1.65, 1.32, 5.4, repro,
2006-09-04,1.23, -0.83, -8.14, 1.72, 1.38, 5.59, repro,
2006-09-05,1.45, -0.40, -14.66, 1.79, 1.42, 5.76, repro,
2006-09-06,0.37, -0.74, -11.35, 1.67, 1.34, 5.42, repro,
2006-09-07,0.30, -0.24, -6.56, 1.81, 1.44, 5.89, repro,
2006-09-08,-0.54, -0.39, -6.21, 1.95, 1.55, 6.37, repro,
2006-09-09,1.86, 0.03, -4.62, 2.28, 1.76, 7.37, repro,
2006-09-10,1.56, -0.33, -6.41, 1.67, 1.33, 5.41, repro,
2006-09-11,1.56, -1.46, -4.98, 1.86, 1.47, 6.01, repro,
2006-09-12,0.94, -1.10, -5.89, 1.89, 1.49, 6.15, repro,
2006-09-13,0.81, -1.23, -1.99, 1.99, 1.56, 6.52, repro,
2006-09-14,1.73, -0.88, 0.06, 1.7, 1.34, 5.41, repro,
2006-09-15,0.96, -0.77, -2.29, 1.71, 1.33, 5.48, repro,
2006-09-16,0.60, -0.35, -6.94, 1.59, 1.26, 5.09, repro,
2006-09-17,0.38, -1.08, -6.30, 1.67, 1.3, 5.36, repro,
2006-09-18,-3.11, -1.84, 1.98, 2.33, 1.75, 7.47, repro,
2006-09-19,0.19, -1.65, 2.93, 1.72, 1.34, 5.57, repro,
2006-09-20,0.04, -0.78, -4.58, 1.62, 1.26, 5.2, repro,
