PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P439
Station name, OrcasAirptWA2005
Begin Date, 2005-09-28
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, P439.pbo.nam08.pos
Offset from source file, 14.08 mm North, 21.72 mm East, 6.62 mm Vertical
Reference position, 48.7081927394 North Latitude, -122.909303325 East Longitude, -13.85699 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-09-28,0.00, 0.00, 0.00, 17.56, 11.5, 58.82, repro,
2005-09-29,-3.44, -6.46, 20.21, 2.01, 1.46, 6.07, repro,
2005-09-30,-2.70, -6.68, 23.66, 2.33, 1.67, 7.15, repro,
2005-10-01,-2.16, -4.88, 18.88, 1.83, 1.37, 5.69, repro,
2005-10-02,-4.51, -4.48, 13.27, 1.98, 1.46, 6.1, repro,
2005-10-03,-2.97, -4.39, 14.36, 1.88, 1.39, 5.76, repro,
2005-10-04,-2.03, -3.27, 8.36, 1.76, 1.31, 5.41, repro,
2005-10-05,-2.91, -3.80, 13.56, 1.96, 1.43, 5.97, repro,
2005-10-06,-1.85, -4.68, 10.38, 1.95, 1.44, 5.98, repro,
2005-10-07,-1.14, -3.11, 15.28, 2.04, 1.48, 6.24, repro,
2005-10-08,-3.12, -4.81, 16.91, 1.94, 1.42, 5.9, repro,
2005-10-09,-2.92, -6.53, 19.42, 1.94, 1.42, 5.92, repro,
2005-10-10,-3.21, -6.28, 16.74, 2.2, 1.58, 6.68, repro,
2005-10-11,-2.42, -3.42, 13.71, 1.81, 1.34, 5.51, repro,
2005-10-12,-1.40, -3.72, 11.64, 2.11, 1.54, 6.48, repro,
2005-10-13,-3.94, -4.18, 12.33, 2.33, 1.69, 7.22, repro,
2005-10-14,-2.86, -4.16, 11.44, 1.99, 1.44, 6.06, repro,
2005-10-15,-2.49, -3.54, 14.34, 2.02, 1.46, 6.16, repro,
2005-10-16,-2.21, -3.08, 12.98, 2.17, 1.55, 6.66, repro,
2005-10-17,-2.65, -3.30, 12.18, 2.14, 1.54, 6.53, repro,
2005-10-18,-0.93, -3.36, 13.59, 2.32, 1.66, 7.09, repro,
2005-10-19,-2.36, -3.41, 14.58, 1.82, 1.33, 5.56, repro,
2005-10-20,-1.20, -2.11, 8.02, 2.1, 1.52, 6.28, repro,
2005-10-21,-2.55, -2.99, 8.09, 2.06, 1.48, 6.29, repro,
2005-10-22,-2.32, -4.40, 12.66, 1.95, 1.44, 5.96, repro,
2005-10-23,-1.49, -3.11, 16.10, 2.08, 1.53, 6.34, repro,
2005-10-24,-0.59, -2.49, 10.37, 1.92, 1.41, 5.84, repro,
2005-10-25,-1.35, -4.57, 12.75, 2.03, 1.48, 6.18, repro,
2005-10-26,-1.06, -2.79, 9.38, 2.19, 1.6, 6.63, repro,
2005-10-27,-0.72, -3.48, 11.35, 1.81, 1.35, 5.48, repro,
2005-10-28,-4.11, -2.17, 14.57, 2.21, 1.6, 6.69, repro,
2005-10-29,-2.21, -2.37, 20.68, 1.95, 1.43, 5.89, repro,
2005-10-30,-1.93, -3.42, 9.30, 1.9, 1.4, 5.76, repro,
2005-10-31,-1.21, -4.08, 10.46, 2.46, 1.81, 7.5, repro,
2005-11-01,-2.24, -3.78, 9.68, 1.92, 1.45, 5.82, repro,
2005-11-02,-0.11, -2.95, 14.19, 2.1, 1.58, 6.34, repro,
2005-11-03,-2.49, -1.00, 8.50, 2.17, 1.63, 6.58, repro,
2005-11-04,-2.91, -3.55, 12.32, 2.23, 1.67, 6.8, repro,
2005-11-05,-2.10, -2.64, 11.95, 2.03, 1.53, 6.19, repro,
2005-11-06,-0.86, -1.66, 7.13, 1.95, 1.46, 5.92, repro,
2005-11-07,-0.79, -2.67, 7.21, 2.01, 1.5, 6.08, repro,
2005-11-08,-1.90, -2.09, 9.17, 1.88, 1.42, 5.7, repro,
2005-11-09,-2.99, -1.68, 8.70, 2.04, 1.59, 6.02, repro,
2005-11-10,-2.46, -0.82, 12.27, 2.5, 1.84, 7.67, repro,
2005-11-11,-2.38, -3.82, 12.60, 2.09, 1.53, 6.33, repro,
2005-11-12,-1.29, -2.89, 16.46, 2.05, 1.54, 6.18, repro,
2005-11-13,-1.84, -2.62, 7.83, 1.84, 1.37, 5.59, repro,
2005-11-14,-1.75, -2.64, 3.77, 1.99, 1.47, 6.03, repro,
2005-11-15,-1.41, -1.72, -3.85, 1.91, 1.38, 5.8, repro,
2005-11-16,-0.53, -2.54, -0.28, 1.85, 1.34, 5.62, repro,
2005-11-17,-1.92, -2.39, 1.51, 1.76, 1.29, 5.28, repro,
2005-11-18,-1.49, -1.63, 4.58, 1.85, 1.33, 5.53, repro,
2005-11-19,-0.97, -1.20, -1.51, 1.94, 1.4, 5.81, repro,
2005-11-20,-1.73, -2.23, 4.35, 1.84, 1.31, 5.47, repro,
2005-11-21,-0.95, -1.90, 3.36, 1.97, 1.42, 5.93, repro,
2005-11-22,-1.94, -1.85, 7.30, 1.81, 1.32, 5.47, repro,
2005-11-23,-1.33, -2.55, 9.91, 1.81, 1.3, 5.47, repro,
2005-11-24,-0.76, -2.57, 12.65, 1.94, 1.39, 5.88, repro,
2005-11-25,-1.70, -1.90, 13.76, 1.92, 1.36, 5.79, repro,
2005-11-26,-2.26, -2.74, 12.45, 2.07, 1.46, 6.25, repro,
2005-11-27,-1.56, -3.06, 8.81, 2.06, 1.45, 6.22, repro,
2005-11-28,0.12, -3.56, 3.56, 1.81, 1.29, 5.48, repro,
2005-11-29,0.44, -5.83, 2.58, 1.96, 1.39, 5.97, repro,
2005-11-30,-0.72, -2.86, 4.62, 1.84, 1.31, 5.58, repro,
2005-12-01,0.21, -3.44, 1.71, 1.85, 1.33, 5.63, repro,
2005-12-02,-0.96, -3.45, 10.29, 1.71, 1.23, 5.22, repro,
2005-12-03,-1.43, -2.31, 6.93, 1.88, 1.34, 5.68, repro,
2005-12-04,-0.62, -2.16, 0.12, 1.76, 1.26, 5.37, repro,
2005-12-05,0.00, -2.13, -2.57, 1.76, 1.26, 5.36, repro,
