station        component      count          a[mm]          b[yr]          c[mm*yr^-0.5]  d[yr^-1]       likelihood     
ALBH           east           726            1.0000e+00     1.0000e+00     2.7152e+00     2.0598e-01     9.6103e+02     
BLYN           east           562            1.0000e+00     1.0000e+00     1.7492e+02     5.3224e+01     2.1899e+03     
NEAH           east           732            1.0000e+00     1.0000e+00     4.0275e+00     1.6725e+00     1.1874e+03     
P403           east           680            1.0000e+00     1.0000e+00     2.3084e+00     4.7075e-01     1.0528e+03     
P435           east           708            1.0000e+00     1.0000e+00     2.9226e+00     1.3582e+00     1.1817e+03     
P436           east           732            1.0000e+00     1.0000e+00     2.1040e+00     5.8631e-01     1.0041e+03     
P437           east           732            1.0000e+00     1.0000e+00     1.9595e+00     3.2972e-02     1.0346e+03     
P438           east           349            1.0000e+00     1.0000e+00     1.0749e+00     1.9507e-06     4.4389e+02     
P439           east           732            1.0000e+00     1.0000e+00     2.5837e+00     1.8985e-01     1.0064e+03     
SC02           east           731            1.0000e+00     1.0000e+00     2.8531e+00     1.1121e-01     9.8401e+02     
SEDR           east           732            1.0000e+00     1.0000e+00     1.2008e+00     8.2762e-01     1.0649e+03     
ALBH           north          726            1.0000e+00     1.0000e+00     1.3350e+00     7.9987e-01     1.0931e+03     
BLYN           north          562            1.0000e+00     1.0000e+00     1.6332e+01     8.5586e-01     1.9969e+03     
NEAH           north          732            1.0000e+00     1.0000e+00     9.2463e+00     6.7427e+00     1.4447e+03     
P403           north          680            1.0000e+00     1.0000e+00     2.9666e+00     6.9161e-01     1.2874e+03     
P435           north          708            1.0000e+00     1.0000e+00     3.8499e+00     8.5398e-01     1.5165e+03     
P436           north          732            1.0000e+00     1.0000e+00     1.3787e+00     9.5438e-01     1.1849e+03     
P437           north          732            1.0000e+00     1.0000e+00     1.0476e+00     9.9254e-01     1.2046e+03     
P438           north          349            1.0000e+00     1.0000e+00     1.0201e-05     1.6142e+04     5.0876e+02     
P439           north          732            1.0000e+00     1.0000e+00     1.2802e+00     7.2467e-02     1.1813e+03     
SC02           north          731            1.0000e+00     1.0000e+00     1.9298e+00     2.2075e-01     1.1515e+03     
SEDR           north          732            1.0000e+00     1.0000e+00     3.8995e-07     2.5414e+05     1.2574e+03     
ALBH           vertical       726            1.0000e+00     1.0000e+00     1.6781e+01     7.4959e-01     2.1285e+03     
BLYN           vertical       562            1.0000e+00     1.0000e+00     1.8174e+02     9.2785e-01     2.9874e+03     
NEAH           vertical       732            1.0000e+00     1.0000e+00     4.4783e+01     6.6542e+00     2.3940e+03     
P403           vertical       680            1.0000e+00     1.0000e+00     7.6642e+00     8.9654e-01     2.0735e+03     
P435           vertical       708            1.0000e+00     1.0000e+00     3.5759e+00     3.2401e+00     2.2634e+03     
P436           vertical       732            1.0000e+00     1.0000e+00     1.3051e+01     4.4113e+00     2.1481e+03     
P437           vertical       732            1.0000e+00     1.0000e+00     1.6958e+01     3.4388e+00     2.2081e+03     
P438           vertical       349            1.0000e+00     1.0000e+00     1.2647e+01     2.9370e+00     9.7172e+02     
P439           vertical       732            1.0000e+00     1.0000e+00     7.6308e+00     1.4489e+00     2.1085e+03     
SC02           vertical       731            1.0000e+00     1.0000e+00     8.8338e+00     1.1721e+00     2.1023e+03     
SEDR           vertical       732            1.0000e+00     1.0000e+00     1.3949e+01     3.4550e+00     2.2295e+03     
