4-character id, ALBH
begin date, 2015-01-01
end date, 2017-01-01
longitude, -123.487470777 E
latitude, 48.3897811345 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2015-01-01, -5.654440e-11, 8.221691e-11, -6.659587e-12, 1.058200e-09, 9.848152e-10, 1.348611e-09
2015-01-02, -4.968066e-11, 5.932288e-11, -7.048125e-12, 9.955474e-10, 9.200840e-10, 1.315970e-09
2015-01-03, -4.071784e-11, 3.446327e-11, -3.829493e-12, 9.342882e-10, 8.586541e-10, 1.279655e-09
2015-01-04, -2.922102e-11, 9.981408e-12, 3.120150e-12, 8.769072e-10, 8.029306e-10, 1.240655e-09
2015-01-05, -1.485211e-11, -1.102416e-11, 1.356626e-11, 8.257425e-10, 7.550642e-10, 1.200205e-09
2015-01-06, 2.587366e-12, -2.564221e-11, 2.689720e-11, 7.827594e-10, 7.168091e-10, 1.159716e-09
2015-01-07, 2.291821e-11, -3.263177e-11, 4.218324e-11, 7.492945e-10, 6.892044e-10, 1.120669e-09
2015-01-08, 4.511261e-11, -3.296157e-11, 5.831628e-11, 7.257455e-10, 6.720175e-10, 1.084477e-09
2015-01-09, 6.706710e-11, -2.868991e-11, 7.419461e-11, 7.113087e-10, 6.634364e-10, 1.052341e-09
2015-01-10, 8.625310e-11, -2.152447e-11, 8.888057e-11, 7.040513e-10, 6.605635e-10, 1.025107e-09
2015-01-11, 1.008425e-10, -1.228592e-11, 1.016656e-10, 7.014379e-10, 6.604104e-10, 1.003173e-09
2015-01-12, 1.102335e-10, -1.129213e-12, 1.120412e-10, 7.010189e-10, 6.606552e-10, 9.864691e-10
2015-01-13, 1.147678e-10, 1.202092e-11, 1.196397e-10, 7.009083e-10, 6.598909e-10, 9.745151e-10
2015-01-14, 1.151981e-10, 2.712844e-11, 1.242014e-10, 6.999466e-10, 6.575415e-10, 9.665386e-10
2015-01-15, 1.123238e-10, 4.388867e-11, 1.255787e-10, 6.976484e-10, 6.536610e-10, 9.616219e-10
2015-01-16, 1.068505e-10, 6.174480e-11, 1.237516e-10, 6.940538e-10, 6.487123e-10, 9.588431e-10
2015-01-17, 9.938459e-11, 8.002408e-11, 1.188321e-10, 6.895513e-10, 6.433581e-10, 9.573853e-10
2015-01-18, 9.047744e-11, 9.811359e-11, 1.110504e-10, 6.847010e-10, 6.382706e-10, 9.566026e-10
2015-01-19, 8.068512e-11, 1.155967e-10, 1.007221e-10, 6.800747e-10, 6.339791e-10, 9.560441e-10
2015-01-20, 7.063429e-11, 1.323066e-10, 8.820560e-11, 6.761298e-10, 6.307775e-10, 9.554432e-10
2015-01-21, 6.107374e-11, 1.483009e-10, 7.386286e-11, 6.731332e-10, 6.287073e-10, 9.546856e-10
2015-01-22, 5.286977e-11, 1.637839e-10, 5.803767e-11, 6.711445e-10, 6.276093e-10, 9.537641e-10
2015-01-23, 4.691456e-11, 1.790041e-10, 4.105846e-11, 6.700503e-10, 6.272142e-10, 9.527317e-10
2015-01-24, 4.396759e-11, 1.941478e-10, 2.326483e-11, 6.696312e-10, 6.272343e-10, 9.516611e-10
2015-01-25, 4.449582e-11, 2.092438e-10, 5.046367e-12, 6.696342e-10, 6.274305e-10, 9.506129e-10
2015-01-26, 4.857826e-11, 2.240944e-10, -1.312265e-11, 6.698312e-10, 6.276440e-10, 9.496187e-10
2015-01-27, 5.589902e-11, 2.382469e-10, -3.066762e-11, 6.700530e-10, 6.277950e-10, 9.486758e-10
2015-01-28, 6.580846e-11, 2.510173e-10, -4.692310e-11, 6.701987e-10, 6.278613e-10, 9.477522e-10
2015-01-29, 7.741194e-11, 2.615640e-10, -6.116369e-11, 6.702244e-10, 6.278473e-10, 9.467980e-10
2015-01-30, 8.965053e-11, 2.689965e-10, -7.264612e-11, 6.701234e-10, 6.277568e-10, 9.457600e-10
2015-01-31, 1.013571e-10, 2.724903e-10, -8.065316e-11, 6.699044e-10, 6.275778e-10, 9.445950e-10
2015-02-01, 1.112911e-10, 2.713822e-10, -8.453411e-11, 6.695755e-10, 6.272798e-10, 9.432811e-10
2015-02-02, 1.181699e-10, 2.652250e-10, -8.374102e-11, 6.691381e-10, 6.268247e-10, 9.418241e-10
2015-02-03, 1.207169e-10, 2.537966e-10, -7.786118e-11, 6.685894e-10, 6.261814e-10, 9.402590e-10
2015-02-04, 1.177405e-10, 2.370696e-10, -6.664486e-11, 6.679292e-10, 6.253418e-10, 9.386469e-10
2015-02-05, 1.082438e-10, 2.151640e-10, -5.002399e-11, 6.671693e-10, 6.243290e-10, 9.370673e-10
2015-02-06, 9.154343e-11, 1.883073e-10, -2.811681e-11, 6.663376e-10, 6.231980e-10, 9.356066e-10
2015-02-07, 6.736807e-11, 1.568209e-10, -1.215852e-12, 6.654784e-10, 6.220268e-10, 9.343455e-10
2015-02-08, 3.590619e-11, 1.211371e-10, 3.023669e-11, 6.646460e-10, 6.209012e-10, 9.333469e-10
2015-02-09, -2.208237e-12, 8.183503e-11, 6.567580e-11, 6.638939e-10, 6.198976e-10, 9.326454e-10
2015-02-10, -4.596046e-11, 3.966804e-11, 1.044309e-10, 6.632643e-10, 6.190677e-10, 9.322426e-10
2015-02-11, -9.404484e-11, -4.449363e-12, 1.457264e-10, 6.627787e-10, 6.184307e-10, 9.321068e-10
2015-02-12, -1.449558e-10, -4.951370e-11, 1.886692e-10, 6.624327e-10, 6.179722e-10, 9.321782e-10
2015-02-13, -1.970662e-10, -9.454158e-11, 2.322318e-10, 6.621972e-10, 6.176511e-10, 9.323782e-10
2015-02-14, -2.486886e-10, -1.386686e-10, 2.752469e-10, 6.620241e-10, 6.174103e-10, 9.326209e-10
2015-02-15, -2.981253e-10, -1.811969e-10, 3.164208e-10, 6.618565e-10, 6.171896e-10, 9.328252e-10
2015-02-16, -3.437120e-10, -2.215791e-10, 3.543705e-10, 6.616397e-10, 6.169369e-10, 9.329253e-10
2015-02-17, -3.838651e-10, -2.593540e-10, 3.876803e-10, 6.613329e-10, 6.166168e-10, 9.328786e-10
2015-02-18, -4.171349e-10, -2.940647e-10, 4.149732e-10, 6.609168e-10, 6.162152e-10, 9.326706e-10
2015-02-19, -4.422637e-10, -3.251882e-10, 4.349844e-10, 6.603989e-10, 6.157404e-10, 9.323152e-10
2015-02-20, -4.582426e-10, -3.520952e-10, 4.466312e-10, 6.598133e-10, 6.152210e-10, 9.318520e-10
2015-02-21, -4.643591e-10, -3.740472e-10, 4.490692e-10, 6.592158e-10, 6.147009e-10, 9.313394e-10
2015-02-22, -4.602355e-10, -3.902236e-10, 4.417309e-10, 6.586751e-10, 6.142326e-10, 9.308456e-10
2015-02-23, -4.458606e-10, -3.997678e-10, 4.243475e-10, 6.582608e-10, 6.138690e-10, 9.304370e-10
2015-02-24, -4.216181e-10, -4.018400e-10, 3.969585e-10, 6.580301e-10, 6.136545e-10, 9.301679e-10
2015-02-25, -3.883115e-10, -3.956747e-10, 3.599187e-10, 6.580158e-10, 6.136171e-10, 9.300711e-10
2015-02-26, -3.471674e-10, -3.806486e-10, 3.139097e-10, 6.582191e-10, 6.137620e-10, 9.301526e-10
2015-02-27, -2.997944e-10, -3.563666e-10, 2.599541e-10, 6.586082e-10, 6.140701e-10, 9.303911e-10
2015-02-28, -2.480777e-10, -3.227570e-10, 1.994239e-10, 6.591242e-10, 6.145003e-10, 9.307420e-10
2015-03-01, -1.940143e-10, -2.801583e-10, 1.340281e-10, 6.596919e-10, 6.149967e-10, 9.311461e-10
2015-03-02, -1.395208e-10, -2.293692e-10, 6.576704e-11, 6.602329e-10, 6.154983e-10, 9.315403e-10
2015-03-03, -8.625684e-11, -1.716512e-10, -3.151082e-12, 6.606792e-10, 6.159495e-10, 9.318689e-10
2015-03-04, -3.550411e-11, -1.086856e-10, -7.042593e-11, 6.609841e-10, 6.163092e-10, 9.320934e-10
2015-03-05, 1.187842e-11, -4.250345e-11, -1.338045e-10, 6.611293e-10, 6.165579e-10, 9.321999e-10
2015-03-06, 5.542286e-11, 2.459319e-11, -1.912295e-10, 6.611275e-10, 6.167007e-10, 9.322021e-10
2015-03-07, 9.496133e-11, 9.011106e-11, -2.409804e-10, 6.610213e-10, 6.167667e-10, 9.321409e-10
2015-03-08, 1.305053e-10, 1.514523e-10, -2.817895e-10, 6.608767e-10, 6.168050e-10, 9.320787e-10
2015-03-09, 1.621317e-10, 2.060246e-10, -3.129117e-10, 6.607730e-10, 6.168756e-10, 9.320906e-10
2015-03-10, 1.899124e-10, 2.513909e-10, -3.341342e-10, 6.607897e-10, 6.170388e-10, 9.322518e-10
2015-03-11, 2.139057e-10, 2.854557e-10, -3.457159e-10, 6.609925e-10, 6.173432e-10, 9.326250e-10
2015-03-12, 2.341999e-10, 3.066676e-10, -3.482681e-10, 6.614206e-10, 6.178162e-10, 9.332471e-10
2015-03-13, 2.509623e-10, 3.141966e-10, -3.426029e-10, 6.620791e-10, 6.184584e-10, 9.341208e-10
2015-03-14, 2.644407e-10, 3.080403e-10, -3.295924e-10, 6.629373e-10, 6.192440e-10, 9.352112e-10
2015-03-15, 2.748884e-10, 2.890318e-10, -3.100730e-10, 6.639344e-10, 6.201263e-10, 9.364484e-10
2015-03-16, 2.824374e-10, 2.587475e-10, -2.848135e-10, 6.649890e-10, 6.210464e-10, 9.377370e-10
2015-03-17, 2.869738e-10, 2.193422e-10, -2.545369e-10, 6.660118e-10, 6.219427e-10, 9.389685e-10
2015-03-18, 2.880677e-10, 1.733490e-10, -2.199669e-10, 6.669172e-10, 6.227584e-10, 9.400361e-10
2015-03-19, 2.849831e-10, 1.234798e-10, -1.818695e-10, 6.676333e-10, 6.234473e-10, 9.408498e-10
2015-03-20, 2.767663e-10, 7.244673e-11, -1.410653e-10, 6.681098e-10, 6.239764e-10, 9.413478e-10
