PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, ALBH
Station name, Albert_Head     
Begin Date, 1996-01-01
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, ALBH.pbo.nam08.pos
Offset from source file, 41.76 mm North, 62.78 mm East, 5.22 mm Vertical
Reference position, 48.3897811345 North Latitude, -123.4874707769 East Longitude, 31.75247 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
1996-01-01,0.00, 0.00, 0.00, 1.31, 1.06, 5.06, repro,
1996-01-02,-1.48, -0.80, 0.41, 1.59, 1.29, 5.81, repro,
1996-01-03,0.86, -3.41, -7.89, 1.7, 1.36, 6.09, repro,
1996-01-04,0.94, -0.42, 3.65, 1.28, 1.03, 4.78, repro,
1996-01-05,0.02, -0.45, 1.11, 1.19, 0.97, 4.58, repro,
1996-01-06,-3.03, -0.47, 4.74, 1.55, 1.26, 5.63, repro,
1996-01-07,-1.24, -3.45, -1.61, 1.85, 1.48, 6.57, repro,
1996-01-08,-0.06, -1.66, 1.07, 1.42, 1.12, 5.16, repro,
1996-01-09,0.39, -2.59, -1.40, 1.46, 1.17, 5.33, repro,
1996-01-10,1.40, -2.35, -0.81, 1.4, 1.12, 5.24, repro,
1996-01-11,0.38, -2.01, -0.21, 1.43, 1.14, 5.33, repro,
1996-01-12,1.03, -2.43, -3.05, 1.22, 0.99, 4.82, repro,
1996-01-13,1.93, -3.25, -7.34, 1.87, 1.5, 7.26, repro,
1996-01-14,-0.23, -1.61, -1.18, 1.25, 1.02, 4.94, repro,
1996-01-15,1.44, -4.35, -10.90, 1.7, 1.35, 6.82, repro,
1996-01-16,1.89, -5.02, -7.64, 1.77, 1.41, 6.44, repro,
1996-01-17,0.30, -2.50, 1.02, 1.41, 1.13, 5.11, repro,
1996-01-18,0.64, -2.20, 1.15, 1.45, 1.19, 5.35, repro,
1996-01-19,-1.91, -5.49, 1.16, 1.52, 1.19, 5.63, repro,
1996-01-20,-1.15, -0.63, 0.56, 1.6, 1.3, 5.81, repro,
1996-01-21,-2.11, -1.61, 6.50, 1.46, 1.17, 5.15, repro,
1996-01-22,-0.58, -3.16, -1.18, 1.36, 1.09, 4.96, repro,
1996-01-23,-0.93, -2.63, -1.09, 1.52, 1.23, 5.39, repro,
1996-01-24,-1.54, -2.82, -0.26, 1.44, 1.17, 5.09, repro,
1996-01-25,-1.67, -2.79, 3.76, 1.4, 1.15, 4.87, repro,
1996-01-26,-1.03, -2.52, 1.51, 1.56, 1.28, 5.32, repro,
1996-01-27,-0.45, -2.92, 5.14, 1.41, 1.15, 5.02, repro,
1996-01-28,-0.73, -3.23, -5.90, 1.38, 1.12, 4.91, repro,
