PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, KTBW
Station name, KTBW_PNGA_WA2001
Begin Date, 2001-03-29
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, KTBW.pbo.nam08.pos
Offset from source file, 28.31 mm North, 36.85 mm East, -2.22 mm Vertical
Reference position, 47.5473197725 North Latitude, -122.7954177389 East Longitude, 491.57560 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2001-03-29,0.00, 0.00, 0.00, 2.1, 1.62, 6.92, repro,
2001-03-30,-0.40, -1.50, 2.82, 1.91, 1.46, 6.27, repro,
2001-03-31,2.62, -0.69, -0.20, 2.24, 1.74, 7.3, repro,
2001-04-01,-0.91, -2.16, 0.30, 1.77, 1.37, 5.77, repro,
2001-04-02,0.61, -2.74, -1.38, 1.69, 1.32, 5.57, repro,
2001-04-03,0.94, -1.80, -1.43, 1.66, 1.3, 5.43, repro,
2001-04-04,0.77, -1.17, 0.84, 1.59, 1.23, 5.2, repro,
2001-04-05,0.58, -1.95, 0.82, 1.72, 1.33, 5.68, repro,
2001-04-06,1.82, -1.17, -4.19, 1.69, 1.29, 5.7, repro,
2001-04-07,-0.15, -2.66, 0.19, 1.71, 1.32, 5.68, repro,
2001-04-08,1.32, -1.25, -5.18, 1.68, 1.3, 5.57, repro,
2001-04-09,1.31, -1.51, -8.62, 1.64, 1.28, 5.48, repro,
2001-04-10,2.02, -2.21, -0.29, 1.67, 1.32, 5.59, repro,
2001-04-11,-0.82, -2.00, -1.06, 1.75, 1.35, 5.76, repro,
2001-04-12,0.43, -1.02, 1.79, 1.7, 1.33, 5.71, repro,
2001-04-13,0.75, -2.56, -0.72, 1.73, 1.35, 5.81, repro,
2001-04-14,1.37, -2.25, -5.06, 1.64, 1.31, 5.51, repro,
2001-04-15,1.37, -1.06, -1.10, 1.72, 1.39, 5.91, repro,
2001-04-16,0.59, -0.76, -2.82, 1.81, 1.44, 6.07, repro,
2001-04-17,1.25, -2.02, -2.25, 2.14, 1.63, 6.99, repro,
2001-04-18,0.57, -0.49, -1.24, 1.84, 1.4, 6.09, repro,
2001-04-19,0.85, -1.34, -0.42, 1.71, 1.32, 5.68, repro,
2001-04-20,1.05, -1.77, 2.80, 1.67, 1.28, 5.49, repro,
2001-04-21,2.32, -1.59, -5.09, 1.67, 1.29, 5.54, repro,
2001-04-22,0.96, -1.55, -5.80, 1.79, 1.34, 5.95, repro,
2001-04-23,3.69, 0.22, -6.04, 1.91, 1.44, 6.23, repro,
2001-04-24,2.11, 1.25, -2.75, 1.97, 1.5, 6.4, repro,
2001-04-25,-0.10, -0.71, 0.59, 1.7, 1.33, 5.6, repro,
2001-04-26,1.19, -2.16, -5.96, 1.97, 1.5, 6.29, repro,
2001-04-27,1.58, 0.26, 1.53, 1.89, 1.44, 6.19, repro,
2001-04-28,1.61, -1.14, 5.93, 1.81, 1.38, 5.89, repro,
2001-04-29,-1.73, -1.67, 5.47, 1.96, 1.45, 6.34, repro,
2001-04-30,2.37, 0.44, -8.06, 2.07, 1.58, 6.75, repro,
2001-05-01,1.54, -1.96, -3.74, 1.8, 1.35, 5.8, repro,
2001-05-02,0.52, -1.29, -23.28, 2.15, 1.7, 8.43, repro,
2001-05-03,0.68, -0.58, -3.70, 1.72, 1.3, 5.65, repro,
2001-05-04,0.57, -1.27, -2.35, 1.89, 1.4, 6.09, repro,
2001-05-05,0.35, -0.71, -4.93, 1.91, 1.44, 6.2, repro,
2001-05-06,0.88, -1.78, -2.50, 1.69, 1.28, 5.57, repro,
2001-05-07,1.10, -1.55, -1.37, 1.72, 1.3, 5.64, repro,
2001-05-08,1.64, -1.63, -4.01, 1.9, 1.43, 6.11, repro,
2001-05-09,1.71, -1.60, -4.57, 1.66, 1.26, 5.53, repro,
2001-05-10,1.08, -0.70, -3.76, 1.65, 1.24, 5.43, repro,
2001-05-11,1.41, -0.91, -4.04, 1.77, 1.3, 5.76, repro,
2001-05-12,0.80, -0.70, 3.82, 1.75, 1.32, 5.81, repro,
2001-05-13,0.42, -1.42, 3.05, 1.77, 1.36, 5.87, repro,
2001-05-14,1.10, -0.32, 0.71, 1.79, 1.36, 5.93, repro,
2001-05-15,2.14, -1.22, 7.66, 1.74, 1.35, 5.75, repro,
2001-05-16,1.30, -1.41, 1.95, 1.9, 1.47, 6.28, repro,
2001-05-17,0.24, -1.40, -3.15, 1.7, 1.31, 5.62, repro,
2001-05-18,0.44, -1.79, 1.91, 1.6, 1.27, 5.29, repro,
2001-05-19,-0.50, -1.35, -1.21, 1.71, 1.35, 5.66, repro,
2001-05-20,0.40, -1.52, -0.57, 1.71, 1.35, 5.69, repro,
2001-05-21,0.32, -0.66, 5.03, 1.7, 1.34, 5.67, repro,
2001-05-22,-0.88, -0.12, 6.10, 1.67, 1.38, 5.66, repro,
2001-05-23,0.41, -0.35, 0.23, 1.63, 1.32, 5.45, repro,
2001-05-24,-1.11, -0.46, 4.00, 1.86, 1.48, 6.15, repro,
2001-05-25,0.53, 0.87, 0.49, 1.7, 1.36, 5.69, repro,
2001-05-26,-0.86, -0.74, 7.94, 1.79, 1.42, 5.97, repro,
2001-05-27,0.97, 0.49, 5.88, 1.87, 1.47, 6.28, repro,
2001-05-28,1.84, -0.96, 11.05, 1.86, 1.46, 6.15, repro,
2001-05-29,0.50, -1.00, 0.49, 1.69, 1.34, 5.63, repro,
2001-05-30,-0.16, -0.99, 0.23, 1.68, 1.33, 5.61, repro,
2001-05-31,0.56, -0.07, 2.47, 1.65, 1.3, 5.45, repro,
2001-06-01,0.87, -0.28, 3.76, 2.06, 1.59, 6.76, repro,
2001-06-02,0.00, 0.06, 4.06, 1.73, 1.37, 5.75, repro,
2001-06-03,0.44, -0.15, 1.18, 1.66, 1.3, 5.51, repro,
2001-06-04,0.42, 0.12, -1.30, 1.63, 1.34, 5.53, repro,
2001-06-05,0.58, 0.54, 3.57, 1.62, 1.28, 5.39, repro,
2001-06-06,2.19, 0.92, -5.12, 1.64, 1.29, 5.5, repro,
2001-06-07,0.17, 1.39, -0.24, 1.74, 1.37, 5.74, repro,
2001-06-08,0.73, 0.39, -0.87, 1.9, 1.47, 6.27, repro,
2001-06-09,3.02, 1.45, -2.48, 2, 1.53, 6.53, repro,
2001-06-10,1.87, 1.58, 2.45, 1.74, 1.35, 5.79, repro,
2001-06-11,1.65, 1.20, 2.01, 1.81, 1.42, 5.95, repro,
2001-06-12,0.74, -0.17, -3.38, 1.49, 1.14, 4.86, repro,
2001-06-13,0.87, 1.24, -6.27, 1.64, 1.27, 5.35, repro,
2001-06-14,1.86, 0.81, -4.24, 1.74, 1.35, 5.65, repro,
2001-06-15,1.60, 0.10, -3.05, 1.31, 1.01, 4.35, repro,
2001-06-16,0.56, 0.12, -8.52, 1.33, 1.03, 4.35, repro,
2001-06-17,0.51, 0.16, -2.96, 1.32, 1.01, 4.37, repro,
2001-06-18,0.93, 1.01, -1.69, 1.39, 1.06, 4.61, repro,
2001-06-19,1.01, 2.17, -0.99, 1.66, 1.25, 5.41, repro,
2001-06-20,0.54, 0.66, -0.85, 1.43, 1.14, 4.91, repro,
2001-06-21,1.85, 1.15, -0.56, 1.6, 1.25, 5.34, repro,
2001-06-22,-0.45, 0.12, -0.86, 1.52, 1.2, 5.11, repro,
2001-06-23,0.61, 0.84, -5.06, 1.37, 1.12, 4.55, repro,
2001-06-24,0.43, 0.96, 0.54, 1.38, 1.07, 4.64, repro,
2001-06-25,1.16, 0.52, 2.57, 1.32, 1.04, 4.45, repro,
2001-06-26,0.13, 0.51, 1.73, 1.44, 1.15, 4.91, repro,
2001-06-27,1.63, 1.31, -7.10, 1.71, 1.34, 5.66, repro,
2001-06-28,0.97, 2.20, -3.63, 1.52, 1.18, 5.1, repro,
2001-06-29,1.30, 0.78, -7.75, 1.38, 1.07, 4.61, repro,
2001-06-30,0.39, 0.43, -3.21, 1.34, 1.04, 4.5, repro,
2001-07-01,0.83, 1.28, 4.79, 1.44, 1.1, 4.83, repro,
2001-07-02,1.05, 0.86, 0.23, 1.51, 1.2, 5.04, repro,
2001-07-03,1.18, 1.25, 1.85, 1.4, 1.07, 4.68, repro,
2001-07-04,0.91, 1.37, -0.55, 1.42, 1.1, 4.75, repro,
2001-07-05,-0.10, 0.16, 3.14, 1.58, 1.23, 5.37, repro,
2001-07-06,0.90, 1.45, 2.55, 1.54, 1.19, 5.13, repro,
2001-07-07,-0.53, 0.94, -1.16, 1.68, 1.28, 5.58, repro,
2001-07-08,-0.06, 1.27, 3.87, 1.45, 1.1, 4.8, repro,
2001-07-09,2.73, 0.60, -1.08, 1.45, 1.11, 4.81, repro,
2001-07-10,1.63, 1.25, 1.53, 1.67, 1.24, 5.44, repro,
2001-07-11,0.88, 1.84, 2.46, 1.47, 1.09, 4.91, repro,
2001-07-12,2.03, 0.92, -4.59, 1.49, 1.1, 4.94, repro,
2001-07-13,0.95, 0.81, -1.89, 1.5, 1.13, 4.95, repro,
2001-07-14,1.30, 1.05, 1.02, 1.39, 1.05, 4.63, repro,
2001-07-15,1.47, 0.88, 1.20, 1.33, 1.03, 4.43, repro,
2001-07-16,2.40, 1.76, -1.42, 1.77, 1.38, 7.86, repro,
2001-07-17,0.87, 1.72, 4.46, 1.44, 1.09, 4.72, repro,
2001-07-18,0.82, 1.59, 4.11, 1.4, 1.08, 4.65, repro,
2001-07-19,1.27, 1.39, 1.20, 1.33, 1.01, 4.39, repro,
2001-07-20,1.19, 1.21, 2.03, 1.44, 1.09, 4.68, repro,
2001-07-21,0.88, 0.98, 2.86, 1.66, 1.25, 5.41, repro,
2001-07-22,1.90, 1.51, -1.83, 1.32, 1.02, 4.37, repro,
2001-07-23,2.32, 1.51, -0.97, 1.37, 1.03, 4.56, repro,
2001-07-24,2.85, 2.41, 1.11, 1.71, 1.29, 5.64, repro,
2001-07-25,1.54, 1.12, 3.70, 1.4, 1.06, 4.64, repro,
2001-07-26,1.80, 1.90, 2.05, 1.32, 0.99, 4.43, repro,
2001-07-27,1.72, 1.34, 3.59, 1.37, 1.03, 4.63, repro,
2001-07-28,2.24, 1.37, 3.70, 1.41, 1.09, 4.7, repro,
2001-07-29,2.23, 2.24, 0.99, 1.42, 1.06, 4.73, repro,
2001-07-30,1.58, 0.84, -0.79, 1.54, 1.17, 5.07, repro,
2001-07-31,2.34, 1.78, 1.77, 1.37, 1.03, 4.61, repro,
2001-08-01,1.18, 0.40, 4.45, 1.6, 1.2, 5.25, repro,
2001-08-02,2.24, 2.43, 9.83, 1.53, 1.15, 5.1, repro,
2001-08-03,1.79, 2.21, -1.42, 1.88, 1.38, 6.19, repro,
2001-08-04,2.81, 1.53, 5.86, 1.62, 1.2, 5.3, repro,
2001-08-05,2.00, 1.82, 4.17, 1.5, 1.13, 4.95, repro,
2001-08-06,4.18, 3.06, -4.05, 1.63, 1.21, 5.4, repro,
2001-08-07,2.08, 1.93, 0.83, 1.48, 1.12, 4.87, repro,
2001-08-08,1.85, 1.70, -2.81, 1.45, 1.09, 4.84, repro,
2001-08-09,0.70, 1.92, -1.90, 1.44, 1.09, 4.77, repro,
2001-08-10,0.75, 2.86, 6.45, 1.67, 1.26, 5.53, repro,
2001-08-11,3.99, 1.77, 0.19, 1.44, 1.09, 4.76, repro,
2001-08-12,3.44, 2.37, 3.31, 1.48, 1.12, 4.86, repro,
2001-08-13,2.64, 1.84, -0.36, 1.56, 1.16, 5.13, repro,
2001-08-14,2.56, 2.04, -1.00, 1.39, 1.04, 4.58, repro,
2001-08-15,1.57, 2.41, -0.47, 1.43, 1.06, 4.7, repro,
2001-08-16,2.53, 2.85, 3.52, 1.43, 1.09, 4.67, repro,
2001-08-17,3.38, 2.73, -1.56, 1.7, 1.26, 5.56, repro,
2001-08-18,3.31, 2.29, 0.96, 1.39, 1.03, 4.57, repro,
2001-08-19,1.83, 2.53, 2.19, 1.68, 1.26, 5.45, repro,
2001-08-20,2.77, 2.02, 4.21, 1.37, 1.03, 4.58, repro,
2001-08-21,3.34, 2.18, 0.66, 1.96, 1.47, 6.39, repro,
2001-08-22,2.65, 1.66, 6.33, 1.53, 1.19, 5.11, repro,
2001-08-23,3.13, 2.90, -1.06, 2.13, 1.57, 6.94, repro,
2001-08-24,2.55, 1.49, 1.33, 1.65, 1.24, 5.38, repro,
2001-08-25,1.42, 1.77, -1.54, 1.41, 1.06, 4.59, repro,
2001-08-26,2.70, 0.79, -2.01, 1.46, 1.11, 4.78, repro,
2001-08-27,2.10, 2.20, 0.36, 1.51, 1.11, 4.96, repro,
2001-08-28,3.15, 1.63, 6.06, 1.52, 1.14, 4.93, repro,
2001-08-29,1.82, 1.83, 0.00, 1.38, 1.05, 4.55, repro,
2001-08-30,3.36, 1.16, 3.55, 1.5, 1.11, 4.93, repro,
2001-08-31,4.59, 1.12, 2.65, 1.99, 1.47, 6.46, repro,
2001-09-01,5.55, 2.21, 9.53, 2.03, 1.48, 6.53, repro,
2001-09-02,3.11, 2.68, 7.72, 1.43, 1.08, 4.7, repro,
2001-09-03,1.68, 1.13, 13.32, 1.94, 1.44, 6.32, repro,
2001-09-04,3.15, 1.48, 5.43, 1.79, 1.38, 5.86, repro,
2001-09-05,2.85, 2.05, 6.03, 1.61, 1.29, 5.2, repro,
2001-09-06,1.08, 1.98, 5.19, 1.43, 1.12, 4.76, repro,
2001-09-07,3.41, 1.63, -4.43, 1.32, 1.05, 4.43, repro,
2001-09-08,-0.70, 1.84, 0.11, 1.32, 1.02, 4.41, repro,
2001-09-09,2.52, 2.36, 6.45, 1.36, 1.05, 4.52, repro,
