PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P437
Station name, Whidbey_S_WA2007
Begin Date, 2007-09-06
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, P437.pbo.nam08.pos
Offset from source file, 12.35 mm North, 19.97 mm East, -17.41 mm Vertical
Reference position, 48.0018097536 North Latitude, -122.4591572206 East Longitude, 12.47420 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-09-06,0.00, 0.00, 0.00, 17.02, 11.07, 44.69, repro,
2007-09-07,-0.13, 1.16, -2.35, 2.13, 1.56, 6.65, repro,
2007-09-08,0.09, 2.25, -6.52, 1.85, 1.37, 5.79, repro,
2007-09-09,-0.37, 2.14, -9.14, 1.86, 1.39, 5.78, repro,
2007-09-10,-0.88, 1.87, -6.69, 1.79, 1.32, 5.57, repro,
2007-09-11,-0.16, 1.50, -6.61, 1.75, 1.29, 5.43, repro,
2007-09-12,0.77, 1.21, -7.05, 2.08, 1.52, 6.48, repro,
2007-09-13,0.78, 2.77, -10.42, 1.97, 1.44, 6.13, repro,
2007-09-14,1.03, 1.60, -5.47, 1.8, 1.31, 5.58, repro,
2007-09-15,0.25, 0.93, -5.37, 1.89, 1.37, 5.89, repro,
2007-09-16,0.37, 0.86, -4.76, 2.19, 1.58, 6.82, repro,
2007-09-17,0.62, 1.27, -4.83, 1.8, 1.32, 5.66, repro,
2007-09-18,0.48, 0.72, -8.40, 1.77, 1.32, 5.62, repro,
2007-09-19,0.22, 1.03, -6.65, 1.79, 1.31, 5.58, repro,
2007-09-20,1.14, 1.13, -6.17, 1.72, 1.26, 5.4, repro,
2007-09-21,0.53, 2.51, -10.76, 1.8, 1.33, 5.73, repro,
2007-09-22,-0.63, 1.97, 0.44, 1.91, 1.41, 6.04, repro,
2007-09-23,1.20, 2.44, -7.54, 1.6, 1.18, 5.06, repro,
2007-09-24,0.30, 2.24, -10.21, 1.73, 1.28, 5.46, repro,
