PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P815
Station name, Quillmast_WA2013
Begin Date, 2013-09-06
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, P815.pbo.nam08.pos
Offset from source file, 5.78 mm North, 9.23 mm East, -2.26 mm Vertical
Reference position, 47.9371884159 North Latitude, -124.5571514463 East Longitude, 36.22919 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2013-09-06,0.00, 0.00, 0.00, 2.3, 1.76, 7.19, rern6,
2013-09-07,1.09, -0.13, 3.41, 1.8, 1.36, 5.66, rern6,
2013-09-08,0.20, 0.75, -2.12, 1.77, 1.31, 5.55, rern6,
2013-09-09,0.58, -0.04, 0.70, 1.89, 1.38, 5.92, rern6,
2013-09-10,0.14, 0.20, 3.82, 1.7, 1.25, 5.32, rern6,
2013-09-11,0.67, 0.70, 5.98, 1.58, 1.17, 4.95, rern6,
2013-09-12,1.10, 0.51, 3.83, 1.57, 1.16, 4.78, rern6,
2013-09-13,-0.19, 0.80, 1.76, 1.79, 1.33, 5.43, rern6,
2013-09-14,0.64, 0.85, -0.67, 1.77, 1.32, 5.37, rern6,
2013-09-15,0.04, 0.05, -0.25, 2.11, 1.54, 6.49, rern6,
2013-09-16,-0.88, 0.33, 1.58, 1.8, 1.32, 5.56, rern6,
2013-09-17,1.21, -0.07, 4.80, 1.45, 1.12, 4.39, rern6,
2013-09-18,1.16, -0.02, 4.94, 1.77, 1.3, 5.45, rern6,
2013-09-19,1.37, 1.00, 1.70, 1.76, 1.28, 5.46, rern6,
2013-09-20,-0.29, -0.22, 6.12, 2, 1.47, 6.24, rern6,
2013-09-21,1.11, -0.17, 9.64, 1.93, 1.38, 6.02, rern6,
2013-09-22,-0.88, -0.58, 13.91, 2.4, 1.68, 7.43, rern6,
2013-09-23,2.64, -0.40, 8.88, 2.19, 1.55, 6.78, rern6,
2013-09-24,2.23, 0.78, 6.18, 2.07, 1.48, 6.44, rern6,
2013-09-25,0.91, 0.12, -2.76, 1.72, 1.27, 5.25, rern6,
2013-09-26,1.39, 1.25, -2.45, 1.63, 1.2, 5.06, rern6,
2013-09-27,1.69, -0.01, 0.62, 1.88, 1.37, 5.81, rern6,
2013-09-28,0.31, 0.46, 4.45, 1.87, 1.36, 5.8, rern6,
2013-09-29,0.71, 0.48, 8.37, 2.21, 1.59, 6.87, rern6,
2013-09-30,0.35, 1.27, 4.20, 2.24, 1.63, 7.11, rern6,
2013-10-01,1.01, 1.08, 0.51, 2.13, 1.58, 6.79, rern6,
2013-10-02,1.81, 0.13, -5.53, 1.75, 1.34, 5.64, rern6,
2013-10-03,0.40, 1.38, -9.33, 1.57, 1.21, 5.04, rern6,
2013-10-04,0.22, 1.75, -6.02, 1.68, 1.28, 5.42, rern6,
2013-10-05,1.21, 1.23, -1.31, 1.56, 1.2, 5.04, rern6,
2013-10-06,-0.67, 1.37, -2.13, 1.66, 1.27, 5.33, rern6,
2013-10-07,-0.02, 1.23, 1.12, 2.16, 1.59, 6.89, rern6,
2013-10-08,1.84, -1.30, -3.96, 1.72, 1.3, 5.53, rern6,
2013-10-09,1.02, 1.29, -4.42, 1.65, 1.25, 5.24, rern6,
2013-10-10,-0.11, 1.02, 3.36, 1.85, 1.36, 5.82, rern6,
2013-10-11,1.79, 0.97, -1.18, 1.58, 1.19, 4.96, rern6,
2013-10-12,0.77, 0.25, 1.22, 1.53, 1.16, 4.8, rern6,
2013-10-13,0.83, 0.59, -8.48, 1.6, 1.22, 5.05, rern6,
2013-10-14,1.10, 0.89, -12.30, 1.59, 1.22, 5, rern6,
2013-10-15,0.83, 1.16, -9.37, 1.66, 1.25, 5.32, rern6,
2013-10-16,0.74, 0.70, -10.75, 1.67, 1.26, 5.25, rern6,
2013-10-17,0.62, 1.32, -3.75, 1.57, 1.19, 4.81, rern6,
2013-10-18,1.05, 0.77, -3.51, 1.58, 1.21, 4.88, rern6,
2013-10-19,0.27, 0.56, -7.73, 1.57, 1.2, 4.82, rern6,
2013-10-20,0.47, 1.24, -4.87, 1.65, 1.28, 5.02, rern6,
2013-10-21,1.12, 1.12, -3.50, 1.64, 1.26, 4.92, rern6,
2013-10-22,0.83, 1.42, -5.42, 1.49, 1.14, 4.64, rern6,
2013-10-23,0.66, 1.58, -4.72, 1.47, 1.11, 4.6, rern6,
2013-10-24,0.71, 1.15, -3.96, 1.63, 1.24, 4.99, rern6,
2013-10-25,1.14, 0.88, -6.74, 1.67, 1.25, 5.09, rern6,
2013-10-26,0.11, 1.02, -11.91, 1.7, 1.28, 5.19, rern6,
2013-10-27,1.82, 1.45, -4.05, 2.04, 1.5, 6.33, rern6,
2013-10-28,0.96, 3.35, 0.64, 1.8, 1.32, 5.57, rern6,
2013-10-29,-0.19, 1.32, 1.56, 1.6, 1.23, 4.97, rern6,
2013-10-30,0.96, 2.14, -1.12, 1.75, 1.32, 5.45, rern6,
2013-10-31,0.81, 1.88, -1.11, 1.86, 1.37, 5.76, rern6,
2013-11-01,1.78, 2.16, -4.38, 1.64, 1.22, 5.07, rern6,
2013-11-02,0.92, 1.10, 3.78, 2.25, 1.59, 7.01, rern6,
2013-11-03,1.63, 3.08, -7.34, 1.68, 1.24, 5.18, rern6,
2013-11-04,1.16, 1.92, -4.28, 1.67, 1.23, 5.1, rern6,
2013-11-05,1.71, 2.14, -2.54, 1.68, 1.24, 5.13, rern6,
2013-11-06,1.30, 2.79, -6.04, 1.81, 1.35, 5.48, rern6,
2013-11-07,2.06, 2.81, -6.69, 1.82, 1.36, 5.61, rern6,
2013-11-08,0.78, 1.62, -0.58, 1.73, 1.3, 5.43, rern6,
2013-11-09,1.16, 2.15, -5.64, 1.64, 1.26, 5.19, rern6,
2013-11-10,1.42, 2.31, -6.74, 1.59, 1.23, 5.02, rern6,
2013-11-11,1.40, 2.35, -3.26, 1.47, 1.16, 4.45, rern6,
2013-11-12,-0.24, 3.01, -6.85, 2.09, 1.54, 6.47, rern6,
2013-11-13,2.11, 2.70, -9.82, 1.85, 1.39, 5.62, rern6,
2013-11-14,1.65, 2.79, -1.38, 1.79, 1.37, 5.45, rern6,
2013-11-15,1.12, 2.03, 1.18, 1.73, 1.32, 5.29, rern6,
2013-11-16,2.44, 0.36, 6.62, 1.86, 1.4, 5.87, rern6,
2013-11-17,2.16, 1.78, 2.42, 1.43, 1.15, 4.31, rern6,
2013-11-18,1.46, 2.73, -5.05, 1.63, 1.23, 5.06, rern6,
2013-11-19,1.71, 3.61, -1.97, 1.86, 1.43, 5.8, rern6,
2013-11-20,2.12, 3.27, -2.57, 1.64, 1.27, 4.96, rern6,
2013-11-21,2.54, 4.08, -6.99, 1.6, 1.24, 4.85, rern6,
2013-11-22,2.49, 4.40, -14.26, 1.61, 1.25, 4.87, rern6,
2013-11-23,1.90, 3.76, -8.26, 1.75, 1.33, 5.35, rern6,
2013-11-24,2.55, 3.68, -6.03, 1.59, 1.2, 4.99, rern6,
