PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BLYN
Station name, BLYN_PNGA_WA2001
Begin Date, 2001-06-12
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, BLYN.pbo.nam08.pos
Offset from source file, -10.83 mm North, 3.24 mm East, -22.22 mm Vertical
Reference position, 48.0160577877 North Latitude, -122.9275400394 East Longitude, 613.27398 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2001-06-12,0.00, 0.00, 0.00, 5.54, 5.86, 20.49, repro,
2001-06-13,-1.08, 14.94, 11.96, 4.19, 3.28, 14.17, repro,
2001-06-14,3.10, 12.86, 29.75, 3.69, 2.77, 12.29, repro,
2001-06-15,-4.42, -6.04, 16.55, 3.87, 2.88, 13.97, repro,
2001-06-16,-2.94, 15.03, 20.27, 3.28, 2.44, 11.02, repro,
2001-06-17,-1.07, -2.48, 28.28, 3.59, 2.61, 12.37, repro,
2001-06-18,-4.02, 10.36, 45.33, 3.2, 2.4, 11.06, repro,
2001-06-19,-1.06, 19.91, 2.34, 3.41, 2.55, 11.46, repro,
2001-06-20,-1.44, 9.91, 23.59, 3.33, 2.52, 11.79, repro,
2001-06-21,-1.30, 11.78, 6.61, 3.32, 2.59, 11.56, repro,
2001-06-22,-8.53, -0.40, 25.30, 3.41, 2.52, 12.22, repro,
2001-06-23,-6.81, -4.21, 34.68, 3.42, 2.67, 12.19, repro,
2001-06-24,0.89, 16.18, 14.52, 3.5, 2.85, 12.76, repro,
2001-06-25,-1.10, 1.10, 8.02, 3.51, 2.66, 12.54, repro,
2001-06-26,0.96, 17.77, 5.44, 3.37, 2.64, 11.89, repro,
2001-06-27,-0.25, 15.54, 39.22, 3.95, 2.9, 13.34, repro,
2001-06-28,-5.19, 20.63, 6.67, 3.27, 2.59, 11.13, repro,
2001-06-29,-6.51, 9.05, -0.89, 3.52, 2.67, 12.32, repro,
2001-06-30,-3.80, 20.85, 26.49, 3.39, 2.57, 11.85, repro,
2001-07-01,-5.55, 16.66, 16.43, 3.95, 3.14, 13.79, repro,
2001-07-02,1.52, 22.59, -4.46, 3.28, 2.59, 11.21, repro,
2001-07-03,3.32, 40.07, 14.77, 3.36, 2.67, 11.43, repro,
2001-07-04,-4.28, 15.29, 54.52, 3.45, 2.65, 12.19, repro,
2001-07-05,4.50, 35.69, 14.85, 3.29, 2.58, 11.28, repro,
2001-07-06,-3.25, 27.71, 33.70, 3.34, 2.54, 11.64, repro,
2001-07-07,-0.24, 14.69, -3.08, 3.49, 2.87, 12.06, repro,
2001-07-08,1.60, 20.50, 9.09, 3.34, 2.63, 11.54, repro,
2001-07-09,-6.23, 19.43, 12.55, 3.34, 2.6, 11.93, repro,
2001-07-10,-10.13, 8.52, 34.27, 3.39, 2.54, 11.26, repro,
2001-07-11,-2.30, 18.73, 30.55, 3.34, 2.62, 12.01, repro,
2001-07-12,-0.49, 15.54, 8.42, 4.27, 3.85, 15.75, repro,
2001-07-13,3.99, 31.79, 9.11, 3.79, 3.02, 13.09, repro,
2001-07-14,1.79, 28.30, -8.52, 3.39, 2.85, 11.77, repro,
2001-07-15,7.38, 28.62, 2.13, 3.38, 2.68, 11.44, repro,
2001-07-16,-5.74, 0.31, 5.67, 5.76, 5.43, 22.45, repro,
2001-07-17,-3.80, 15.49, -12.49, 3.32, 2.54, 11.62, repro,
2001-07-18,-6.48, 21.59, -3.04, 3.5, 3.12, 13.16, repro,
2001-07-19,0.41, 23.31, 11.72, 3.26, 2.45, 11.49, repro,
2001-07-20,8.58, 28.99, -16.48, 3.49, 2.79, 12.13, repro,
2001-07-21,3.46, 21.60, -25.75, 3.29, 2.61, 11.75, repro,
2001-07-22,0.76, 17.74, 0.23, 3.4, 2.84, 12.03, repro,
2001-07-23,-0.76, 3.18, 7.91, 3.6, 2.89, 13.1, repro,
2001-07-24,3.25, 36.15, 4.69, 3.99, 3, 14.41, repro,
2001-07-25,-0.30, -8.43, -1.27, 4.1, 3.59, 15.25, repro,
2001-07-26,-1.47, 16.66, 23.40, 3.39, 2.57, 11.83, repro,
2001-07-27,3.36, 15.97, -12.39, 3.55, 2.86, 12.49, repro,
2001-07-28,-0.58, 19.13, -0.54, 3.58, 2.95, 12.67, repro,
2001-07-29,-0.48, 32.86, 7.26, 3.87, 3.14, 14.02, repro,
2001-07-30,4.16, 22.69, 1.04, 3.94, 3.32, 14.05, repro,
2001-07-31,4.07, 18.36, -14.63, 3.64, 3, 13.27, repro,
2001-08-01,0.63, 26.78, 10.45, 3.5, 2.61, 12.95, repro,
2001-08-02,4.16, 15.46, 20.41, 3.56, 2.92, 12.7, repro,
2001-08-03,1.73, 15.12, 10.01, 3.91, 3.85, 14.42, repro,
2001-08-04,-1.04, 22.24, 18.91, 3.41, 2.93, 11.91, repro,
2001-08-05,0.38, 22.76, -3.04, 3.43, 2.77, 12.07, repro,
2001-08-06,1.21, 17.27, 27.51, 3.57, 2.85, 12.96, repro,
2001-08-07,2.74, 12.42, 4.55, 3.93, 3.67, 14.35, repro,
2001-08-08,0.09, 18.49, 7.50, 3.56, 3.11, 13.32, repro,
2001-08-09,3.78, 10.96, -9.54, 3.62, 3.11, 13.3, repro,
2001-08-10,-1.60, 28.46, 15.88, 3.61, 2.82, 12.99, repro,
2001-08-11,4.16, 30.92, -3.40, 3.34, 2.61, 11.73, repro,
2001-08-12,9.75, 20.58, -16.56, 3.52, 3.03, 12.47, repro,
2001-08-13,5.16, 25.40, 6.13, 3.58, 3.2, 12.91, repro,
2001-08-14,3.30, 21.98, 22.34, 3.39, 2.75, 11.99, repro,
2001-08-15,2.58, 27.21, 19.87, 3.46, 2.64, 12.41, repro,
2001-08-16,0.08, 20.67, 2.46, 3.32, 2.49, 11.52, repro,
2001-08-17,0.56, 20.32, 8.76, 3.43, 2.72, 11.97, repro,
2001-08-18,1.86, 16.73, -21.91, 3.42, 2.77, 12.01, repro,
2001-08-19,6.39, 24.77, 8.82, 3.58, 2.77, 11.91, repro,
2001-08-20,9.43, 20.38, -8.08, 3.62, 2.91, 12.23, repro,
2001-08-21,2.19, 22.75, -9.48, 4.49, 3.98, 16.43, repro,
2001-08-22,-3.07, 5.80, 52.14, 4.09, 3.79, 15.3, repro,
2001-08-23,-1.27, 11.39, 17.76, 3.43, 2.71, 12.27, repro,
2001-08-24,-2.96, -4.11, 21.39, 3.35, 2.61, 11.55, repro,
2001-08-25,-3.30, 12.26, 25.62, 3.38, 2.59, 11.53, repro,
2001-08-26,2.32, 8.88, -21.57, 3.66, 2.89, 12.79, repro,
2001-08-27,2.16, 33.85, 35.56, 3.73, 3.27, 13.49, repro,
2001-08-28,3.98, 14.47, 20.14, 3.52, 2.68, 11.96, repro,
2001-08-29,-5.20, 12.26, 58.25, 3.38, 2.67, 11.44, repro,
2001-08-30,-0.35, 19.60, 27.06, 3.5, 2.86, 12.4, repro,
2001-08-31,4.62, 20.42, 19.28, 3.78, 2.94, 13.02, repro,
2001-09-01,0.80, 2.25, 35.19, 3.66, 3.06, 13.17, repro,
2001-09-02,-2.50, 12.01, 40.69, 3.5, 2.84, 12.24, repro,
2001-09-03,-1.77, 8.67, 48.27, 3.62, 2.86, 12.54, repro,
2001-09-04,1.67, 14.61, 20.01, 3.58, 2.95, 13.3, repro,
2001-09-05,3.77, 8.09, 13.27, 3.68, 3.19, 13.01, repro,
2001-09-06,-4.56, 7.27, 8.91, 3.33, 2.62, 11.5, repro,
2001-09-07,-3.94, 10.50, 27.10, 3.49, 2.79, 12.06, repro,
2001-09-08,1.03, 6.13, 29.09, 4.35, 4.68, 16.46, repro,
2001-09-09,6.59, 15.11, 21.49, 3.67, 2.99, 12.75, repro,
2001-09-10,0.57, -10.18, 1.89, 3.2, 2.59, 11.07, repro,
2001-09-11,6.45, 12.43, -22.99, 3.29, 2.85, 11.78, repro,
2001-09-12,0.23, 7.80, 24.07, 3.68, 3.1, 13.71, repro,
2001-09-13,-8.05, 15.62, 38.52, 3.52, 2.94, 12.91, repro,
2001-09-14,0.58, -6.77, 27.47, 3.93, 3.28, 14.22, repro,
2001-09-15,5.83, 7.58, -10.09, 4.01, 3.29, 13.95, repro,
2001-09-16,0.78, 4.68, 13.77, 3.38, 2.67, 11.71, repro,
2001-09-17,-23.31, -27.18, 4.64, 2.86, 2.15, 9.57, repro,
2001-09-18,-4.07, 6.11, 23.07, 3.26, 2.56, 11.18, repro,
2001-09-19,-2.14, 7.20, 24.88, 3.6, 3.25, 13.37, repro,
2001-09-20,-1.78, -2.70, 9.40, 3.52, 2.83, 12.63, repro,
2001-09-21,-0.37, 12.75, 20.43, 3.59, 3.09, 12.9, repro,
2001-09-22,3.57, 10.14, 15.54, 3.63, 3, 12.93, repro,
2001-09-23,-1.23, 3.31, 8.59, 3.56, 2.85, 12.77, repro,
2001-09-24,0.92, 7.88, 33.81, 3.32, 2.51, 11.39, repro,
2001-09-25,-5.08, -8.49, 19.46, 3.48, 2.8, 12.61, repro,
2001-09-26,6.52, 2.00, 40.08, 3.52, 2.83, 12.32, repro,
2001-09-27,8.05, 15.49, 14.04, 3.51, 3.11, 12.55, repro,
2001-09-28,7.26, 1.09, 11.04, 3.34, 2.75, 11.67, repro,
2001-09-29,3.54, 2.35, 13.82, 3.43, 2.74, 12.32, repro,
2001-09-30,0.32, -6.27, 15.91, 3.53, 2.98, 12.56, repro,
2001-10-01,-1.58, -0.57, 40.87, 3.68, 3.07, 13.27, repro,
2001-10-02,5.62, -4.28, 28.90, 3.4, 2.73, 12, repro,
2001-10-03,4.80, -3.37, 16.01, 3.85, 3.44, 14.68, repro,
2001-10-04,-0.95, 0.21, 31.01, 3.47, 2.72, 12.15, repro,
2001-10-05,0.45, 2.05, 21.97, 3.37, 2.67, 11.66, repro,
2001-10-06,0.37, 8.26, 32.95, 4.01, 3.8, 14.47, repro,
2001-10-07,7.10, 5.56, 28.59, 3.53, 2.82, 12.5, repro,
2001-10-08,2.87, -9.50, 32.62, 3.45, 2.7, 11.75, repro,
2001-10-09,0.94, -12.94, 32.60, 3.71, 3.05, 13.07, repro,
2001-10-10,1.86, -11.16, 26.84, 3.61, 2.81, 12.54, repro,
2001-10-11,2.17, -6.73, 30.47, 3.42, 2.6, 11.76, repro,
2001-10-12,0.05, 7.23, 29.55, 3.4, 2.74, 11.84, repro,
2001-10-13,3.99, -8.55, 31.31, 3.69, 2.87, 13.66, repro,
2001-10-14,-0.88, 6.42, 44.55, 4.01, 3.22, 13.89, repro,
2001-10-15,5.98, 5.96, 23.71, 3.49, 2.65, 11.65, repro,
2001-10-16,1.85, 1.48, 26.80, 3.8, 3.19, 13.69, repro,
2001-10-17,-1.00, 0.81, 26.15, 3.24, 2.68, 11.22, repro,
2001-10-18,4.27, 13.24, 14.01, 3.67, 3.03, 12.65, repro,
2001-10-19,2.14, -13.18, 10.51, 3.85, 3.05, 13.89, repro,
2001-10-20,4.68, -4.83, 27.44, 3.49, 2.81, 12.09, repro,
2001-10-21,4.52, -10.74, 18.51, 3.42, 2.71, 12.05, repro,
2001-10-22,9.72, -7.73, 10.58, 4.05, 3.15, 13.84, repro,
2001-10-23,5.01, -2.05, 19.36, 4.23, 3.48, 14.47, repro,
2001-10-24,4.53, 0.44, 28.31, 3.38, 2.61, 11.64, repro,
2001-10-25,-0.87, 15.03, 34.78, 4.19, 3.45, 14.81, repro,
2001-10-26,1.50, 7.61, 17.36, 3.8, 2.89, 13.31, repro,
2001-10-27,-0.50, -3.74, 26.90, 3.95, 3.47, 14.72, repro,
2001-10-28,-13.83, -21.51, 24.53, 4.48, 3.64, 15.6, repro,
2001-10-29,1.20, 17.32, 8.31, 4.11, 3.19, 14.31, repro,
2001-10-30,-0.14, -4.28, 20.39, 3.63, 3.09, 13.12, repro,
2001-10-31,12.23, -2.67, 18.06, 3.6, 2.81, 13.04, repro,
2001-11-01,7.09, -4.81, 28.83, 3.67, 2.86, 13.06, repro,
2001-11-02,4.05, 8.71, -3.80, 3.4, 2.71, 12.05, repro,
2001-11-03,3.80, 5.42, 15.45, 4.32, 3.79, 14.69, repro,
2001-11-04,3.52, -5.94, 26.69, 3.39, 2.87, 11.89, repro,
2001-11-05,5.47, 6.62, 19.18, 3.36, 2.72, 11.97, repro,
2001-11-06,6.90, 5.23, 0.45, 4.45, 3.68, 15.26, repro,
2001-11-07,-17.21, -23.80, -18.34, 3.03, 2.28, 10.06, repro,
2001-11-08,6.65, 10.97, 14.49, 3.51, 2.88, 12.28, repro,
2001-11-09,4.03, 3.30, 17.88, 3.71, 3.16, 13.54, repro,
2001-11-10,6.03, -2.32, 23.01, 3.39, 2.8, 12.29, repro,
2001-11-11,10.54, -0.55, 28.37, 3.4, 2.69, 12.16, repro,
2001-11-12,10.06, -6.35, -2.86, 3.47, 2.86, 12.55, repro,
2001-11-13,11.78, -4.74, 19.10, 3.64, 2.92, 12.95, repro,
2001-11-14,12.50, -3.15, 7.06, 3.54, 2.94, 12.86, repro,
2001-11-15,8.06, -10.74, 22.47, 4.15, 3.66, 15.77, repro,
2001-11-16,8.74, -0.97, 6.41, 3.54, 2.79, 13.31, repro,
2001-11-17,1.29, -4.81, 6.54, 3.43, 2.64, 12.06, repro,
2001-11-18,12.85, 2.80, 40.75, 3.81, 3.05, 13.29, repro,
2001-11-19,7.11, 13.49, 32.08, 3.54, 3.01, 12.71, repro,
2001-11-20,12.05, -4.15, 33.66, 4.04, 3.22, 14.53, repro,
2001-11-21,6.45, 2.00, -1.61, 3.46, 2.73, 12.47, repro,
2001-11-22,23.56, -46.84, -7.44, 26.68, 89.84, 141.65, repro,
2001-11-23,10.03, 9.82, 7.14, 13.54, 12.21, 50.96, repro,
2001-11-24,8.17, -9.91, 26.24, 4.07, 3.41, 14.69, repro,
2001-11-25,-1.32, -21.41, -21.59, 5.81, 5.56, 23.42, repro,
2001-11-26,19.29, 5.21, -32.16, 7.94, 5.96, 27.42, repro,
2001-11-27,8.60, -2.55, -23.96, 3.28, 2.73, 11.66, repro,
2001-11-28,4.50, -12.88, 7.20, 3.52, 2.79, 12.19, repro,
2001-11-29,-5.22, 6.32, 60.03, 7.97, 6.82, 28.19, repro,
2001-11-30,8.78, 6.13, 18.96, 3.79, 3.17, 13.53, repro,
2001-12-01,8.57, 10.14, 37.75, 3.48, 2.9, 12.83, repro,
2001-12-03,-7.50, -7.26, 33.23, 8.74, 6.76, 26.99, repro,
2001-12-04,-7.04, -0.49, 36.50, 3.51, 2.73, 12.06, repro,
2001-12-05,5.61, 6.02, 49.63, 3.88, 3.13, 13.92, repro,
2001-12-06,0.28, -4.23, 16.42, 4.9, 4.41, 18.49, repro,
2001-12-07,5.02, 2.05, -1.79, 4.51, 4.11, 16.28, repro,
2001-12-08,4.14, -0.48, 18.66, 3.41, 2.97, 12.66, repro,
2001-12-09,-11.70, -3.03, 73.30, 7.8, 7.47, 29.91, repro,
2001-12-10,5.96, 22.75, 64.18, 4.27, 3.87, 15.66, repro,
2001-12-11,12.57, 41.01, 20.23, 3.66, 3.05, 12.39, repro,
2001-12-12,9.46, 28.68, 28.51, 3.58, 3.16, 12.5, repro,
2001-12-13,13.03, 33.99, 19.01, 3.66, 3.22, 13.19, repro,
2001-12-14,6.60, -5.60, 37.26, 3.85, 3.36, 14.6, repro,
2001-12-15,0.81, -1.39, 35.03, 3.47, 2.87, 12.05, repro,
