PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P424
Station name, QuilcenehsWA2008
Begin Date, 2008-08-26
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, P424.pbo.nam08.pos
Offset from source file, 11.33 mm North, 9.46 mm East, -11.03 mm Vertical
Reference position, 47.8231842220 North Latitude, -122.8747121233 East Longitude, -1.57155 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-08-26,0.00, 0.00, 0.00, 8.9, 6.11, 27.32, repro,
2008-08-27,-0.30, -6.51, 2.74, 2.25, 1.59, 6.87, repro,
2008-08-28,1.43, -7.15, -3.91, 2.42, 1.68, 7.24, repro,
2008-08-29,-0.46, -6.72, -3.59, 1.98, 1.42, 6.07, repro,
2008-08-30,-0.50, -7.62, -5.09, 2.34, 1.65, 7.16, repro,
2008-08-31,0.68, -7.26, -7.13, 2.14, 1.51, 6.51, repro,
2008-09-01,-0.68, -7.00, -6.70, 2.14, 1.51, 6.52, repro,
2008-09-02,0.16, -6.54, -13.17, 2.25, 1.59, 6.9, repro,
2008-09-03,-0.57, -7.46, -12.10, 1.71, 1.24, 5.25, repro,
2008-09-04,1.28, -7.13, -11.55, 1.71, 1.24, 5.25, repro,
2008-09-05,0.74, -7.42, -7.90, 1.72, 1.25, 5.32, repro,
2008-09-06,0.72, -7.36, -9.66, 2.13, 1.51, 6.56, repro,
2008-09-07,1.23, -8.38, -12.18, 1.77, 1.28, 5.48, repro,
2008-09-08,0.74, -7.22, -8.83, 1.77, 1.29, 5.48, repro,
2008-09-09,1.01, -7.04, -6.21, 1.91, 1.33, 5.76, repro,
2008-09-10,3.17, -6.64, -7.01, 1.71, 1.23, 5.25, repro,
2008-09-11,0.58, -6.66, -8.51, 1.65, 1.19, 5.1, repro,
2008-09-12,0.43, -7.15, -4.30, 2.37, 1.67, 7.3, repro,
2008-09-13,0.51, -6.76, -8.68, 2.41, 1.69, 7.42, repro,
2008-09-14,0.14, -7.46, -9.31, 2.2, 1.54, 6.75, repro,
2008-09-15,-0.22, -5.76, -5.12, 2.19, 1.54, 6.73, repro,
2008-09-16,1.39, -6.84, -8.78, 2.19, 1.55, 6.68, repro,
2008-09-17,0.40, -7.04, -10.84, 2.23, 1.57, 6.74, repro,
2008-09-18,1.21, -6.48, -10.02, 1.64, 1.2, 5.05, repro,
2008-09-19,1.66, -5.52, -10.65, 1.76, 1.26, 5.39, repro,
2008-09-20,1.78, -6.37, -7.42, 1.91, 1.36, 5.85, repro,
2008-09-21,1.27, -6.19, -8.62, 2.27, 1.58, 6.9, repro,
2008-09-22,2.13, -7.19, -10.40, 1.87, 1.34, 5.74, repro,
2008-09-23,0.77, -6.40, -11.91, 1.63, 1.19, 5, repro,
2008-09-24,0.74, -7.50, -15.90, 2, 1.42, 6.14, repro,
2008-09-25,-0.16, -7.57, -14.45, 2.05, 1.45, 6.29, repro,
2008-09-26,1.81, -5.46, -6.73, 1.68, 1.21, 5.12, repro,
2008-09-27,-0.16, -4.73, -4.92, 1.86, 1.32, 5.67, repro,
2008-09-28,-0.41, -5.43, -8.95, 1.8, 1.29, 5.53, repro,
2008-09-29,1.16, -4.79, -4.96, 1.71, 1.23, 5.26, repro,
2008-09-30,1.55, -6.18, -9.94, 1.76, 1.26, 5.42, repro,
2008-10-01,0.99, -6.07, -8.70, 1.73, 1.24, 5.29, repro,
2008-10-02,-2.95, -6.45, -13.41, 1.91, 1.34, 5.87, repro,
2008-10-03,-0.45, -8.07, -11.72, 2.01, 1.41, 6.12, repro,
2008-10-04,-4.56, -8.52, -21.28, 1.94, 1.37, 5.93, repro,
2008-10-05,1.06, -6.80, -8.01, 1.88, 1.33, 5.74, repro,
2008-10-06,0.94, -6.89, -12.38, 1.82, 1.28, 5.52, repro,
2008-10-07,-0.59, -5.96, -4.63, 2.24, 1.53, 6.65, repro,
2008-10-08,1.40, -6.35, -15.83, 1.7, 1.2, 5.19, repro,
2008-10-09,1.92, -6.64, -16.57, 1.67, 1.18, 5.08, repro,
2008-10-10,2.36, -6.28, -24.66, 1.62, 1.14, 4.93, repro,
2008-10-11,3.15, -6.01, -14.16, 1.67, 1.17, 5.07, repro,
2008-10-12,1.82, -5.68, -8.49, 1.64, 1.16, 5.02, repro,
2008-10-13,2.26, -5.24, -13.72, 1.8, 1.27, 5.5, repro,
2008-10-14,1.51, -5.45, -14.10, 1.84, 1.29, 5.61, repro,
2008-10-15,2.20, -6.69, -18.80, 1.78, 1.24, 5.38, repro,
2008-10-16,2.02, -5.58, -14.75, 1.71, 1.19, 5.22, repro,
2008-10-17,1.12, -5.93, -16.55, 2.04, 1.41, 6.24, repro,
2008-10-18,2.40, -6.05, -12.04, 2.01, 1.4, 6.17, repro,
2008-10-19,1.45, -6.57, -13.08, 1.7, 1.2, 5.25, repro,
2008-10-20,1.23, -7.44, -9.07, 1.92, 1.34, 5.87, repro,
2008-10-21,2.15, -6.46, -17.25, 1.68, 1.18, 5.2, repro,
2008-10-22,1.71, -6.68, -17.91, 1.67, 1.17, 5.16, repro,
2008-10-23,2.75, -5.89, -7.83, 1.84, 1.3, 5.68, repro,
2008-10-24,2.44, -6.36, -8.33, 1.68, 1.2, 5.17, repro,
2008-10-25,1.89, -7.01, -10.29, 1.69, 1.21, 5.23, repro,
2008-10-26,1.21, -6.35, -15.79, 2.03, 1.43, 6.3, repro,
2008-10-27,1.79, -5.63, -18.82, 1.99, 1.41, 6.15, repro,
2008-10-28,2.95, -6.84, -16.94, 2.18, 1.5, 6.57, repro,
