PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, SC03
Station name, SC03_PNGA_WA2002
Begin Date, 2003-02-20
End Date, 2017-03-22
Release Date, 2017-03-27
Source file, SC03.pbo.nam08.pos
Offset from source file, 37.22 mm North, 52.52 mm East, 15.57 mm Vertical
Reference position, 47.8165871721 North Latitude, -123.7057378335 East Longitude, 2018.47632 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2003-02-20,0.00, 0.00, 0.00, 1.52, 1.15, 4.95, repro,
2003-02-21,-12.20, 4.79, 12.17, 1.8, 1.33, 5.69, repro,
2003-02-22,-9.96, 4.66, 12.56, 1.35, 1.04, 4.29, repro,
2003-02-23,-8.31, 3.47, 11.56, 1.29, 0.98, 4.03, repro,
2003-02-24,0.04, 0.76, 2.00, 1.1, 0.85, 3.61, repro,
2003-02-25,0.99, -1.15, -4.40, 1.39, 1.02, 4.53, repro,
2003-02-26,0.93, -2.26, 0.06, 1.05, 0.82, 3.43, repro,
2003-02-27,0.00, -1.72, -0.64, 1.05, 0.8, 3.49, repro,
2003-02-28,-1.67, -1.95, 1.68, 1.14, 0.87, 3.68, repro,
2003-03-01,-0.78, -2.70, -3.43, 1.11, 0.85, 3.54, repro,
2003-03-02,-1.29, -3.11, -1.49, 1.22, 0.97, 3.98, repro,
2003-03-03,-1.53, -2.30, 1.23, 1.28, 1.03, 5.5, repro,
2003-03-04,-1.21, -2.91, 4.43, 1.06, 0.85, 3.52, repro,
2003-03-05,-2.02, -2.02, 9.00, 1.46, 1.25, 5.98, repro,
2003-03-06,-3.35, -1.54, 13.48, 1.57, 1.23, 5.16, repro,
2003-03-07,-5.11, -0.79, 10.29, 1.42, 1.1, 4.83, repro,
2003-03-08,-6.10, -0.35, 7.29, 1.6, 1.23, 5.18, repro,
2003-03-09,-2.19, -0.67, -0.42, 1.65, 1.26, 5.42, repro,
2003-03-10,-8.28, 5.10, 11.20, 1.95, 1.49, 6.34, repro,
2003-03-11,-3.19, 2.68, 9.50, 1.44, 1.16, 4.71, repro,
2003-03-12,0.83, -0.16, -2.13, 1.66, 1.25, 5.43, repro,
2003-03-13,2.08, -1.97, -2.05, 1.91, 1.47, 6.21, repro,
2003-03-14,0.02, -1.96, 3.54, 1.8, 1.38, 5.95, repro,
2003-03-15,2.83, -2.97, -2.76, 2.58, 1.92, 7.89, repro,
2003-03-16,0.68, -2.55, -3.49, 2.49, 1.86, 8.57, repro,
2003-03-17,-2.77, -1.42, -10.02, 3.02, 2.4, 10.71, repro,
2003-03-18,-1.93, -1.26, -8.86, 1.76, 1.35, 5.81, repro,
2003-03-19,0.48, 0.53, -13.96, 1.67, 1.3, 5.54, repro,
2003-03-20,-0.82, -0.55, -5.55, 1.89, 1.45, 6.24, repro,
2003-03-21,-1.32, -1.89, -4.50, 1.78, 1.41, 5.82, repro,
2003-03-22,1.31, -1.96, -5.40, 1.99, 1.54, 6.46, repro,
