PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, TWHL
Station name, TWHL_PNGA_WA2001
Begin Date, 2001-03-23
End Date, 2017-03-25
Release Date, 2017-03-27
Source file, TWHL.pbo.nam08.pos
Offset from source file, 51.50 mm North, 40.83 mm East, -15.86 mm Vertical
Reference position, 47.0159055879 North Latitude, -122.9228755177 East Longitude, 107.29956 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2001-03-23,0.00, 0.00, 0.00, 7.78, 6.28, 26.77, repro,
2001-03-24,0.01, -0.85, -14.82, 2.03, 1.53, 6.57, repro,
2001-03-25,-18.59, 7.34, 8.27, 2.41, 1.83, 7.9, repro,
2001-03-26,0.30, -1.63, -11.37, 2.3, 1.72, 7.28, repro,
2001-03-27,3.52, 2.75, -15.52, 2.05, 1.55, 6.6, repro,
2001-03-28,-17.55, 0.84, -1.02, 2.35, 1.81, 7.76, repro,
2001-03-29,0.59, 2.07, -8.98, 2.11, 1.58, 6.73, repro,
2001-03-30,-2.14, -0.83, -13.20, 2.12, 1.63, 6.89, repro,
2001-03-31,-21.01, 0.41, 9.60, 2.91, 2.33, 10.01, repro,
2001-04-01,-5.76, -5.61, 1.25, 2.27, 1.78, 7.39, repro,
2001-04-02,-7.43, -1.87, -1.43, 2.25, 1.78, 7.36, repro,
2001-04-03,-0.61, -0.19, -4.56, 2.15, 1.7, 6.99, repro,
2001-04-04,6.93, 1.89, -14.13, 1.87, 1.52, 5.98, repro,
2001-04-05,-15.35, 3.37, 3.14, 2.19, 1.73, 7.47, repro,
2001-04-06,-18.88, 3.39, 5.10, 2.22, 1.74, 7.5, repro,
2001-04-07,-3.54, -0.63, -0.72, 2.12, 1.66, 6.97, repro,
2001-04-08,-13.85, 4.72, 3.16, 2.27, 1.72, 7.55, repro,
2001-04-09,-11.91, 5.51, -1.82, 2.19, 1.76, 7.35, repro,
2001-04-10,-15.15, 3.37, 0.42, 2.24, 1.8, 7.58, repro,
2001-04-11,-16.48, 5.68, 11.38, 2.28, 1.84, 7.63, repro,
2001-04-12,-10.94, -0.26, 6.57, 2.24, 1.76, 7.57, repro,
2001-04-13,-2.18, -1.67, 0.34, 2.2, 1.7, 7.28, repro,
2001-04-14,-2.11, 0.72, -5.79, 2.09, 1.68, 6.91, repro,
2001-04-15,-13.61, 2.42, 2.74, 2.19, 1.81, 7.54, repro,
2001-04-16,-15.04, 2.96, 0.45, 2.23, 1.85, 7.65, repro,
2001-04-17,-15.27, 1.11, -5.18, 2.42, 1.91, 8.06, repro,
2001-04-18,-13.14, -1.29, 2.60, 2.41, 1.85, 7.96, repro,
2001-04-19,-11.32, 1.21, 1.04, 2.18, 1.72, 7.28, repro,
2001-04-20,-13.99, 3.47, 2.72, 2.16, 1.68, 7.13, repro,
2001-04-21,-11.97, 1.24, -3.43, 2.21, 1.78, 7.32, repro,
2001-04-22,-11.58, 4.49, 2.16, 2.33, 1.77, 7.8, repro,
2001-04-23,-20.08, 4.13, 17.78, 2.37, 1.92, 7.91, repro,
2001-04-24,-7.31, 3.85, -6.31, 2.33, 1.83, 7.68, repro,
2001-04-25,-12.32, 2.50, 3.20, 2.28, 1.86, 7.57, repro,
2001-04-26,-13.07, 3.47, 4.87, 2.25, 1.77, 7.36, repro,
2001-04-27,-18.82, 1.88, 20.46, 2.28, 1.8, 7.6, repro,
2001-04-28,-19.81, -3.65, 21.99, 2.29, 1.78, 7.61, repro,
2001-04-29,-21.26, -0.55, 18.57, 2.31, 1.8, 7.62, repro,
2001-04-30,-23.84, -0.05, 12.65, 2.51, 2, 8.39, repro,
2001-05-01,-21.20, 0.16, 22.66, 2.32, 1.88, 7.73, repro,
2001-05-02,-18.01, 4.12, -9.53, 2.97, 2.74, 10.54, repro,
2001-05-03,-16.89, 1.33, 3.42, 2.2, 1.76, 7.37, repro,
2001-05-04,-16.65, -1.42, 5.34, 2.29, 1.76, 7.6, repro,
2001-05-05,-16.20, 3.36, 11.92, 2.37, 1.82, 7.83, repro,
2001-05-06,-14.43, 4.93, 2.38, 2.23, 1.76, 7.26, repro,
2001-05-07,-11.29, 4.79, 2.24, 2.14, 1.71, 7.08, repro,
2001-05-08,-1.72, -2.71, 6.80, 2.13, 1.61, 6.93, repro,
2001-05-09,-9.65, -1.07, 1.06, 2.26, 1.75, 7.47, repro,
2001-05-10,-7.53, 0.22, -5.91, 2.14, 1.7, 6.94, repro,
2001-05-11,-15.80, 3.05, 7.88, 2.31, 1.78, 7.63, repro,
2001-05-12,-13.62, 1.97, 8.39, 2.19, 1.72, 7.33, repro,
2001-05-13,-15.81, 0.25, 0.34, 2.22, 1.78, 7.38, repro,
2001-05-14,-20.06, -0.78, 1.82, 2.24, 1.78, 7.47, repro,
2001-05-15,-22.86, 2.29, 12.67, 2.28, 1.8, 7.57, repro,
2001-05-16,-6.95, -5.25, -1.44, 2.25, 1.72, 7.33, repro,
2001-05-17,-19.40, 1.79, 8.67, 2.24, 1.74, 7.46, repro,
2001-05-18,-19.10, 3.48, 5.53, 2.21, 1.74, 7.31, repro,
2001-05-19,-19.61, 5.10, 3.39, 2.24, 1.77, 7.47, repro,
2001-05-20,-17.18, 6.86, 5.36, 2.14, 1.69, 7.15, repro,
2001-05-21,-15.20, 10.91, 8.14, 2.22, 1.8, 7.38, repro,
2001-05-22,-8.60, 5.67, 0.60, 2.13, 1.76, 7.2, repro,
2001-05-23,1.29, 5.51, -16.23, 2.14, 1.7, 6.95, repro,
2001-05-24,-12.56, 5.55, -6.14, 2.2, 1.82, 7.29, repro,
2001-05-25,-16.02, 4.71, -3.19, 2.18, 1.76, 7.27, repro,
2001-05-26,-17.63, 7.48, 7.31, 2.22, 1.76, 7.36, repro,
2001-05-27,-16.80, 9.56, 7.99, 2.26, 1.89, 7.42, repro,
2001-05-28,-21.66, -2.03, 15.21, 2.31, 1.84, 7.96, repro,
2001-05-29,-20.87, 8.46, 10.65, 2.26, 1.83, 7.59, repro,
2001-05-30,-14.94, 9.44, 0.49, 2.25, 1.81, 7.56, repro,
2001-05-31,-9.55, 2.76, -8.64, 2.19, 1.74, 7.14, repro,
2001-06-01,-18.24, 4.67, 6.76, 2.38, 1.91, 7.93, repro,
2001-06-02,-23.16, 2.84, 17.01, 2.3, 1.86, 7.68, repro,
2001-06-03,-19.55, 1.57, 6.84, 2.25, 1.74, 7.53, repro,
2001-06-04,-18.51, 4.76, 10.24, 2.21, 1.77, 7.5, repro,
2001-06-05,-20.77, 3.57, 14.12, 2.22, 1.77, 7.37, repro,
2001-06-06,-19.77, 4.57, 3.65, 2.41, 1.88, 7.92, repro,
2001-06-07,-15.52, 6.65, 3.82, 2.23, 1.81, 7.49, repro,
2001-06-08,-18.48, 4.54, 7.71, 2.26, 1.86, 7.55, repro,
2001-06-09,-19.54, 1.85, 6.93, 2.33, 1.86, 7.81, repro,
2001-06-10,-21.36, -0.54, 15.06, 2.22, 1.74, 7.29, repro,
2001-06-11,-21.56, 6.82, 9.77, 2.41, 1.95, 7.95, repro,
2001-06-12,-13.08, -0.11, 2.09, 2.68, 1.96, 8.62, repro,
2001-06-13,-11.90, 0.43, -2.08, 2.19, 1.71, 7.24, repro,
2001-06-14,-18.15, 4.65, 10.23, 2.25, 1.74, 7.46, repro,
2001-06-15,-20.36, 6.18, 9.55, 2.67, 2.02, 8.82, repro,
2001-06-16,-16.76, 1.77, -2.77, 2.61, 1.99, 8.75, repro,
2001-06-17,-15.83, 6.02, 5.57, 2.66, 1.98, 8.68, repro,
2001-06-18,-17.57, 2.06, 6.54, 2.53, 1.94, 8.63, repro,
2001-06-19,-18.88, 1.74, 3.44, 2.65, 2.02, 8.82, repro,
2001-06-20,-16.40, 2.84, 4.40, 2.62, 2.02, 8.86, repro,
2001-06-21,-16.34, 8.33, 4.64, 2.68, 2.05, 8.96, repro,
2001-06-22,-17.57, 2.62, 6.45, 2.59, 1.96, 8.65, repro,
2001-06-23,-20.39, 0.77, -2.31, 2.6, 2.02, 8.82, repro,
2001-06-24,-21.27, -0.49, 4.19, 2.59, 2, 8.69, repro,
2001-06-25,-21.91, 9.06, 0.37, 2.61, 2.02, 8.78, repro,
2001-06-26,-22.16, 6.06, 19.35, 2.7, 2.04, 9.07, repro,
2001-06-27,-25.83, 4.19, 11.53, 2.77, 2.22, 9.47, repro,
2001-06-28,-23.06, 2.19, 3.42, 2.64, 2.02, 8.86, repro,
2001-06-29,-19.07, 5.64, -0.27, 2.67, 2.04, 8.9, repro,
2001-06-30,-9.09, -0.53, -9.59, 2.55, 1.92, 8.44, repro,
2001-07-01,-19.89, 4.25, 2.40, 2.85, 2.1, 9.34, repro,
2001-07-02,-19.12, 2.90, 4.16, 2.61, 1.98, 8.7, repro,
2001-07-03,-18.14, 5.71, 10.27, 2.69, 2.02, 8.84, repro,
2001-07-04,-16.09, 3.09, -2.67, 2.59, 1.92, 8.52, repro,
2001-07-05,-18.05, 0.58, 5.57, 2.64, 1.99, 8.78, repro,
2001-07-06,-23.40, 5.61, 18.14, 2.7, 2.15, 9.07, repro,
2001-07-07,-16.41, -0.32, 6.82, 2.61, 1.98, 8.66, repro,
2001-07-08,-16.43, 0.98, 8.82, 2.65, 1.99, 8.81, repro,
2001-07-09,-15.62, 2.70, 5.41, 2.6, 1.94, 8.53, repro,
2001-07-10,-15.69, 3.85, -0.26, 2.81, 2.07, 9.08, repro,
2001-07-11,-19.27, 4.21, 7.31, 2.62, 2, 8.72, repro,
2001-07-12,-16.92, 3.47, 2.64, 2.79, 2.04, 9.29, repro,
2001-07-13,-18.99, 3.20, 20.17, 2.96, 2.33, 9.73, repro,
2001-07-14,-18.89, -0.73, 8.33, 2.67, 2.01, 8.98, repro,
2001-07-15,-22.60, 7.06, 18.08, 2.69, 2.04, 8.77, repro,
2001-07-16,-19.42, -3.53, 7.79, 4.54, 3.66, 15.69, repro,
2001-07-17,-23.01, -0.78, 16.07, 2.69, 2.06, 9, repro,
2001-07-18,-20.76, 1.02, 17.55, 2.73, 2.09, 9.14, repro,
2001-07-19,-19.54, -0.75, 16.89, 2.71, 2.02, 9.1, repro,
2001-07-20,-17.66, 6.81, 12.88, 2.79, 2.13, 9.08, repro,
2001-07-21,-20.81, -1.87, 11.74, 2.68, 2.01, 8.92, repro,
2001-07-22,-20.53, 1.87, 13.59, 2.67, 2, 8.85, repro,
2001-07-23,-18.02, 2.99, 9.43, 2.64, 2.06, 8.9, repro,
2001-07-24,-18.45, -1.42, 11.39, 2.32, 1.78, 7.68, repro,
2001-07-25,-17.48, 2.72, 9.92, 2.75, 2.04, 9.05, repro,
2001-07-26,-17.78, 0.01, 13.25, 2.71, 2.02, 8.85, repro,
2001-07-27,-16.74, 3.66, 23.30, 2.75, 2.12, 9.11, repro,
2001-07-28,-17.63, -0.84, 21.73, 2.79, 2.09, 9.38, repro,
2001-07-29,-18.68, -0.16, 22.52, 2.94, 2.27, 9.75, repro,
2001-07-30,-15.37, -0.69, 7.64, 2.92, 2.11, 9.56, repro,
2001-07-31,-15.57, -3.62, 12.04, 2.7, 2.05, 8.92, repro,
2001-08-01,-18.03, -5.36, 12.12, 2.79, 2.08, 9.36, repro,
2001-08-02,3.38, -4.40, -0.01, 2.58, 1.89, 8.32, repro,
2001-08-03,-21.81, -4.43, 16.16, 2.84, 2.13, 9.5, repro,
2001-08-04,-18.51, -3.61, 22.32, 2.77, 2.08, 9.24, repro,
