4-character id, ALBH
begin date, 2015-01-01
end date, 2017-01-01
longitude, -123.487470777 E
latitude, 48.3897811345 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2015-01-01, 3.513368e-11, 4.171814e-10, -4.384502e-10, 1.698504e-09, 1.591481e-09, 2.209859e-09
2015-01-02, 2.330320e-11, 4.597688e-10, -4.136453e-10, 1.588913e-09, 1.485178e-09, 2.117014e-09
2015-01-03, -1.160707e-11, 4.791388e-10, -3.712445e-10, 1.488362e-09, 1.389830e-09, 2.022050e-09
2015-01-04, -7.524669e-11, 4.679021e-10, -3.114487e-10, 1.400215e-09, 1.309092e-09, 1.928265e-09
2015-01-05, -1.673866e-10, 4.210991e-10, -2.358839e-10, 1.328068e-09, 1.246853e-09, 1.839123e-09
2015-01-06, -2.791839e-10, 3.402556e-10, -1.472572e-10, 1.275047e-09, 1.205470e-09, 1.758021e-09
2015-01-07, -3.959954e-10, 1.145403e-10, -4.914013e-11, 1.241955e-09, 1.187637e-09, 1.687940e-09
2015-01-08, -5.041305e-10, -2.105934e-11, 5.427575e-11, 1.225903e-09, 1.180046e-09, 1.631018e-09
2015-01-09, -5.950668e-10, -1.579514e-10, 1.588917e-10, 1.221216e-09, 1.179751e-09, 1.588146e-09
2015-01-10, -6.647855e-10, -1.746645e-10, 2.618120e-10, 1.221810e-09, 1.177061e-09, 1.558735e-09
2015-01-11, -7.114540e-10, -3.090428e-10, 3.620128e-10, 1.223004e-09, 1.177148e-09, 1.540822e-09
2015-01-12, -7.339327e-10, -4.264443e-10, 4.599688e-10, 1.222076e-09, 1.174205e-09, 1.531516e-09
2015-01-13, -7.312498e-10, -5.189452e-10, 5.566175e-10, 1.218032e-09, 1.168246e-09, 1.527644e-09
2015-01-14, -7.027223e-10, -5.802660e-10, 6.524441e-10, 1.211111e-09, 1.160187e-09, 1.526336e-09
2015-01-15, -6.484924e-10, -6.059538e-10, 7.470952e-10, 1.202297e-09, 1.151331e-09, 1.525403e-09
2015-01-16, -4.804398e-10, -5.939953e-10, 8.394757e-10, 1.195175e-09, 1.142950e-09, 1.523480e-09
2015-01-17, -3.772353e-10, -5.453795e-10, 9.280974e-10, 1.186379e-09, 1.135970e-09, 1.519973e-09
2015-01-18, -2.583043e-10, -4.641369e-10, 1.011462e-09, 1.179148e-09, 1.130821e-09, 1.514910e-09
2015-01-19, -1.305068e-10, -3.567539e-10, 1.088323e-09, 1.173902e-09, 1.127450e-09, 1.508743e-09
2015-01-20, -1.651822e-12, -2.311942e-10, 1.157727e-09, 1.170597e-09, 1.125484e-09, 1.502137e-09
2015-01-21, 1.202296e-10, -9.581866e-11, 1.218810e-09, 1.168875e-09, 1.124453e-09, 1.495793e-09
2015-01-22, 2.275846e-10, 4.148779e-11, 1.270403e-09, 1.168242e-09, 1.123972e-09, 1.490298e-09
2015-01-23, 3.139721e-10, 1.735131e-10, 1.310617e-09, 1.168244e-09, 1.123829e-09, 1.486034e-09
2015-01-24, 2.827390e-10, 2.930135e-10, 1.336627e-09, 1.165523e-09, 1.123948e-09, 1.483140e-09
2015-01-25, 3.289796e-10, 3.920499e-10, 1.344823e-09, 1.165975e-09, 1.124298e-09, 1.481532e-09
2015-01-26, 3.483013e-10, 4.627493e-10, 1.331296e-09, 1.166533e-09, 1.124824e-09, 1.480952e-09
2015-01-27, 3.405770e-10, 4.991382e-10, 1.292493e-09, 1.167150e-09, 1.125430e-09, 1.481046e-09
2015-01-28, 3.079523e-10, 4.984639e-10, 1.225788e-09, 1.167769e-09, 1.125980e-09, 1.481442e-09
2015-01-29, 2.545517e-10, 4.613732e-10, 1.129801e-09, 1.168291e-09, 1.126307e-09, 1.481810e-09
2015-01-30, 1.858995e-10, 3.914090e-10, 1.004441e-09, 1.168582e-09, 1.126233e-09, 1.481896e-09
2015-01-31, 1.083294e-10, 2.943568e-10, 8.507454e-10, 1.168488e-09, 1.125610e-09, 1.481548e-09
2015-02-01, 2.849151e-11, 1.776555e-10, 6.706605e-10, 1.167879e-09, 1.124356e-09, 1.480705e-09
2015-02-02, -4.707499e-11, 4.985298e-11, 4.669005e-10, 1.166682e-09, 1.122476e-09, 1.479393e-09
2015-02-03, -1.123890e-10, -7.999887e-11, 2.429514e-10, 1.164914e-09, 1.120074e-09, 1.477703e-09
2015-02-04, -1.625446e-10, -2.030920e-10, 3.216013e-12, 1.162685e-09, 1.117336e-09, 1.475777e-09
2015-02-05, -1.942575e-10, -3.117229e-10, -2.467874e-10, 1.160185e-09, 1.114508e-09, 1.473781e-09
2015-02-06, -2.062726e-10, -4.000209e-10, -5.003106e-10, 1.157660e-09, 1.111860e-09, 1.471892e-09
2015-02-07, -1.993950e-10, -4.641196e-10, -7.494884e-10, 1.155356e-09, 1.109637e-09, 1.470269e-09
2015-02-08, -1.760261e-10, -5.016112e-10, -8.001147e-10, 1.153477e-09, 1.108011e-09, 1.471513e-09
2015-02-09, -1.394254e-10, -5.109431e-10, -1.017017e-09, 1.152138e-09, 1.107018e-09, 1.470725e-09
2015-02-10, -9.316393e-11, -4.916774e-10, -1.207687e-09, 1.151354e-09, 1.106567e-09, 1.470394e-09
2015-02-11, -4.098530e-11, -4.453838e-10, -1.536218e-09, 1.151047e-09, 1.106489e-09, 1.468034e-09
2015-02-12, 1.317636e-11, -3.760682e-10, -1.646651e-09, 1.151087e-09, 1.106604e-09, 1.468399e-09
2015-02-13, 6.534911e-11, -2.897321e-10, -1.715313e-09, 1.151319e-09, 1.106764e-09, 1.468887e-09
2015-02-14, 1.118885e-10, -1.934882e-10, -1.742100e-09, 1.151595e-09, 1.106864e-09, 1.469324e-09
2015-02-15, 1.498899e-10, -9.468233e-11, -1.728596e-09, 1.151788e-09, 1.106831e-09, 1.469549e-09
2015-02-16, 1.774957e-10, -1.781524e-13, -1.677741e-09, 1.151800e-09, 1.106621e-09, 1.469435e-09
2015-02-17, 1.940448e-10, 8.419665e-11, -1.593495e-09, 1.151569e-09, 1.106210e-09, 1.468907e-09
2015-02-18, 2.000756e-10, 1.540672e-10, -1.480554e-09, 1.151068e-09, 1.105585e-09, 1.467953e-09
2015-02-19, 1.972232e-10, 2.067923e-10, -1.344069e-09, 1.150307e-09, 1.104755e-09, 1.466632e-09
2015-02-20, 1.880358e-10, 2.415812e-10, -1.189369e-09, 1.149331e-09, 1.103748e-09, 1.465063e-09
2015-02-21, 1.757168e-10, 2.593900e-10, -1.021647e-09, 1.148219e-09, 1.102624e-09, 1.463416e-09
