PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P496
Station name, McCabe_UESCS2005
Begin Date, 2005-11-10
End Date, 2017-04-08
Release Date, 2017-04-10
Source file, P496.pbo.nam08.pos
Offset from source file, 12.67 mm North, -79.79 mm East, 26.25 mm Vertical
Reference position, 32.7506261070 North Latitude, -115.595952747 East Longitude, -40.10726 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-11-10,0.00, 0.00, 0.00, 2.39, 2.31, 9.19, repro,
2005-11-11,-0.14, -1.67, -3.61, 1.89, 1.74, 7.22, repro,
2005-11-12,0.10, -0.84, -1.06, 1.55, 1.49, 5.92, repro,
2005-11-13,-0.71, -1.47, -7.27, 1.49, 1.43, 5.7, repro,
2005-11-14,-0.72, -1.10, -5.02, 1.57, 1.48, 5.96, repro,
2005-11-15,-0.22, -0.91, -8.17, 1.57, 1.44, 5.99, repro,
2005-11-16,0.13, -0.79, -9.53, 1.54, 1.41, 5.85, repro,
2005-11-17,0.34, -1.18, -11.30, 1.54, 1.42, 5.82, repro,
2005-11-18,0.27, -1.27, -9.73, 1.54, 1.44, 5.87, repro,
2005-11-19,0.23, -1.27, -10.67, 1.52, 1.4, 5.73, repro,
2005-11-20,1.14, -1.55, -9.11, 1.58, 1.44, 6.04, repro,
2005-11-21,0.85, -1.67, -7.95, 1.62, 1.47, 6.2, repro,
2005-11-22,0.40, -1.33, -7.25, 1.65, 1.51, 6.29, repro,
2005-11-23,0.43, -0.95, -3.69, 1.81, 1.64, 6.95, repro,
2005-11-24,1.02, -1.92, -0.56, 1.75, 1.58, 6.63, repro,
2005-11-25,0.59, -2.19, -3.65, 1.71, 1.53, 6.45, repro,
2005-11-26,1.52, -2.89, 1.89, 1.97, 1.77, 7.59, repro,
2005-11-27,0.35, -1.92, -5.09, 1.72, 1.55, 6.51, repro,
2005-11-28,0.93, -1.14, -8.12, 1.56, 1.42, 5.96, repro,
2005-11-29,0.40, -1.21, -3.83, 1.69, 1.54, 6.47, repro,
2005-11-30,1.27, -2.19, -6.89, 1.67, 1.52, 6.38, repro,
2005-12-01,0.92, -2.35, -5.91, 1.59, 1.45, 6.06, repro,
2005-12-02,1.22, -3.42, -6.16, 1.61, 1.46, 6.16, repro,
2005-12-03,1.46, -2.66, -0.18, 1.9, 1.71, 7.3, repro,
2005-12-04,1.24, -1.88, -8.82, 1.54, 1.4, 5.86, repro,
2005-12-05,1.07, -1.87, -9.34, 1.56, 1.41, 5.94, repro,
2005-12-06,1.40, -2.58, -9.50, 1.55, 1.41, 5.91, repro,
2005-12-07,1.31, -2.43, -7.06, 1.53, 1.39, 5.85, repro,
2005-12-08,1.53, -2.43, -9.18, 1.56, 1.41, 5.93, repro,
2005-12-09,1.64, -2.30, -8.70, 1.66, 1.5, 6.36, repro,
2005-12-10,2.23, -3.08, -5.19, 1.59, 1.44, 6.09, repro,
2005-12-11,1.88, -2.75, -7.20, 1.56, 1.41, 5.95, repro,
2005-12-12,1.57, -3.27, -7.10, 1.59, 1.44, 6.08, repro,
2005-12-13,1.75, -2.68, -7.32, 1.57, 1.41, 5.97, repro,
2005-12-14,2.52, -2.64, -8.09, 1.54, 1.39, 5.87, repro,
2005-12-15,1.78, -2.46, -8.65, 1.57, 1.41, 5.96, repro,
2005-12-16,1.77, -3.01, -5.79, 1.58, 1.42, 6.06, repro,
2005-12-17,1.86, -3.87, -8.32, 1.63, 1.48, 6.22, repro,
2005-12-18,2.27, -3.55, -9.31, 1.61, 1.48, 6.16, repro,
2005-12-19,2.83, -3.22, -13.49, 1.58, 1.44, 6.03, repro,
2005-12-20,2.62, -3.44, -10.31, 1.59, 1.48, 6.2, repro,
2005-12-21,3.39, -4.22, -10.73, 1.56, 1.47, 5.98, repro,
2005-12-22,2.59, -3.80, -3.12, 1.63, 1.51, 6.22, repro,
2005-12-23,2.61, -3.06, -4.65, 1.25, 1.16, 4.76, repro,
2005-12-24,2.57, -3.25, -0.31, 1.23, 1.1, 4.66, repro,
2005-12-25,1.99, -3.21, 2.02, 1.53, 1.39, 5.86, repro,
2005-12-26,1.37, -2.62, -2.19, 1.81, 1.6, 6.85, repro,
2005-12-27,1.58, -3.62, -2.13, 1.68, 1.5, 6.36, repro,
2005-12-28,2.38, -3.12, -2.25, 1.6, 1.43, 6.07, repro,
2005-12-29,1.91, -3.37, 4.34, 1.79, 1.62, 6.77, repro,
2005-12-30,2.59, -3.58, 1.57, 1.61, 1.43, 6.1, repro,
2005-12-31,3.49, -2.27, 0.26, 1.73, 1.53, 6.55, repro,
2006-01-01,3.14, -3.15, 0.46, 1.96, 1.72, 7.42, repro,
2006-01-02,0.91, -1.68, 0.45, 1.88, 1.67, 7.16, repro,
2006-01-03,2.70, -2.80, 5.78, 2.19, 1.93, 8.35, repro,
2006-01-04,3.25, -3.59, -7.57, 1.57, 1.4, 5.92, repro,
2006-01-05,2.87, -3.78, -7.77, 1.55, 1.37, 5.86, repro,
2006-01-06,3.40, -3.28, -4.49, 1.56, 1.4, 5.88, repro,
2006-01-07,2.79, -3.02, 4.04, 1.65, 1.47, 6.2, repro,
2006-01-08,3.17, -3.37, 1.33, 1.58, 1.43, 5.99, repro,
